month,p_tail_raw,tail_event,risk_percentile,risk_severity,p_up,score
2015-01,0.4272641810398974,0.0,0.8571428571428571,0.28571428571428525,0.4571428571428572,-0.28571428571428525
2015-02,0.5174297951128469,0.0,0.8596491228070176,0.29824561403508754,0.45526315789473687,-0.29824561403508754
2015-03,0.6035253454529248,0.0,0.8793103448275862,0.3965517241379307,0.44051724137931036,-0.3965517241379307
2015-04,0.3010848543651296,0.0,0.6440677966101694,0.0,0.5,-0.0
2015-05,0.3963870270895002,0.0,0.8166666666666667,0.08333333333333304,0.48750000000000004,-0.08333333333333304
2015-06,0.7520932686791163,0.0,0.9344262295081968,0.6721311475409836,0.3991803278688525,-0.6721311475409836
2015-07,0.6224880139575901,0.0,0.8688524590163934,0.3442622950819668,0.448360655737705,-0.3442622950819668
2015-08,0.6199751432793691,0.0,0.8524590163934426,0.26229508196721263,0.4606557377049181,-0.26229508196721263
2015-09,0.47429230991085075,0.0,0.7868852459016393,0.0,0.5,-0.0
2015-10,0.6402835440631623,0.0,0.8688524590163934,0.3442622950819668,0.448360655737705,-0.3442622950819668
2015-11,0.4584676946350651,0.0,0.7540983606557377,0.0,0.5,-0.0
2015-12,0.5806669699536235,0.0,0.8032786885245902,0.016393442622950616,0.4975409836065574,-0.016393442622950616
2016-01,0.2783807597259602,0.0,0.5081967213114754,0.0,0.5,-0.0
2016-02,0.4825212845223763,0.0,0.7540983606557377,0.0,0.5,-0.0
2016-03,0.5687526303219573,0.0,0.7868852459016393,0.0,0.5,-0.0
2016-04,0.6089415204770388,0.0,0.819672131147541,0.0983606557377048,0.4852459016393443,-0.0983606557377048
2016-05,0.20201663676790071,0.0,0.32786885245901637,0.0,0.5,-0.0
2016-06,0.6255670329687902,0.0,0.8524590163934426,0.26229508196721263,0.4606557377049181,-0.26229508196721263
2016-07,0.2131208216607981,0.0,0.36065573770491804,0.0,0.5,-0.0
2016-08,0.6557983513559721,0.0,0.8688524590163934,0.3442622950819668,0.448360655737705,-0.3442622950819668
2016-09,0.22575268738568602,0.0,0.39344262295081966,0.0,0.5,-0.0
2016-10,0.1579097652155061,0.0,0.13114754098360656,0.0,0.5,-0.0
2016-11,0.45323091123584075,0.0,0.6885245901639344,0.0,0.5,-0.0
2016-12,0.4339744716253288,0.0,0.6885245901639344,0.0,0.5,-0.0
2017-01,0.2961597759012622,0.0,0.5245901639344263,0.0,0.5,-0.0
2017-02,0.6533563831767768,0.0,0.9508196721311475,0.7540983606557372,0.3868852459016394,-0.7540983606557372
2017-03,0.2245612824071138,0.0,0.4098360655737705,0.0,0.5,-0.0
2017-04,0.2745751445191337,0.0,0.5245901639344263,0.0,0.5,-0.0
2017-05,0.15003059291865503,0.0,0.09836065573770492,0.0,0.5,-0.0
2017-06,0.176487226767544,0.0,0.18032786885245902,0.0,0.5,-0.0
2017-07,0.25985296431754956,0.0,0.47540983606557374,0.0,0.5,-0.0
2017-08,0.3196600205472379,0.0,0.6065573770491803,0.0,0.5,-0.0
2017-09,0.2514221241605456,0.0,0.4426229508196721,0.0,0.5,-0.0
2017-10,0.4613598905633721,0.0,0.7704918032786885,0.0,0.5,-0.0
2017-11,0.3105569089393298,0.0,0.5573770491803278,0.0,0.5,-0.0
2017-12,0.3018691092761071,0.0,0.5409836065573771,0.0,0.5,-0.0
2018-01,0.4231964780554399,0.0,0.6885245901639344,0.0,0.5,-0.0
2018-02,0.3444758846100639,0.0,0.6065573770491803,0.0,0.5,-0.0
2018-03,0.31722102454522794,0.0,0.5409836065573771,0.0,0.5,-0.0
2018-04,0.5555586805311715,0.0,0.819672131147541,0.0983606557377048,0.4852459016393443,-0.0983606557377048
2018-05,0.22737386702797086,0.0,0.29508196721311475,0.0,0.5,-0.0
2018-06,0.43614120397703354,0.0,0.7049180327868853,0.0,0.5,-0.0
2018-07,0.6696299762829226,0.0,0.9836065573770492,0.9180327868852456,0.36229508196721316,-0.9180327868852456
2018-08,0.5068485993570253,0.0,0.7704918032786885,0.0,0.5,-0.0
2018-09,0.3814440786085946,0.0,0.5901639344262295,0.0,0.5,-0.0
2018-10,0.3998018571904046,0.0,0.6065573770491803,0.0,0.5,-0.0
2018-11,0.7771989203474273,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
2018-12,0.29643135158642686,0.0,0.36065573770491804,0.0,0.5,-0.0
2019-01,0.3735219987140808,0.0,0.5409836065573771,0.0,0.5,-0.0
2019-02,0.19450944203150475,0.0,0.11475409836065574,0.0,0.5,-0.0
2019-03,0.16866877492804497,0.0,0.08196721311475409,0.0,0.5,-0.0
2019-04,0.12603208235216753,0.0,0.03278688524590164,0.0,0.5,-0.0
2019-05,0.20844715289830748,0.0,0.16393442622950818,0.0,0.5,-0.0
2019-06,0.15733800408569926,0.0,0.08196721311475409,0.0,0.5,-0.0
2019-07,0.16147765862555552,0.0,0.11475409836065574,0.0,0.5,-0.0
2019-08,0.23589587621789063,0.0,0.26229508196721313,0.0,0.5,-0.0
2019-09,0.15769605343773876,0.0,0.08196721311475409,0.0,0.5,-0.0
2019-10,0.23050515900557933,0.0,0.2786885245901639,0.0,0.5,-0.0
2019-11,0.25981283406556704,0.0,0.32786885245901637,0.0,0.5,-0.0
2019-12,0.3819717157704375,0.0,0.5573770491803278,0.0,0.5,-0.0
2020-01,0.3560339582929619,0.0,0.5081967213114754,0.0,0.5,-0.0
2020-02,0.2537609005123569,1.0,0.3114754098360656,0.0,0.5,-0.0
2020-03,0.29952330221991663,1.0,0.4262295081967213,0.0,0.5,-0.0
2020-04,0.14309761483731423,0.0,0.03278688524590164,0.0,0.5,-0.0
2020-05,0.12826879974993075,0.0,0.03278688524590164,0.0,0.5,-0.0
2020-06,0.19628123434499575,0.0,0.19672131147540983,0.0,0.5,-0.0
2020-07,0.8072502906695879,0.0,1.0,0.9999999999999998,0.35000000000000003,-0.9999999999999998
