Strategy,max_shift,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
loss3_stress,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
loss3_stress,0.025,129.0,0.1220050083369828,0.13755798778930817,0.908148397671673,1.6814135868997493,-0.1399488414503457,0.8717829106164525,3.447021971564992,0.5968992248062015,0.07630632659771157
loss3_stress,0.05,129.0,0.12262466305621067,0.13771403868430027,0.9112944491510767,1.693022563775339,-0.1399488414503457,0.876210633724455,3.4675419574982222,0.5968992248062015,0.07726430770967427
loss3_stress,0.075,129.0,0.12321931602806324,0.13792671070453105,0.9139450097621168,1.7037222148308935,-0.1399488414503457,0.8804597076409657,3.48733811765931,0.6046511627906976,0.07861747178814484
loss3_stress,0.1,129.0,0.12380053722871387,0.1381969157413631,0.9161693191213168,1.7138437324622142,-0.1399488414503457,0.8846128052631197,3.506786130628094,0.5968992248062015,0.08010398346493328
loss3_stress,0.15,129.0,0.12372450771669596,0.1381502166285072,0.9159120682059954,1.7186196992936447,-0.1399488414503457,0.8840695388006754,3.504236557454263,0.5968992248062015,0.08263339904207745
loss3_stress,0.2,129.0,0.12365597289646879,0.13782119494647557,0.9173194392336299,1.7251152380813197,-0.1399488414503457,0.8835798254202936,3.501939752140172,0.5968992248062015,0.08503600516413767
loss4_domestic,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
loss4_domestic,0.025,129.0,0.12212022024401392,0.13754267059999417,0.9089874427507104,1.683415967492138,-0.1399488414503457,0.8726061536375246,3.450828880580384,0.5891472868217055,0.07645075358790793
loss4_domestic,0.05,129.0,0.12284769673056029,0.1376850793829258,0.9129129467035968,1.6969269371366327,-0.1399488414503457,0.8778043137580889,3.4749548331305675,0.5891472868217055,0.07775522744725148
loss4_domestic,0.075,129.0,0.12355203908599766,0.1378851410264865,0.9163464090560072,1.7095622689355516,-0.1399488414503457,0.8828371696798528,3.498459226825232,0.5968992248062015,0.07942082318557975
loss4_domestic,0.1,129.0,0.12424130640667119,0.13814328884164936,0.9193358564273522,1.7215780624992634,-0.1399488414503457,0.8877623074196896,3.521600060023753,0.5968992248062015,0.08125394731951713
loss4_domestic,0.15,129.0,0.12431552689405789,0.13806151935330555,0.9202555986899043,1.7292384459449677,-0.1399488414503457,0.8882926475541096,3.5241001321508993,0.5891472868217055,0.08446343725094768
loss4_domestic,0.2,129.0,0.12425912075502743,0.13767137997678525,0.9221027437890122,1.7367803670459905,-0.1399488414503457,0.8878895992798552,3.522199978790784,0.5891472868217055,0.08724620934598613
loss4_stress,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
loss4_stress,0.025,129.0,0.12186976287732909,0.13766364240560455,0.9066747028196951,1.6770859107969196,-0.1399488414503457,0.8708165184816402,3.4425579608767336,0.5968992248062015,0.07586205750959048
loss4_stress,0.05,129.0,0.12234180536133499,0.13791961149443085,0.9082999380380077,1.6843196245266199,-0.1399488414503457,0.8741894830529359,3.458161366000544,0.5968992248062015,0.07672495932293245
loss4_stress,0.075,129.0,0.12278321881184562,0.138227906196781,0.909421983996767,1.6906699870173574,-0.1399488414503457,0.877343588838565,3.472810332327203,0.6046511627906976,0.07813132031313061
loss4_stress,0.1,129.0,0.12320852135388027,0.1385888025736222,0.9101358517624321,1.6965003080016678,-0.1399488414503457,0.8803825746395697,3.4869778484478027,0.6046511627906976,0.07973374593703293
loss4_stress,0.15,129.0,0.12275858972449227,0.13869767209762704,0.9065895178349623,1.6923073309719694,-0.1399488414503457,0.8771676024774198,3.4719914990316734,0.6046511627906976,0.08248537492406276
loss4_stress,0.2,129.0,0.12218242801342649,0.13847932894198137,0.9040565592578951,1.6885069359230447,-0.1399488414503457,0.8730506572773395,3.4528859763172868,0.5968992248062015,0.08479200935317362
loss_1sigma_stress,0.0,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
loss_1sigma_stress,0.025,129.0,0.12119240322145464,0.13719876248500137,0.9048611211372658,1.6704137569773336,-0.1399488414503457,0.8659764665822839,3.4202793211876736,0.5891472868217055,0.07608320574642301
loss_1sigma_stress,0.05,129.0,0.12101113087630821,0.13695394446838177,0.9050428360913999,1.6716530838380985,-0.1399488414503457,0.8646811907995919,3.4143394206950908,0.5891472868217055,0.07670902859370274
loss_1sigma_stress,0.075,129.0,0.12080939782063016,0.1367244623947645,0.9050040431062873,1.6724629069429433,-0.1399488414503457,0.8632397136598928,3.4077400681352397,0.5891472868217055,0.07777960476198065
loss_1sigma_stress,0.1,129.0,0.1205964965042019,0.13650986890996233,0.9048073993191172,1.672958623892019,-0.1399488414503457,0.8617184340678513,3.4007879142204667,0.5813953488372093,0.07905773143597271
loss_1sigma_stress,0.15,129.0,0.12014620027990097,0.13612636372068782,0.9039914423414822,1.6731241067910851,-0.1399488414503457,0.8585008567043353,3.3861261422752365,0.5813953488372093,0.08205423292154297
loss_1sigma_stress,0.2,129.0,0.1195191209318851,0.13576032416261408,0.901898131508996,1.670348478990066,-0.1399488414503457,0.8540200811472304,3.365803767221484,0.5813953488372093,0.0847307856373422
