parameter,value,period,observations,d3_weight,sigmoid_scale,sjm_weight,current_weight,growth_auc,growth_brier,growth_balanced_accuracy,inflation_auc,inflation_brier,inflation_balanced_accuracy,quadrant_accuracy,mean_brier
deployed,,calibration_through_2017,129,0.2,0.55,0.1,0.85,0.9384057971014492,0.11092024680772088,0.8692028985507246,0.9686213991769548,0.08140299391231509,0.8962191358024691,0.7906976744186046,0.09616162036001799
deployed,,locked_2018_2026,102,0.2,0.55,0.1,0.85,0.95,0.10514009767153291,0.8535714285714285,0.9608150470219435,0.08437309601637792,0.8773510971786834,0.7450980392156863,0.09475659684395542
d3_weight,0.0,calibration_through_2017,129,0.0,0.55,0.1,0.85,0.9258454106280193,0.11876544322237835,0.8369565217391304,0.9686213991769548,0.08144398881872647,0.8858024691358024,0.751937984496124,0.1001047160205524
d3_weight,0.0,locked_2018_2026,102,0.0,0.55,0.1,0.85,0.9400793650793651,0.11059165931941951,0.8297619047619047,0.9537617554858934,0.08765302365823668,0.8573667711598747,0.7254901960784313,0.09912234148882809
d3_weight,0.1,calibration_through_2017,129,0.1,0.55,0.1,0.85,0.9318840579710145,0.11455069507791636,0.8525362318840579,0.9696502057613168,0.08116421032196477,0.8962191358024691,0.7751937984496124,0.09785745269994056
d3_weight,0.1,locked_2018_2026,102,0.1,0.55,0.1,0.85,0.9452380952380952,0.10749170339077378,0.861904761904762,0.9565047021943573,0.0856093130734666,0.8887147335423198,0.7647058823529411,0.09655050823212019
d3_weight,0.3,calibration_through_2017,129,0.3,0.55,0.1,0.85,0.9466183574879228,0.10786219989700194,0.8692028985507246,0.9670781893004116,0.08216985237440702,0.902391975308642,0.7984496124031008,0.09501602613570448
d3_weight,0.3,locked_2018_2026,102,0.3,0.55,0.1,0.85,0.9551587301587301,0.10352120781612789,0.8535714285714285,0.9612068965517241,0.0839041522556181,0.8887147335423198,0.7647058823529411,0.09371268003587299
d3_weight,0.4,calibration_through_2017,129,0.4,0.55,0.1,0.85,0.9507246376811593,0.10536266118337415,0.8847826086956522,0.9660493827160493,0.08346102546299418,0.8962191358024691,0.8062015503875969,0.09441184332318417
d3_weight,0.4,locked_2018_2026,102,0.4,0.55,0.1,0.85,0.9539682539682539,0.10260678758965945,0.8535714285714285,0.9608150470219435,0.08413982078334746,0.9000783699059561,0.7843137254901961,0.09337330418650346
sigmoid_scale,0.35,calibration_through_2017,129,0.2,0.35,0.1,0.85,0.9427536231884058,0.09701016941812236,0.8608695652173913,0.9681069958847737,0.071021276223257,0.8734567901234568,0.7596899224806202,0.08401572282068968
sigmoid_scale,0.35,locked_2018_2026,102,0.2,0.35,0.1,0.85,0.9543650793650793,0.09200813153396391,0.8535714285714285,0.960423197492163,0.0758834444118326,0.8887147335423198,0.7549019607843137,0.08394578797289826
sigmoid_scale,0.45,calibration_through_2017,129,0.2,0.45,0.1,0.85,0.9400966183574879,0.10384012571300168,0.8608695652173913,0.9683641975308643,0.0759650227592229,0.8900462962962963,0.7751937984496124,0.08990257423611228
sigmoid_scale,0.45,locked_2018_2026,102,0.2,0.45,0.1,0.85,0.9515873015873015,0.09821927526193243,0.8535714285714285,0.9608150470219435,0.07949443490370724,0.8773510971786834,0.7450980392156863,0.08885685508281983
sigmoid_scale,0.65,calibration_through_2017,129,0.2,0.65,0.1,0.85,0.936231884057971,0.11785614707090336,0.8608695652173913,0.9693930041152263,0.08694219451107393,0.8962191358024691,0.7829457364341085,0.10239917079098865
sigmoid_scale,0.65,locked_2018_2026,102,0.2,0.65,0.1,0.85,0.948015873015873,0.11216428672399088,0.8416666666666667,0.960423197492163,0.0898005090659608,0.8773510971786834,0.7352941176470589,0.10098239789497584
sigmoid_scale,0.75,calibration_through_2017,129,0.2,0.75,0.1,0.85,0.9355072463768116,0.12445599042827651,0.8608695652173913,0.9691358024691359,0.09240301386464365,0.902391975308642,0.7906976744186046,0.10842950214646008
sigmoid_scale,0.75,locked_2018_2026,102,0.2,0.75,0.1,0.85,0.9444444444444444,0.11898196406422773,0.8535714285714285,0.9596394984326019,0.09536152087224797,0.8773510971786834,0.7450980392156863,0.10717174246823785
sjm_weight,0.0,calibration_through_2017,129,0.2,0.55,0.0,0.85,0.9497584541062802,0.1048064310358813,0.8909420289855072,0.9632201646090535,0.08412238438771351,0.8838734567901234,0.7906976744186046,0.0944644077117974
sjm_weight,0.0,locked_2018_2026,102,0.2,0.55,0.0,0.85,0.9607142857142856,0.09665880698236698,0.8738095238095238,0.9635579937304075,0.08261672334348909,0.9200626959247649,0.803921568627451,0.08963776516292804
sjm_weight,0.05,calibration_through_2017,129,0.2,0.55,0.05,0.85,0.9471014492753624,0.10753387655485154,0.8608695652173913,0.9652777777777778,0.08250755342532344,0.8734567901234568,0.7596899224806202,0.09502071499008749
sjm_weight,0.05,locked_2018_2026,102,0.2,0.55,0.05,0.85,0.9571428571428572,0.10053429590009993,0.8535714285714285,0.9627742946708464,0.08338483862273,0.8973354231974922,0.7647058823529411,0.09195956726141497
sjm_weight,0.15,calibration_through_2017,129,0.2,0.55,0.15,0.85,0.9335748792270531,0.11496554179448931,0.8525362318840579,0.970679012345679,0.0808087058486885,0.8919753086419753,0.7751937984496124,0.0978871238215889
sjm_weight,0.15,locked_2018_2026,102,0.2,0.55,0.15,0.85,0.942063492063492,0.11047621229666595,0.861904761904762,0.9580721003134796,0.08558149552443275,0.8773510971786834,0.7549019607843137,0.09802885391054936
sjm_weight,0.2,calibration_through_2017,129,0.2,0.55,0.2,0.85,0.9253623188405797,0.11966976151515683,0.8380434782608696,0.9704218106995885,0.08072468923444368,0.8919753086419753,0.751937984496124,0.10019722537480025
sjm_weight,0.2,locked_2018_2026,102,0.2,0.55,0.2,0.85,0.9317460317460318,0.11654263977549897,0.8297619047619047,0.9561128526645768,0.08701003714689459,0.8659874608150471,0.7352941176470589,0.10177633846119678
current_weight,0.7,calibration_through_2017,129,0.2,0.55,0.1,0.7,0.9330917874396135,0.11431087909449464,0.8608695652173913,0.9693930041152263,0.08229340837866059,0.8858024691358024,0.7751937984496124,0.09830214373657761
current_weight,0.7,locked_2018_2026,102,0.2,0.55,0.1,0.7,0.9468253968253969,0.10767168720831131,0.8702380952380953,0.9545454545454546,0.08794201337999781,0.8887147335423198,0.7745098039215687,0.09780685029415456
current_weight,0.8,calibration_through_2017,129,0.2,0.55,0.1,0.8,0.9371980676328503,0.11179519978195143,0.8692028985507246,0.9699074074074073,0.08159076405461141,0.8796296296296297,0.7751937984496124,0.09669298191828142
current_weight,0.8,locked_2018_2026,102,0.2,0.55,0.1,0.8,0.9488095238095238,0.10573117231870964,0.8500000000000001,0.957680250783699,0.08541034928842567,0.8773510971786834,0.7450980392156863,0.09557076080356766
current_weight,0.9,calibration_through_2017,129,0.2,0.55,0.1,0.9,0.941062801932367,0.11026603318143505,0.8692028985507246,0.9681069958847738,0.08129711290823753,0.8900462962962963,0.7829457364341085,0.09578157304483628
current_weight,0.9,locked_2018_2026,102,0.2,0.55,0.1,0.9,0.9492063492063492,0.10475570262352563,0.8535714285714285,0.9604231974921631,0.08345028036958521,0.8773510971786834,0.7450980392156863,0.09410299149655542
current_weight,1.0,calibration_through_2017,129,0.2,0.55,0.1,1.0,0.9427536231884058,0.10955966563707668,0.8692028985507246,0.966820987654321,0.08127434082114574,0.8900462962962963,0.7829457364341085,0.0954170032291112
current_weight,1.0,locked_2018_2026,102,0.2,0.55,0.1,1.0,0.9496031746031746,0.10452817208437894,0.8535714285714285,0.9615987460815046,0.08187428015713374,0.8887147335423198,0.7647058823529411,0.09320122612075635
