candidate,period,penalty,solver,C,class_weight,l1_ratio,fit_count,convergence_warning_count,median_coefficient_l1_norm,median_coefficient_l2_norm,median_nonzero_coefficients,prediction_observations,events,event_rate,roc_auc,average_precision,brier_score,prevalence_brier,log_loss,ece_5bin,policy_trigger_rate,policy_recall,policy_precision,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
l2_liblinear_c0.01_balanced,calibration_2007_2017,l2,liblinear,0.01,balanced,,194.0,0.0,0.9587855411665129,0.2945081471262781,16.0,91,5,0.054945054945054944,0.44418604651162796,0.07898542220831378,0.21585069903289045,0.05192609588213984,0.6244241464508705,0.39561281055613917,0.27472527472527475,0.2,0.04,129.0,0.12501788994940854,0.13903491089410058,0.9193289220460817,1.7174662523511375,-0.12982263823850382,0.9629899041161972,3.5478386261010693,0.5968992248062015,0.10303704916066632
l2_liblinear_c0.01_balanced,validation_2013_2017,l2,liblinear,0.01,balanced,,194.0,0.0,0.9587855411665129,0.2945081471262781,16.0,60,2,0.03333333333333333,0.1293103448275862,0.02851851851851852,0.2139034789179112,0.03222222222222222,0.6199374068544531,0.4133478562706652,0.3,0.0,0.0,60.0,0.020597071177035353,0.07815171733744898,0.29957472080187925,0.4546334089424481,-0.10675687852074167,0.19293437071629602,1.1073160337770696,0.5166666666666667,0.09181420600203734
l2_liblinear_c0.01_balanced,locked_2018_2026,l2,liblinear,0.01,balanced,,194.0,0.0,0.9587855411665129,0.2945081471262781,16.0,102,10,0.09803921568627451,0.7586956521739131,0.3841226861735475,0.252052511267438,0.08842752787389466,0.7000980436722608,0.417145394070312,0.29411764705882354,0.5,0.16666666666666666,103.0,0.16918277280794003,0.14344033497324218,1.1665792192582591,2.2362110836483065,-0.1257437749629885,1.3454564479055715,3.825228056544554,0.6213592233009708,0.13997398734608996
l2_liblinear_c0.01_balanced,locked_early_2018_2021,l2,liblinear,0.01,balanced,,194.0,0.0,0.9587855411665129,0.2945081471262781,16.0,48,5,0.10416666666666667,0.6511627906976745,0.18380124223602487,0.25807546197149084,0.09331597222222222,0.7122112578561915,0.4033836181714967,0.375,0.4,0.1111111111111111,48.0,0.10350300181437455,0.12393679415013122,0.8595367246826967,1.2969975213199736,-0.12557237529490917,0.824249772860438,1.482839258563743,0.625,0.16851507154296982
l2_liblinear_c0.01_balanced,locked_late_2022_2026,l2,liblinear,0.01,balanced,,194.0,0.0,0.9587855411665129,0.2945081471262781,16.0,54,5,0.09259259259259259,0.8530612244897958,0.6055203619909502,0.24669877730827997,0.08401920438957476,0.6893307421754336,0.4293780837581478,0.2222222222222222,0.6,0.25,55.0,0.22968993878781752,0.15805711852424034,1.3944441213409098,3.250084854466948,-0.12574377496298839,1.8266505745944466,2.579664676702461,0.6181818181818182,0.1150654047742675
l2_liblinear_c0.03_balanced,calibration_2007_2017,l2,liblinear,0.03,balanced,,194.0,0.0,1.7586189604843319,0.519935750059362,16.0,91,5,0.054945054945054944,0.4232558139534884,0.09296325310818064,0.20345114623709026,0.05192609588213984,0.6005007366801431,0.3619870459286817,0.27472527472527475,0.2,0.04,129.0,0.12590188036567218,0.13902155461707164,0.9251125601010044,1.7297704639262899,-0.12982263823850382,0.969799120353504,3.5779218702637645,0.5968992248062015,0.10584143861121081
l2_liblinear_c0.03_balanced,validation_2013_2017,l2,liblinear,0.03,balanced,,194.0,0.0,1.7586189604843319,0.519935750059362,16.0,60,2,0.03333333333333333,0.15517241379310343,0.029156816390858944,0.1997880386615898,0.03222222222222222,0.5884673713012406,0.382280243789668,0.31666666666666665,0.0,0.0,60.0,0.02248168159834374,0.07840007884090952,0.3224340600037131,0.49301474556379604,-0.10675687852074167,0.21058766338860122,1.1175775793526446,0.5166666666666667,0.09757003557933965
l2_liblinear_c0.03_balanced,locked_2018_2026,l2,liblinear,0.03,balanced,,194.0,0.0,1.7586189604843319,0.519935750059362,16.0,102,10,0.09803921568627451,0.7630434782608695,0.33371462398148355,0.24020485064141348,0.08842752787389466,0.6790866897565166,0.3858802823642651,0.28431372549019607,0.5,0.1724137931034483,103.0,0.17356749450022524,0.14359088802213055,1.1918946635691128,2.3043459758665303,-0.12557237529490906,1.3822108094443444,3.9501260150282285,0.6213592233009708,0.14501860149521958
l2_liblinear_c0.03_balanced,locked_early_2018_2021,l2,liblinear,0.03,balanced,,194.0,0.0,1.7586189604843319,0.519935750059362,16.0,48,5,0.10416666666666667,0.7023255813953488,0.2217989417989418,0.24402159648653685,0.09331597222222222,0.6839965122680453,0.38226049656687083,0.3333333333333333,0.4,0.125,48.0,0.10624899509341201,0.1241372400982472,0.8784588104938651,1.3403559510023497,-0.12557237529490906,0.8461175863232998,1.49765422766496,0.625,0.16667299686652948
l2_liblinear_c0.03_balanced,locked_late_2022_2026,l2,liblinear,0.03,balanced,,194.0,0.0,1.7586189604843319,0.519935750059362,16.0,54,5,0.09259259259259259,0.8326530612244898,0.48000000000000004,0.23681218766797038,0.08401920438957476,0.6747224030796024,0.38909786973972654,0.24074074074074073,0.6,0.23076923076923078,55.0,0.235657329312974,0.15810886836458704,1.425207071280988,3.339373700064897,-0.11736645966840475,2.007876270433446,2.6375420588148693,0.6181818181818182,0.12612022008025817
