feature,mean_gain_share
market_USO_ret3,0.07221842172357962
macro_growth_Export_level,0.04736584472212659
stress_VIX_last_z60,0.04471469125115894
stress_VIX_last,0.043534726691399295
vkospi_return_21,0.04314598216307921
sjm_p_inflation_high,0.04136660787697769
macro_growth_GDP_level,0.04044786355535094
stress_VIX_last_d1,0.03634347557414196
market_KODEX200_ret6,0.0349824368905688
market_KODEX200_ret1,0.034598196271187896
sjm_p_risk_off_d1,0.03308827418227164
macro_growth_Export_level_d3,0.030151497281752992
vkospi_level_z_63,0.02763688804482965
cjm_p_h1,0.025590826454439237
vkospi_return_vol_21,0.025268275069781018
stress_NFCI_last_d1,0.025026494010283385
stress_BAA_SPREAD_last_d1,0.02461665740529502
macro_growth_BSI_level,0.024327670618118375
market_GLD_ret3,0.02408918143139546
vkospi_return_63,0.02361356818402935
stress_STLFSI_last_z60,0.022228239575692192
sjm_p_risk_off_d3,0.021757976042332542
macro_growth_GDP_level_d3,0.02057445769072406
stress_VIX_last_d3,0.019410943244530687
stress_BAA_SPREAD_last_d3,0.018793870070008337
stress_BAA_SPREAD_last,0.018129780416063255
market_BOND_ret3,0.017931772203683843
market_KODEX200_ret3,0.015206007506839004
stress_NFCI_last_d3,0.014232271831541733
cjm_p_h6,0.013422743363633744
vkospi_level_z_252,0.012951248068150456
vkospi_raw_close,0.012278249829648874
market_KODEX200_drawdown12,0.011807944641519932
macro_growth_BSI_level_d3,0.010246449095132167
stress_NFCI_last,0.010133585827186129
cjm_p_h3,0.00932148181041352
sjm_p_growth_high,0.009032167116934515
stress_NFCI_last_z60,0.007885652905920526
stress_BAA_SPREAD_last_z60,0.007511360675798828
market_KODEX200_vol3,0.007041973596940967
market_KODEX200_vol6,0.006746449092894123
cjm_duration,0.0049828380167976725
sjm_p_risk_off,0.003397489010983411
cjm_p_delta1,0.002332988281783858
cjm_switches12,0.0002798890549190137
cjm_p_current,0.00022199434321037897
cjm_p_delta3,1.2597284949249162e-05
