EndMonth,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths
2012-03,60.0,0.24334744349040105,0.1833491507747223,1.2881120001677537,2.4019978754989246,-0.13994884146395348,1.738831425432556,2.971409644151841,0.65
2012-04,60.0,0.23619014337782573,0.18342768543405263,1.255553416416604,2.3422873348946682,-0.13994884146395348,1.6876891648914512,2.8868643827785356,0.65
2012-05,60.0,0.21246844784555297,0.1833177342757656,1.1486473814257203,2.1219473437117475,-0.1399488414639536,1.518186543189628,2.6203073118072746,0.6333333333333333
2012-06,60.0,0.20867253582966394,0.18360065962688857,1.1297793208875166,2.0893631275882067,-0.13994884146395348,1.491062974489943,2.579545956923651,0.6166666666666667
2012-07,60.0,0.19302218864301213,0.1809940073366221,1.0704082138180997,1.9514601917118855,-0.13994884146395348,1.3792339159358364,2.4168105343096573,0.6166666666666667
2012-08,60.0,0.20016824981534098,0.18056468420013025,1.1061459920092178,2.014452307938395,-0.13994884146395348,1.4302958689865124,2.4900649033162905,0.6333333333333333
2012-09,60.0,0.1952330388813741,0.18012607296474611,1.0851702022118217,1.9714518203160936,-0.13994884146395337,1.395031476067348,2.439287259660115,0.6333333333333333
2012-10,60.0,0.17701598915278005,0.18040959014563845,0.9973181146060783,1.8019258721086873,-0.1399488414639536,1.2648621260532107,2.2589770188068026,0.6166666666666667
2012-11,60.0,0.18583486483902623,0.17905956000262896,1.0458024832031323,1.8996434782086205,-0.13994884146395348,1.3278771220617185,2.3448824414711917,0.6333333333333333
2012-12,60.0,0.16804560944648106,0.1752736125835842,0.9773454049483041,1.7377589453112547,-0.13994884146395348,1.200764562883248,2.1741975721778197,0.6333333333333333
2013-01,60.0,0.17416469395403378,0.17430221534007415,1.0122263729185559,1.8071117992620915,-0.1399488414639536,1.2444882868065266,2.2317476545411647,0.6333333333333333
2013-02,60.0,0.15386989520605598,0.17012585746926862,0.9292762665373427,1.6192713761900566,-0.13994884146395348,1.0994724471919843,2.045428077360535,0.6333333333333333
2013-03,60.0,0.15135519877612635,0.17023263905892633,0.9158140584560965,1.5968099667371822,-0.13994884146395348,1.0815037637529197,2.023236407920925,0.6166666666666667
2013-04,60.0,0.1256769120352199,0.1675297949416684,0.7918834529521616,1.3487130480215967,-0.1399488414639537,0.8980203817377811,1.8074604097170142,0.6
