target_month,signal_date,p_tail_raw,tail_event,adverse_excursion,standardized_adverse,horizon,fit_count,train_rows,feature_count,risk_percentile,risk_severity,p_up,score
2005-01,2004-12-30,0.21814782959807663,0.0,-0.022039045553145398,0.47792636501310315,20,1,1192,53,0.5,0.0,0.5,-0.0
2005-02,2005-01-31,0.21814782959807663,0.0,-0.01090368412357512,0.2403069499453057,20,1,1192,53,0.5,0.0,0.5,-0.0
2005-03,2005-02-28,0.21814782959807663,1.0,-0.05387848681696594,1.3358724063343155,20,1,1192,53,0.5,0.0,0.5,-0.0
2005-04,2005-03-31,0.1928092699488375,0.0,-0.05770155473633598,1.06513322585104,20,2,1252,53,0.5,0.0,0.5,-0.0
2005-05,2005-04-29,0.1928092699488375,0.0,0.002636502806599772,-0.05362135960869912,20,2,1252,53,0.5,0.0,0.5,-0.0
2005-06,2005-05-31,0.1928092699488375,0.0,-0.00040051265620000276,0.009489153577772004,20,2,1252,53,0.5,0.0,0.5,-0.0
2005-07,2005-06-30,0.2083322190604062,0.0,0.00857606428185087,-0.23191005631090655,20,3,1260,53,0.5,0.0,0.5,-0.0
2005-08,2005-07-29,0.2083322190604062,1.0,-0.04116662015071171,1.3243489059709905,20,3,1260,53,0.5,0.0,0.5,-0.0
2005-09,2005-08-31,0.2083322190604062,0.0,0.021700335498607837,-0.369667198517172,20,3,1260,53,0.5,0.0,0.5,-0.0
2005-10,2005-09-30,0.18503236622138128,1.0,-0.06981910504601718,1.550610073435539,20,4,1260,53,0.5,0.0,0.5,-0.0
2005-11,2005-10-31,0.1931422745180709,0.0,0.02781510346680993,-0.3893393235430721,20,4,1260,53,0.5,0.0,0.5,-0.0
2005-12,2005-11-30,0.1931422745180709,0.0,0.006146429647484242,-0.12866283275323734,20,4,1260,53,0.5,0.0,0.5,-0.0
2006-01,2005-12-29,0.19078564019737557,1.0,-0.05292227920870207,1.8019301281012903,20,5,1260,53,0.15384615384615385,0.0,0.5,-0.0
