Test,Strategy,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover
calibration_2007_2017,FinalBlend,129.0,0.12135671858949082,0.13745924737667842,0.9044813839221258,1.6687850664612407,-0.1399488414503457,0.8671505768238073,3.425671675003364,0.5891472868217055,0.07581451586944389
calibration_2007_2017,VolTarget15,129.0,0.12334338830817382,0.138271078311439,0.9129026063196636,1.6871098797685264,-0.13038429770887872,0.9459987933790478,3.491481419763508,0.5891472868217055,0.09527724923160286
calibration_2007_2017,CompositeDomestic,129.0,0.12539981230629316,0.1379998411524649,0.9276576267090836,1.7467314261410185,-0.1399488414503457,0.8960403745163222,3.5608076364406367,0.6046511627906976,0.08486788607264177
calibration_2007_2017,VolumeDomestic,129.0,0.12481518877158515,0.13762522016490006,0.9259938201445203,1.745907044083878,-0.1399488414503457,0.8918629656242634,3.5409728801015503,0.5968992248062015,0.0864687597172877
calibration_2007_2017,IndexVolumeRaw,129.0,0.12651133550887872,0.1376732354580256,0.936778031521222,1.7682274665500683,-0.1399488414503457,0.9039827282440588,3.598796888185703,0.5968992248062015,0.08691651724630987
calibration_2007_2017,IndexVolumeComposite,129.0,0.12687874951648315,0.1376616252320925,0.9392383007630887,1.7732548166729662,-0.1399488414503457,0.9066080733615801,3.611434836544177,0.5968992248062015,0.08808428203968305
calibration_2007_2017,CompositePlusIndexVolume,129.0,0.1263070574257299,0.13767241139904995,0.9354429223566342,1.7690932243701225,-0.1399488414503457,0.9025230656914301,3.5917876935836532,0.6046511627906976,0.09342215902475305
calibration_2007_2017,CorrelationDomestic,129.0,0.12717841899160542,0.13738149349498824,0.9428217871562308,1.7860863919702978,-0.1399488414503457,0.9087493520746918,3.6217723635612398,0.5968992248062015,0.08675699107774194
calibration_2007_2017,BreadthDomestic,129.0,0.12440828571673057,0.13808822036574908,0.9207168745574084,1.727063220313309,-0.1399488414503457,0.8889554527742985,3.5272269199123434,0.5968992248062015,0.08222882656021928
calibration_2007_2017,TailShapeDomestic,129.0,0.1230664246132287,0.13845395948902786,0.9099615655097902,1.6983626091696034,-0.1399488414503457,0.8793672268940723,3.4822385555338884,0.6046511627906976,0.08045202233376889
calibration_2007_2017,CompositePlusVol15,129.0,0.12602395525508148,0.13895008115953977,0.926287498470012,1.73987708716207,-0.13038429770887883,0.9665577640067281,3.5820943542444907,0.5891472868217055,0.10630651342805963
calibration_2007_2017,CompositeIndexVolumePlusVol15,129.0,0.12674059434733032,0.13867772326264205,0.9324578223276034,1.7597230646279647,-0.13596404144029683,0.9321625997928531,3.6066779954286603,0.5968992248062015,0.11654619492547404
locked_2018_2026,FinalBlend,103.0,0.17067612032915513,0.145197597223786,1.163960427765985,2.0574593735995084,-0.14900559871229757,1.145434277665629,3.867368184441654,0.6310679611650486,0.10127811177909524
locked_2018_2026,VolTarget15,103.0,0.17673353519070423,0.14782355054833088,1.1806563805418624,2.198775231070337,-0.12737638484541602,1.3874905886612188,4.042536524932975,0.6310679611650486,0.11920934194495257
locked_2018_2026,CompositeDomestic,103.0,0.1681366581789847,0.13605745217784693,1.216200743975528,2.2537650982367454,-0.1358646762747835,1.237530333778088,3.7959503398039787,0.6310679611650486,0.11129354026903086
locked_2018_2026,VolumeDomestic,103.0,0.1641901020842087,0.12989576248170948,1.240965448843157,2.417546987208624,-0.13143516404798605,1.2492098539494656,3.687271902412044,0.6310679611650486,0.10917238408328177
locked_2018_2026,IndexVolumeRaw,103.0,0.16438909337201113,0.13074832736597167,1.2350487547669489,2.3935689174770713,-0.1232821624641327,1.33343778277606,3.692685086321328,0.6310679611650486,0.1155694815762214
locked_2018_2026,IndexVolumeComposite,103.0,0.16373851802577644,0.1309571787150955,1.228967649726613,2.3798764205807466,-0.12886756486876827,1.2705952672615397,3.675013406996396,0.6310679611650486,0.11211898919829873
locked_2018_2026,CompositePlusIndexVolume,103.0,0.1668931311900126,0.13276366831397293,1.2347624344183652,2.3577236855577284,-0.13181311647933014,1.2661344762012618,3.761405304157924,0.6310679611650486,0.11904491295665443
locked_2018_2026,CorrelationDomestic,103.0,0.16365704887351895,0.13457379960950877,1.1991282665496172,2.2527349494372935,-0.13634603855144134,1.2003065920523506,3.6728057204175397,0.6116504854368932,0.11333305638488106
locked_2018_2026,BreadthDomestic,103.0,0.16428598741029488,0.13444984435536686,1.2041280661155798,2.2747319083384814,-0.12529591747421165,1.3111838815028283,3.6898794066254146,0.6213592233009708,0.11411275956744187
locked_2018_2026,TailShapeDomestic,103.0,0.16769466178261738,0.13929971334324098,1.1884915949554864,2.1515694301370627,-0.13711151062283145,1.2230531267642042,3.783639758156529,0.6310679611650486,0.10705979859666356
locked_2018_2026,CompositePlusVol15,103.0,0.1773756164480602,0.14614017642024232,1.1962720969684788,2.2512910856063733,-0.12557237552584932,1.4125369190897172,4.0615088456237425,0.6310679611650486,0.13329683284002034
locked_2018_2026,CompositeIndexVolumePlusVol15,103.0,0.1775172906585578,0.1442918618556965,1.2104454518827732,2.3281672030419354,-0.12946926151054872,1.3711153411043,4.065705636231353,0.6310679611650486,0.14171154942856407
full_2007_2026,FinalBlend,232.0,0.14299103392526247,0.14078459916496255,1.0240001979038977,1.8485596685854924,-0.14900559871229757,0.9596353100889308,13.248333646250947,0.6077586206896551,0.08711947439829774
full_2007_2026,VolTarget15,232.0,0.14674106027730072,0.14244671302493697,1.0366817879999675,1.9209277957317716,-0.13038429770887872,1.1254504020487444,14.114441165518826,0.6077586206896551,0.1059022731517538
full_2007_2026,CompositeDomestic,232.0,0.14417703297480156,0.13695053379500735,1.056191796728406,1.972060580866324,-0.1399488414503457,1.0302124081960051,13.516648957523435,0.6163793103448276,0.0965999653063835
full_2007_2026,VolumeDomestic,232.0,0.1421291848253572,0.13404923755152529,1.0624948570358363,2.027147189678889,-0.1399488414503457,1.0155795743102674,13.05652980800149,0.6120689655172413,0.09654838605219024
full_2007_2026,IndexVolumeRaw,232.0,0.14317323741388632,0.13443563427578548,1.0667049536273998,2.0323646136599165,-0.1399488414503457,1.0230398189090022,13.289223597702952,0.6120689655172413,0.09963744537553781
full_2007_2026,IndexVolumeComposite,232.0,0.1430968731263209,0.13451451493681948,1.065657403292631,2.0299434548973716,-0.1399488414503457,1.02249416031852,13.27207144279369,0.6120689655172413,0.09875486323510292
