name,max_exposure,target_vol,vix_threshold,vix_multiplier,dd_floor,dd_strength,rebalance_band,financing_rate,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgExposure,MDD9Pass,CAGRRetention
mx1.25_tv0.18_vx25_vm0.50_fl0.08_ds0.75_rb0.05_rf0.04,1.25,0.18,25.0,0.5,-0.08,0.75,0.05,0.04,129.0,0.07939135074110415,0.1089139359282359,0.75669573826941,1.4417439775511902,-0.11467902401050811,0.6922918242993547,2.2733878641557594,0.5968992248062015,0.3995459047156056,0.559210020149565,False,0.5208740275341862
mx1.25_tv0.18_vx25_vm0.50_fl0.08_ds0.75_rb0.10_rf0.04,1.25,0.18,25.0,0.5,-0.08,0.75,0.1,0.04,129.0,0.08205873415131171,0.10991877408446395,0.7732619696264051,1.489434742207448,-0.11367665641991931,0.7218609056215409,2.3345139603547893,0.6124031007751938,0.3217623385475594,0.5650266811136431,False,0.5383743059257636
mx1.25_tv0.18_vx25_vm0.50_fl0.08_ds1.00_rb0.05_rf0.04,1.25,0.18,25.0,0.5,-0.08,1.0,0.05,0.04,129.0,0.058304199287267267,0.08658383391801824,0.6979549313684426,1.4137821110418454,-0.08416839417415822,0.6927089421074888,1.8389210466720756,0.6124031007751938,0.4373862526131669,0.3912816317666923,True,0.3825245800886895
mx1.25_tv0.18_vx25_vm0.50_fl0.08_ds1.00_rb0.10_rf0.04,1.25,0.18,25.0,0.5,-0.08,1.0,0.1,0.04,129.0,0.061098845985942285,0.08986737139030027,0.7050454913240624,1.421348128503478,-0.08441729108895524,0.7237716965065724,1.8918003599752966,0.6201550387596899,0.3516092126921516,0.39987905857612405,True,0.4008598126787092
mx1.25_tv0.18_vx25_vm0.50_fl0.09_ds0.75_rb0.05_rf0.04,1.25,0.18,25.0,0.5,-0.09,0.75,0.05,0.04,129.0,0.07876421288214819,0.1119274938032767,0.7340402940691673,1.3714101346389143,-0.12246486210731444,0.6431576496867165,2.259228742207786,0.5968992248062015,0.3857663535690956,0.5738724601702208,False,0.5167594757679769
mx1.25_tv0.18_vx25_vm0.50_fl0.09_ds0.75_rb0.10_rf0.04,1.25,0.18,25.0,0.5,-0.09,0.75,0.1,0.04,129.0,0.08591512476482976,0.1127723967828639,0.7881895724956767,1.5190958969133657,-0.1171158575335901,0.7335908780771927,2.4255248719395777,0.6046511627906976,0.30791252773666505,0.5817622929455307,False,0.5636754715043485
mx1.25_tv0.18_vx25_vm0.50_fl0.09_ds1.00_rb0.05_rf0.04,1.25,0.18,25.0,0.5,-0.09,1.0,0.05,0.04,129.0,0.05705985568879646,0.09161203087303847,0.6516586330705717,1.237257580414233,-0.08951682126281224,0.6374204857126746,1.8158103315061451,0.6124031007751938,0.41379729972339246,0.4137883802274129,True,0.3743606396125351
mx1.25_tv0.18_vx25_vm0.50_fl0.09_ds1.00_rb0.10_rf0.04,1.25,0.18,25.0,0.5,-0.09,1.0,0.1,0.04,129.0,0.06200533806711728,0.09584627415871157,0.6757329063318765,1.302169310778529,-0.0874868403202641,0.7087390268083018,1.909246581485226,0.6511627906976745,0.3281537723761032,0.42151869669967557,True,0.4068071630744621
mx1.25_tv0.18_vx25_vm0.50_fl0.10_ds0.75_rb0.05_rf0.04,1.25,0.18,25.0,0.5,-0.1,0.75,0.05,0.04,129.0,0.08418434878600078,0.11452876373249575,0.7639394385209494,1.4272007207765351,-0.12323709777056613,0.6831088228215914,2.3842878494916224,0.5968992248062015,0.36762898250244025,0.5890761473160855,False,0.5523201255323178
mx1.25_tv0.18_vx25_vm0.50_fl0.10_ds0.75_rb0.10_rf0.04,1.25,0.18,25.0,0.5,-0.1,0.75,0.1,0.04,129.0,0.08961283922078356,0.11619901501306412,0.7977020291155118,1.5373153326617068,-0.12302036900506597,0.728439037742549,2.5158009638023175,0.5968992248062015,0.30707024938519184,0.5926575094012306,False,0.5879355880455681
mx1.25_tv0.18_vx25_vm0.50_fl0.10_ds1.00_rb0.05_rf0.04,1.25,0.18,25.0,0.5,-0.1,1.0,0.05,0.04,129.0,0.0638440357081218,0.09947774324521923,0.6721118574459,1.2713126211946073,-0.09605477786718963,0.6646627801939838,1.9450828446929846,0.6124031007751938,0.40252612827867407,0.44954110996237295,False,0.41887056591050653
mx1.25_tv0.18_vx25_vm0.50_fl0.10_ds1.00_rb0.10_rf0.04,1.25,0.18,25.0,0.5,-0.1,1.0,0.1,0.04,129.0,0.06698309533569469,0.1005498037996106,0.6952485178927101,1.3721669321290333,-0.09793403548468738,0.6839613521916794,2.0076756040083295,0.6124031007751938,0.3131403444298211,0.4408220513959108,False,0.43946543695906415
