BlockLength,Strategy,Metric,P05,Median,P95
6,CurrentDefensive,CAGR,0.05428290950143462,0.08342912086164189,0.11725540637136787
6,CurrentDefensive,Sharpe,0.8277893203538979,1.1989613961076486,1.5697864690268848
6,CurrentDefensive,MDD,-0.14209237406935427,-0.09107363977382382,-0.061200080877946705
6,FinalBlend,CAGR,0.091560457819133,0.1446895266785515,0.20729446951230412
6,FinalBlend,Sharpe,0.7347288922201877,1.0612397263813236,1.396040108371964
6,FinalBlend,MDD,-0.23924729005329903,-0.16649122146385048,-0.13741400364523768
6,Hard,CAGR,0.09795369692509732,0.1853266226256669,0.2851469293785501
6,Hard,Sharpe,0.5494979549472484,0.8877090110998826,1.2266379872081976
6,Hard,MDD,-0.4483532655084445,-0.308515586453695,-0.22582390727780144
12,CurrentDefensive,CAGR,0.045186981216882915,0.07529637039061188,0.11344523558443345
12,CurrentDefensive,Sharpe,0.753915725168711,1.1557837049269775,1.5714847004580672
12,CurrentDefensive,MDD,-0.14442895148547424,-0.08933845417896868,-0.061200080877946705
12,FinalBlend,CAGR,0.0798804629183511,0.13408086766718652,0.19802314456037812
12,FinalBlend,Sharpe,0.716557806198632,1.020763286805138,1.3544059300344327
12,FinalBlend,MDD,-0.21181451333252713,-0.14900559725470008,-0.11410515549682498
12,Hard,CAGR,0.08835369594927181,0.17418970300330394,0.2832952795901138
12,Hard,Sharpe,0.5332090269084391,0.8540977125683624,1.1909638953458184
12,Hard,MDD,-0.39638592986729343,-0.28587609049695994,-0.2253539331762942
