target_month,signal_month,signal_date,p_up,feature_variant,score,realized_10d_return,realized_up,hmm_score,train_rows,feature_count,best_iteration
2005-01,2004-12,2004-12-30,0.6779685738553368,kr_only,1.0,0.022299349240780808,1.0,,1217,53,19
2005-02,2005-01,2005-01-31,0.5772337230550224,kr_only,0.5148914870334828,0.04022798612258405,1.0,,1238,53,17
2005-03,2005-02,2005-02-28,0.4815064237430667,kr_only,-0.12329050837955546,-0.02216278181123421,0.0,0.9999999999825491,1255,53,11
2005-04,2005-03,2005-03-31,0.6140271961975434,kr_only,0.7601813079836228,-0.018993428434043946,0.0,-0.00023083114837058882,1277,53,11
2005-05,2005-04,2005-04-29,0.5056659399458198,kr_only,0.037772932972131766,0.01760503486987597,1.0,0.003109370860572214,1297,53,5
2005-06,2005-05,2005-05-31,0.44599434193879683,kr_only,-0.3600377204080211,0.035485421339314316,1.0,0.9999664066365836,1318,53,54
2005-07,2005-06,2005-06-30,0.4657110344434014,kr_only,-0.22859310371065739,0.058332689484663414,1.0,0.9999005748891141,1339,53,23
2005-08,2005-07,2005-07-29,0.5214613975035269,kr_only,0.14307598335684624,0.018978509628802653,1.0,0.9999999998995008,1360,53,1
2005-09,2005-08,2005-08-31,0.6776462378712256,kr_only,1.0,0.08523092297808543,1.0,-0.00013627846646810957,1382,53,31
2005-10,2005-09,2005-09-30,0.51318396950086,kr_only,0.08789313000573322,-0.0425261821643923,0.0,0.9999999906875132,1403,53,7
2005-11,2005-10,2005-10-31,0.6064770318273788,kr_only,0.7098468788491918,0.0885514646600376,1.0,-0.008730468289333089,1423,53,7
2005-12,2005-11,2005-11-30,0.539858555521394,kr_only,0.26572370347595964,0.03133473937933129,1.0,0.9999972306316329,1445,53,4
2006-01,2005-12,2005-12-29,0.5289717379845225,kr_only,0.19314491989681642,0.02412218903229424,1.0,0.9999997980020998,1466,53,33
2006-02,2006-01,2006-01-31,0.5407602975910807,kr_only,0.27173531727387124,-0.04982009410462218,0.0,0.02654279328986074,1487,53,1
2006-03,2006-02,2006-02-28,0.6371737187210733,kr_only,0.9144914581404888,-0.029134967596506023,0.0,7.47309156851669e-07,1507,53,33
2006-04,2006-03,2006-03-31,0.6124666492849677,kr_only,0.749777661899785,0.05368594290902884,1.0,0.8639860904184854,1529,53,33
