Variant,Config,threshold,max_shift,receiver,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,AvgDefensiveShift,ActiveMonths,CAGRDelta,SharpeDelta,MDDDelta,CalmarDelta,MultiObjectiveScore,SelectedWithinVariant,SelectedOverall
LegacySignalMonth,th0.50_shift0.10_bond,0.5,0.1,BOND,129.0,0.12859330747767928,0.13855820913817057,0.9451221063428289,1.7777736329854694,-0.1298226382385037,0.9905306903518171,3.6709444176660666,0.5968992248062015,0.11951269984062796,1.9299942755149754e-05,2,4.4519086928040963e-07,9.522291944619177e-06,0.0,3.4292237111044344e-06,0.8218749999999999,False,False
LegacySignalMonth,th0.50_shift0.20_bond,0.5,0.2,BOND,129.0,0.1285937525127936,0.1385570654920453,0.945131622215784,1.7778089020308685,-0.1298226382385037,0.9905341183757761,3.670959978895877,0.5968992248062015,0.11958989961164855,3.859988551029951e-05,2,8.902259835963378e-07,1.9038164899676246e-05,0.0,6.857247670133404e-06,0.840625,False,False
LegacySignalMonth,th0.50_shift0.30_bond,0.5,0.3,BOND,129.0,0.12859419739215738,0.1385559228100372,0.9451411316692279,1.777844143494273,-0.1298226382385037,0.9905375452000175,3.670975534739471,0.5968992248062015,0.11966709938266916,5.7899828265449264e-05,2,1.3351053473886765e-06,2.8547618343588432e-05,0.0,1.0284071911503823e-05,0.859375,False,False
LegacySignalMonth,th0.50_shift0.40_bond,0.5,0.4,BOND,129.0,0.12859464211577598,0.13855478109217015,0.9451506347026414,1.7778793573709188,-0.1298226382385037,0.9905409708245821,3.6709910851969587,0.5968992248062015,0.11974429915368977,7.719977102059901e-05,2,1.7798289659864963e-06,3.8050651757104426e-05,0.0,1.370969647618292e-05,0.878125,False,False
LegacySignalMonth,th0.55_shift0.10_bond,0.55,0.1,BOND,129.0,0.12859286228681,0.13855935374838912,0.9451125840508843,1.7777383363628454,-0.1298226382385037,0.990527261128106,3.670928851049935,0.5968992248062015,0.11943550006960736,0.0,0,0.0,0.0,0.0,0.0,0.5125,False,False
LegacySignalMonth,th0.55_shift0.20_bond,0.55,0.2,BOND,129.0,0.12859286228681,0.13855935374838912,0.9451125840508843,1.7777383363628454,-0.1298226382385037,0.990527261128106,3.670928851049935,0.5968992248062015,0.11943550006960736,0.0,0,0.0,0.0,0.0,0.0,0.5125,False,False
LegacySignalMonth,th0.55_shift0.30_bond,0.55,0.3,BOND,129.0,0.12859286228681,0.13855935374838912,0.9451125840508843,1.7777383363628454,-0.1298226382385037,0.990527261128106,3.670928851049935,0.5968992248062015,0.11943550006960736,0.0,0,0.0,0.0,0.0,0.0,0.5125,False,False
LegacySignalMonth,th0.55_shift0.40_bond,0.55,0.4,BOND,129.0,0.12859286228681,0.13855935374838912,0.9451125840508843,1.7777383363628454,-0.1298226382385037,0.990527261128106,3.670928851049935,0.5968992248062015,0.11943550006960736,0.0,0,0.0,0.0,0.0,0.0,0.5125,False,False
LegacySignalMonth,th0.60_shift0.10_bond,0.6,0.1,BOND,129.0,0.12859286228681,0.13855935374838912,0.9451125840508843,1.7777383363628454,-0.1298226382385037,0.990527261128106,3.670928851049935,0.5968992248062015,0.11943550006960736,0.0,0,0.0,0.0,0.0,0.0,0.5125,False,False
LegacySignalMonth,th0.60_shift0.20_bond,0.6,0.2,BOND,129.0,0.12859286228681,0.13855935374838912,0.9451125840508843,1.7777383363628454,-0.1298226382385037,0.990527261128106,3.670928851049935,0.5968992248062015,0.11943550006960736,0.0,0,0.0,0.0,0.0,0.0,0.5125,False,False
