oap_weight,max_shift,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,existing
0.0,0.2,129.0,0.12674058066005944,0.13867771946660656,0.9324577556324769,1.7597229160091756,-0.13596402218589287,0.932162631131764,3.6066775244418716,0.5968992248062015,structure_index_volume
0.25,0.05,129.0,0.12499158237133745,0.13870653551130518,0.9210696121193351,1.7160793821419142,-0.13111004946712235,0.9533333476674556,3.5469468737701835,0.5891472868217055,structure_index_volume
0.25,0.1,129.0,0.12602333940647426,0.13900952127448277,0.9259643823050846,1.735394708200952,-0.13193969146136175,0.9551586638610559,3.582073293648298,0.5891472868217055,structure_index_volume
0.25,0.15,129.0,0.12601317314365668,0.13895461600374534,0.9261879836057992,1.7409814040092824,-0.13276851043448268,0.9491194314923074,3.5817256472312975,0.5891472868217055,structure_index_volume
0.25,0.2,129.0,0.12610034336898757,0.13868211321007481,0.9282900987906016,1.7503471614627861,-0.13359663126770616,0.943888645787054,3.5847075219032107,0.5968992248062015,structure_index_volume
0.5,0.05,129.0,0.12479077550797735,0.1387177280748701,0.9197065263415685,1.7130529014128475,-0.13051827960381868,0.95611722654308,3.5401467855044215,0.5891472868217055,structure_index_volume
0.5,0.1,129.0,0.12568175375474788,0.13902775107408763,0.9236565406680132,1.7300792543033001,-0.1307512404221418,0.961228003260033,3.5704091464259404,0.5891472868217055,structure_index_volume
0.5,0.15,129.0,0.12555444800568005,0.13897646843742967,0.9231019951753392,1.7337390971258344,-0.1309808561480238,0.9585709827991102,3.566070848066874,0.5891472868217055,structure_index_volume
0.5,0.2,129.0,0.1258788128583952,0.1386197231259986,0.9272106816489254,1.7479450613357774,-0.13123449361345485,0.9591899918413632,3.577133924976425,0.5891472868217055,structure_index_volume
0.75,0.05,129.0,0.12459364683715979,0.13873011817988806,0.9183606483856598,1.7100126821002177,-0.12994901342916199,0.9587887091199694,3.5334827583397206,0.5891472868217055,structure_index_volume
0.75,0.1,129.0,0.12535781632812615,0.13904830786800634,0.9214499893730704,1.724822278452058,-0.12955787423841136,0.9675816083354664,3.5593794699620576,0.5891472868217055,structure_index_volume
0.75,0.15,129.0,0.12548884030692453,0.13891251977236707,0.9230391658797283,1.7336028519223217,-0.1292233006661948,0.9711007199164723,3.563836950156062,0.5891472868217055,structure_index_volume
0.75,0.2,129.0,0.1258911914197307,0.1384945144271647,0.9280036738489548,1.74994202149934,-0.12888273793122407,0.9767886176262818,3.577556735188705,0.5891472868217055,structure_index_volume
