set,C,cal_CAGRd,cal_Sharped,cal_MDDd,val_CAGRd,val_Sharped,val_MDDd,locked_CAGR,locked_Sharpe,locked_MDD,gate,score,prelock_gate,prelock_score
monthly6,0.03,0.0006397201517227,0.0054139480694215,0.0,0.000461928455673,0.0049109639838911,-1.1102230246251563e-16,0.1999427634211241,1.4619759378841908,-0.1015234001935998,False,0.1444121252451169,True,0.1444121252451169
meta3,0.1,-4.984748282788054e-05,-0.0002143886135883,0.0,-0.0002715359567981,-0.0037797560957797,-1.1102230246251563e-16,0.2049145249017194,1.4764752183236445,-0.0953760611804627,False,-0.1027487175954244,False,-0.1027487175954244
monthly6,0.3,-0.0008721893418435,-0.0043542748282487,0.0,0.0016854605384009,0.0216267804434696,-1.1102230246251563e-16,0.207488335137796,1.501863887568751,-0.0925679477086744,False,-0.174304430749328,False,-0.174304430749328
meta3,0.03,-4.984748282788054e-05,-0.0002143886135883,0.0,-0.0005765418724761,-0.0080805526424391,-1.1102230246251563e-16,0.2047834046794612,1.4819813619521378,-0.0989406946081346,False,-0.2192652400964068,False,-0.2192652400964068
monthly6,0.1,-0.001339857340086,-0.0062435705906185,0.0,0.0016371982931544,0.0205775231097429,-1.1102230246251563e-16,0.2054294221340959,1.4932196242329283,-0.0952874729877055,False,-0.2588571458209721,False,-0.2588571458209721
meta3,0.3,-0.0014538005641087,-0.010113323146863,0.0,0.0013187410971913,0.0163905737184701,-1.1102230246251563e-16,0.2060429349796895,1.4858166307467062,-0.0913158614797206,False,-0.3476465193481326,False,-0.3476465193481326
meta5,0.3,-0.0014538005641087,-0.010113323146863,0.0,-0.0006302717394401,-0.0082057552232575,-1.1102230246251563e-16,0.2063670014942815,1.4877770158604986,-0.0961706706747497,False,-0.3476465193481326,False,-0.3476465193481326
impulse5,0.1,-0.0014538005641087,-0.010113323146863,0.0,-0.0003741548241571,-0.0056150192165912,-1.1102230246251563e-16,0.2049144363431896,1.4767046778049149,-0.0970190304169084,False,-0.3476465193481326,False,-0.3476465193481326
impulse5,0.3,-0.0014538005641087,-0.010113323146863,0.0,0.0001333652876069,0.0014887251718601,-1.1102230246251563e-16,0.2073833370040207,1.4927024703064606,-0.0946366911966142,False,-0.3476465193481326,False,-0.3476465193481326
components6,0.3,-0.0014538005641087,-0.010113323146863,0.0,-0.0009052552742505,-0.0113361494380117,-1.1102230246251563e-16,0.1987203332201776,1.4433046776660452,-0.1015317389727811,False,-0.3476465193481326,False,-0.3476465193481326
meta5,0.1,-4.984748282788054e-05,-0.0002143886135883,0.0,-0.001084071391521,-0.0140147022643867,-1.1102230246251563e-16,0.2044100063780094,1.475064457054102,-0.0970263304264882,False,-0.3887011844398469,False,-0.3887011844398469
