Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
delta_CAGR,-0.0032169962522384933,-0.008889678070094432,-0.0027711099263293404,0.0009857097886848297,0.137,2000,12
delta_Sharpe,0.003832957655143867,-0.020007530980406734,0.0037207351430886826,0.029504128348950248,0.589,2000,12
delta_MDD,-0.0019920312841525626,-0.01032107880712324,-0.00040309664866633454,0.003209477123243941,0.4745,2000,12
