target_month,history_through,observations,expanding_beta,beta_se,beta_z,reliability,shrunk_positive_beta,expanding_spearman_ic
2007-04,2007-03,12,-0.06354889230117677,0.15635398006799697,-0.40644243449088996,0.14177488608684782,0.0,0.17482517482517487
2007-05,2007-04,13,-0.0801030112882264,0.16121241179337487,-0.4968786856863976,0.19800362461310078,0.0,0.15384615384615383
2007-06,2007-05,14,-0.0355065120421274,0.17747439647338942,-0.20006554606005528,0.038485782229235446,0.0,0.21318681318681318
2007-07,2007-06,15,-0.031367163612903565,0.1474332542913976,-0.21275501082616863,0.04330452837842634,0.0,0.18928571428571428
2007-08,2007-07,16,-0.12871910169901904,0.14054208502745225,-0.9158758508092163,0.45617551625665487,0.0,-0.02058823529411765
2007-09,2007-08,17,-0.14654372635073204,0.1202579826704082,-1.2185779529693703,0.5975745378694111,0.0,-0.14950980392156862
2007-10,2007-09,18,-0.08400454543680097,0.10170469987681727,-0.8259652261748535,0.4055469206918109,0.0,-0.07739938080495357
2007-11,2007-10,19,-0.030884743948406217,0.0930836567722624,-0.3317955591706989,0.09917075404823487,0.0,0.031578947368421054
2007-12,2007-11,20,-0.04632974567732445,0.10206409932896736,-0.453927933347033,0.17084737076943027,0.0,-0.022556390977443608
2008-01,2007-12,21,-0.05235856071476702,0.0985240271026385,-0.5314293604769313,0.2202225397832681,0.0,-0.04935064935064935
2008-02,2008-01,22,-0.02030805783070701,0.1145211191932254,-0.17733024243713777,0.03048731046421925,0.0,-0.010728402032749858
2008-03,2008-02,23,-0.01694677905426408,0.1028048660233185,-0.16484413345201154,0.026454718698161035,0.0,0.007905138339920948
2008-04,2008-03,24,-0.02228830028001489,0.0968744694014262,-0.23007403723324815,0.050272913080287085,0.0,-0.011304347826086955
2008-05,2008-04,25,-0.03416327469665166,0.09973967120803132,-0.3425244366947616,0.10500364783605952,0.0,-0.03153846153846154
2008-06,2008-05,26,-0.027961786158178556,0.0969370176692488,-0.28845312998574785,0.07681389229742462,0.0,-0.004444444444444444
2008-07,2008-06,27,-0.03732937188418,0.10224258476536179,-0.3651059093414725,0.11762291675508708,0.0,-0.045177045177045176
2008-08,2008-07,28,-0.05028252897576412,0.10146688062310115,-0.49555607373541555,0.19715846906786091,0.0,-0.07991242474001095
2008-09,2008-08,29,-0.018469803312185153,0.10155990987891314,-0.18186116287623877,0.03201464670320835,0.0,-0.028571428571428564
2008-10,2008-09,30,-0.01830636433879443,0.09967170695571936,-0.18366660808695995,0.032632613184432405,0.0,-0.041156840934371525
2008-11,2008-10,31,0.0878707097081614,0.11228675827217356,0.782556296577467,0.37980432921730095,0.03337367595855641,0.05
2008-12,2008-11,32,0.07076502306881546,0.10957053420189491,0.6458399019797026,0.29433806877652363,0.020828840227001287,0.01979472140762463
2009-01,2008-12,33,0.06551092899195438,0.10890015191144534,0.6015687567196977,0.2657235943434504,0.017407799520520666,0.0053475935828877
2009-02,2009-01,34,0.05743006345246315,0.1043182903869645,0.5505272684150463,0.23258756922803567,0.013357518859020253,0.0050420168067226885
2009-03,2009-02,35,0.05165506946105674,0.10534071378031086,0.4903618706133311,0.19384404099241806,0.010013027402075285,-0.01988795518207283
2009-04,2009-03,36,0.007511198978139373,0.11198621944684542,0.06707252923833709,0.004478576298946581,3.363947772016677e-05,-0.06743886743886744
2009-05,2009-04,37,0.031500175929571925,0.11496296058082817,0.2740028246525956,0.06983454176214955,0.0021998003514687487,-0.03413940256045519
2009-06,2009-05,38,0.031537113063792414,0.11289817884412126,0.279341202725119,0.07238332738343156,0.002282761179624783,-0.028996607943976366
2009-07,2009-06,39,0.02713530799995086,0.10287049611612019,0.263781249478184,0.06505405108006618,0.0017652617127021316,-0.017813765182186237
2009-08,2009-07,40,0.0334645464796792,0.10591885286970086,0.31594513698941373,0.090761405422752,0.0030372892703306917,-0.012195121951219513
2009-09,2009-08,41,0.03241477476171109,0.10434732688589979,0.310643077586027,0.08800656539215565,0.0028527129947385236,-0.01271777003484321
2009-10,2009-09,42,0.048846078281402056,0.10114961566070134,0.4829091832167954,0.18910236565741687,0.0092369089561005,0.030386516489749615
2009-11,2009-10,43,0.0022036555793859274,0.09432020035322318,0.023363559143570273,0.0005455580997498262,1.2022221503928886e-06,-0.017366354575656905
2009-12,2009-11,44,0.0021970791872275245,0.0931910019309514,0.023576087194077177,0.0005555231099240559,1.2205282628380515e-06,-0.022128259337561663
2010-01,2009-12,45,-0.0026406913509836507,0.09343911954092594,-0.028261089830015348,0.0007980518030253727,0.0,-0.03346508563899868
2010-02,2010-01,46,-0.00010178128344880178,0.09302853605222486,-0.0010940866939114602,1.1970242609253126e-06,0.0,-0.037064446500154176
2010-03,2010-02,47,-0.0004504162179041993,0.09187777124461134,-0.004902341576234266,2.403237536112922e-05,0.0,-0.0469472710453284
2010-04,2010-03,48,-0.007477827849330805,0.09049464610981517,-0.08263282051245847,0.0067818751411221736,0.0,-0.0650238818931828
2010-05,2010-04,49,-0.005767582531967343,0.08940118506285008,-0.06451349082132038,0.004144740128919543,0.0,-0.05622448979591836
2010-06,2010-05,50,0.004769510722700845,0.0886072807040497,0.053827526189762186,0.0028890318872780278,1.3779268564597212e-05,-0.033949579831932766
2010-07,2010-06,51,0.0012422817596432845,0.08694345536767036,0.014288387255715431,0.00020411633838376283,2.53570004019325e-07,-0.04009049773755656
2010-08,2010-07,52,-0.005585529426736655,0.08558517548587694,-0.06526281444218533,0.004241170805993907,0.0,-0.060018782549304185
2010-09,2010-08,53,-0.007668817632500567,0.0844173087341471,-0.09084413786101313,0.00818510848771316,0.0,-0.07393968714723431
2010-10,2010-09,54,-0.010976168484679723,0.08404802849812505,-0.13059400298633514,0.016768805105729846,0.0,-0.07993138936535163
2010-11,2010-10,55,-0.010805776283782285,0.08300578665930708,-0.1301809996468563,0.016664674879571042,0.0,-0.07763347763347765
2010-12,2010-11,56,-0.012109249528381591,0.08212809190152612,-0.14744345385377905,0.021277018800380916,0.0,-0.0760082023239918
2011-01,2010-12,57,-0.0005832203877385818,0.08208006202701208,-0.007105506176964721,5.048566909941488e-05,0.0,-0.04919626652838994
2011-02,2011-01,58,-0.0006663292764794518,0.08123026204952831,-0.008202968446330661,6.728416386816244e-05,0.0,-0.048571164908179275
2011-03,2011-02,59,0.0006817527520986311,0.08142406740312505,0.0083728653436498,7.009995971404433e-05,4.7790840457052887e-08,-0.0506136762127411
2011-04,2011-03,60,0.01194176173237773,0.08116079592868303,0.14713707025336592,0.021190556361290018,0.00025305257504304663,-0.025340372325646017
2011-05,2011-04,61,0.010534329678956298,0.08059658706729032,0.13070441394945365,0.016796695069845147,0.00017694192338264865,-0.028344791115811736
2011-06,2011-05,62,0.012109274032196074,0.08002079885724683,0.1513265826525729,0.02238707650645093,0.000271091244196353,-0.02163128604165093
2011-07,2011-06,63,0.011849579999653899,0.0794899503458807,0.1490701648207529,0.021738835505754665,0.00025759607042475654,-0.028657834101382493
2011-08,2011-07,64,0.011957767222272299,0.07878173438884319,0.1517834979774921,0.022519422614799993,0.0002692820136077529,-0.027655677655677655
2011-09,2011-08,65,0.02639291493144078,0.08075884763772664,0.32681143556970815,0.09649906304936867,0.0025468915620257275,-0.0020104895104895103
2011-10,2011-09,66,0.0352627528292933,0.08110045110165838,0.43480341169856,0.1589953069747976,0.005606612210869902,0.020185784364888843
2011-11,2011-10,67,0.005250260171010056,0.08057108387466991,0.06516308231842767,0.004228273088629067,2.2199533789382862e-05,-0.01915555910288132
2011-12,2011-11,68,0.006165986599885745,0.07942279657860372,0.07763497214283241,0.005991079531568961,3.694091611050398e-05,-0.01519257930297362
2012-01,2011-12,69,0.005773894588384707,0.07912008402628398,0.07297634550623831,0.005297335792688868,3.0586258466262866e-05,-0.020533430763609792
