Signal,Period,Observations,SpearmanIC,StandardizedBeta,HACBetaSE,HACBetaT,HACBetaPValue
near_otm2_direction_primary,full_1997_2026,348,-0.1384421099026793,-0.019375482464404115,0.011701134546765251,-1.6558635734823182,0.09774944986025373
next_otm2_direction_robustness,full_1997_2026,348,-0.10364437752339693,-0.010945814753176557,0.011706662298028551,-0.9350073039195703,0.34978453534498055
equal_months_otm2_direction_robustness,full_1997_2026,348,-0.11428667428015575,-0.0159777320117596,0.01220612286059048,-1.3089932154743744,0.19053664891364452
near_otm2_direction_primary,pre_2007,113,-0.1768987001122224,-0.0342344295883833,0.021771607357250134,-1.5724346405219793,0.11584978589020554
next_otm2_direction_robustness,pre_2007,113,-0.027918137877358317,-0.011884229744516254,0.020274353196601307,-0.5861705983551904,0.5577608776088551
equal_months_otm2_direction_robustness,pre_2007,113,-0.08728650384733276,-0.023403206569014384,0.022074955908095953,-1.0601700255460667,0.2890672550012279
near_otm2_direction_primary,early_2007_2017,132,-0.10275336144024436,-0.00048508348534524303,0.007938270213186702,-0.061106950546914354,0.951274033761656
next_otm2_direction_robustness,early_2007_2017,132,-0.1859033674845162,-0.007453343506640353,0.008381580321140137,-0.8892527686982166,0.3738672489194389
equal_months_otm2_direction_robustness,early_2007_2017,132,-0.13253934610189622,-0.003308827232412626,0.008644176574746929,-0.3827810785447192,0.7018820920928835
near_otm2_direction_primary,late_2018_2026,103,-0.08914336022796536,-0.017213870732633155,0.010027393642107214,-1.7166844493217415,0.08603684298292331
next_otm2_direction_robustness,late_2018_2026,103,-0.1687657611876815,-0.03141728054429761,0.007558345033601903,-4.156634872399549,3.2296953866144054e-05
equal_months_otm2_direction_robustness,late_2018_2026,103,-0.12426890189290415,-0.02764120743164982,0.011180690101524142,-2.4722273116112747,0.013427410808450242
