target_month,bucket_signal_month,bucket_signal_date,wing_asym_near,wing_asym_next,wing_asym_equal_months,bucket_direction_near,bucket_direction_next,bucket_direction_equal_months
1997-08,1997-07,1997-07-31,-0.04199999999999998,-0.09399999999999997,-0.06799999999999998,0.04199999999999998,0.09399999999999997,0.06799999999999998
1997-09,1997-08,1997-08-30,-0.183,-0.124,-0.1535,0.183,0.124,0.1535
1997-10,1997-09,1997-09-30,0.006000000000000005,-0.125,-0.0595,-0.006000000000000005,0.125,0.0595
1997-11,1997-10,1997-10-31,0.21399999999999997,0.254,0.23399999999999999,-0.21399999999999997,-0.254,-0.23399999999999999
1997-12,1997-11,1997-11-27,-0.04500000000000004,-0.16999999999999993,-0.10749999999999998,0.04500000000000004,0.16999999999999993,0.10749999999999998
1998-01,1997-12,1997-12-27,0.385,0.31400000000000006,0.34950000000000003,-0.385,-0.31400000000000006,-0.34950000000000003
1998-02,1998-01,1998-01-31,-0.1070000000000001,0.31500000000000006,0.10399999999999998,0.1070000000000001,-0.31500000000000006,-0.10399999999999998
1998-03,1998-02,1998-02-28,-0.44499999999999995,-0.563,-0.504,0.44499999999999995,0.563,0.504
1998-04,1998-03,1998-03-31,0.04300000000000004,0.26899999999999996,0.156,-0.04300000000000004,-0.26899999999999996,-0.156
1998-05,1998-04,1998-04-30,0.051999999999999935,0.16600000000000004,0.10899999999999999,-0.051999999999999935,-0.16600000000000004,-0.10899999999999999
1998-06,1998-05,1998-05-30,0.28200000000000003,0.6040000000000001,0.44300000000000006,-0.28200000000000003,-0.6040000000000001,-0.44300000000000006
1998-07,1998-06,1998-06-30,0.09400000000000008,0.15200000000000002,0.12300000000000005,-0.09400000000000008,-0.15200000000000002,-0.12300000000000005
1998-08,1998-07,1998-07-31,-0.01100000000000001,0.03299999999999992,0.010999999999999954,0.01100000000000001,-0.03299999999999992,-0.010999999999999954
1998-09,1998-08,1998-08-31,0.0050000000000000044,0.172,0.0885,-0.0050000000000000044,-0.172,-0.0885
1998-10,1998-09,1998-09-30,0.14199999999999996,0.040000000000000036,0.091,-0.14199999999999996,-0.040000000000000036,-0.091
1998-11,1998-10,1998-10-30,0.021999999999999964,-0.09000000000000002,-0.03400000000000003,-0.021999999999999964,0.09000000000000002,0.03400000000000003
1998-12,1998-11,1998-11-30,-0.08799999999999997,-0.31,-0.19899999999999998,0.08799999999999997,0.31,0.19899999999999998
1999-01,1998-12,1998-12-28,-0.37699999999999995,-0.17599999999999993,-0.27649999999999997,0.37699999999999995,0.17599999999999993,0.27649999999999997
1999-02,1999-01,1999-01-29,0.09500000000000008,0.08999999999999997,0.09250000000000003,-0.09500000000000008,-0.08999999999999997,-0.09250000000000003
1999-03,1999-02,1999-02-26,0.04500000000000004,-0.04699999999999993,-0.0009999999999999454,-0.04500000000000004,0.04699999999999993,0.0009999999999999454
1999-04,1999-03,1999-03-31,-0.14100000000000007,-0.08300000000000002,-0.11200000000000004,0.14100000000000007,0.08300000000000002,0.11200000000000004
1999-05,1999-04,1999-04-30,-0.07700000000000001,0.0,-0.038500000000000006,0.07700000000000001,-0.0,0.038500000000000006
1999-06,1999-05,1999-05-31,0.14,0.15800000000000003,0.14900000000000002,-0.14,-0.15800000000000003,-0.14900000000000002
1999-07,1999-06,1999-06-30,-0.0020000000000000018,-0.02300000000000002,-0.012500000000000011,0.0020000000000000018,0.02300000000000002,0.012500000000000011
1999-08,1999-07,1999-07-30,0.20499999999999996,0.20099999999999996,0.20299999999999996,-0.20499999999999996,-0.20099999999999996,-0.20299999999999996
1999-09,1999-08,1999-08-31,0.02999999999999997,0.03999999999999998,0.034999999999999976,-0.02999999999999997,-0.03999999999999998,-0.034999999999999976
1999-10,1999-09,1999-09-29,-0.07700000000000001,-0.14900000000000002,-0.11300000000000002,0.07700000000000001,0.14900000000000002,0.11300000000000002
1999-11,1999-10,1999-10-29,-0.03699999999999998,0.020999999999999963,-0.008000000000000007,0.03699999999999998,-0.020999999999999963,0.008000000000000007
1999-12,1999-11,1999-11-30,-0.183,-0.044999999999999984,-0.11399999999999999,0.183,0.044999999999999984,0.11399999999999999
2000-01,1999-12,1999-12-27,-0.121,-0.18999999999999997,-0.15549999999999997,0.121,0.18999999999999997,0.15549999999999997
2000-02,2000-01,2000-01-31,-0.010000000000000009,0.030000000000000027,0.010000000000000009,0.010000000000000009,-0.030000000000000027,-0.010000000000000009
2000-03,2000-02,2000-02-29,-0.013999999999999957,-0.09100000000000003,-0.05249999999999999,0.013999999999999957,0.09100000000000003,0.05249999999999999
2000-04,2000-03,2000-03-31,-0.0020000000000000018,-0.008999999999999952,-0.005499999999999977,0.0020000000000000018,0.008999999999999952,0.005499999999999977
2000-05,2000-04,2000-04-28,-0.123,-0.032999999999999974,-0.07799999999999999,0.123,0.032999999999999974,0.07799999999999999
2000-06,2000-05,2000-05-31,0.07100000000000001,0.10600000000000004,0.08850000000000002,-0.07100000000000001,-0.10600000000000004,-0.08850000000000002
2000-07,2000-06,2000-06-30,-0.0050000000000000044,0.009000000000000008,0.0020000000000000018,0.0050000000000000044,-0.009000000000000008,-0.0020000000000000018
2000-08,2000-07,2000-07-31,-0.08500000000000002,0.024999999999999967,-0.030000000000000027,0.08500000000000002,-0.024999999999999967,0.030000000000000027
2000-09,2000-08,2000-08-31,0.038000000000000034,0.07800000000000001,0.058000000000000024,-0.038000000000000034,-0.07800000000000001,-0.058000000000000024
2000-10,2000-09,2000-09-29,0.03499999999999992,0.26599999999999996,0.15049999999999994,-0.03499999999999992,-0.26599999999999996,-0.15049999999999994
2000-11,2000-10,2000-10-31,0.007000000000000006,0.07000000000000006,0.038500000000000034,-0.007000000000000006,-0.07000000000000006,-0.038500000000000034
2000-12,2000-11,2000-11-30,0.13,0.07000000000000006,0.10000000000000003,-0.13,-0.07000000000000006,-0.10000000000000003
2001-01,2000-12,2000-12-26,-0.04799999999999999,0.006000000000000005,-0.02099999999999999,0.04799999999999999,-0.006000000000000005,0.02099999999999999
2001-02,2001-01,2001-01-31,-0.006000000000000005,0.031000000000000028,0.012500000000000011,0.006000000000000005,-0.031000000000000028,-0.012500000000000011
2001-03,2001-02,2001-02-28,-0.012999999999999956,0.02400000000000002,0.005500000000000033,0.012999999999999956,-0.02400000000000002,-0.005500000000000033
2001-04,2001-03,2001-03-30,-0.01599999999999996,0.027000000000000024,0.005500000000000033,0.01599999999999996,-0.027000000000000024,-0.005500000000000033
2001-05,2001-04,2001-04-30,-0.033999999999999975,0.01699999999999996,-0.008500000000000008,0.033999999999999975,-0.01699999999999996,0.008500000000000008
2001-06,2001-05,2001-05-31,0.010000000000000009,0.014000000000000012,0.01200000000000001,-0.010000000000000009,-0.014000000000000012,-0.01200000000000001
2001-07,2001-06,2001-06-29,-0.043999999999999984,0.009000000000000008,-0.017499999999999988,0.043999999999999984,-0.009000000000000008,0.017499999999999988
2001-08,2001-07,2001-07-31,0.017000000000000015,0.04299999999999998,0.03,-0.017000000000000015,-0.04299999999999998,-0.03
2001-09,2001-08,2001-08-31,0.046999999999999986,0.05099999999999999,0.04899999999999999,-0.046999999999999986,-0.05099999999999999,-0.04899999999999999
2001-10,2001-09,2001-09-28,0.069,0.04700000000000004,0.058000000000000024,-0.069,-0.04700000000000004,-0.058000000000000024
2001-11,2001-10,2001-10-31,0.03199999999999997,0.10400000000000001,0.06799999999999999,-0.03199999999999997,-0.10400000000000001,-0.06799999999999999
2001-12,2001-11,2001-11-30,-0.07300000000000001,-0.06,-0.0665,0.07300000000000001,0.06,0.0665
2002-01,2001-12,2001-12-28,0.01100000000000001,0.067,0.03900000000000001,-0.01100000000000001,-0.067,-0.03900000000000001
2002-02,2002-01,2002-01-31,0.008999999999999952,0.013000000000000012,0.010999999999999982,-0.008999999999999952,-0.013000000000000012,-0.010999999999999982
2002-03,2002-02,2002-02-28,-0.03600000000000003,0.02699999999999997,-0.004500000000000032,0.03600000000000003,-0.02699999999999997,0.004500000000000032
2002-04,2002-03,2002-03-29,-0.020999999999999963,-0.030999999999999972,-0.025999999999999968,0.020999999999999963,0.030999999999999972,0.025999999999999968
2002-05,2002-04,2002-04-30,0.007000000000000006,0.016000000000000014,0.01150000000000001,-0.007000000000000006,-0.016000000000000014,-0.01150000000000001
2002-06,2002-05,2002-05-31,0.03200000000000003,0.029000000000000026,0.030500000000000027,-0.03200000000000003,-0.029000000000000026,-0.030500000000000027
2002-07,2002-06,2002-06-28,0.05099999999999999,0.04099999999999998,0.045999999999999985,-0.05099999999999999,-0.04099999999999998,-0.045999999999999985
2002-08,2002-07,2002-07-31,0.05399999999999999,0.07800000000000001,0.066,-0.05399999999999999,-0.07800000000000001,-0.066
2002-09,2002-08,2002-08-30,0.0020000000000000018,0.02300000000000002,0.012500000000000011,-0.0020000000000000018,-0.02300000000000002,-0.012500000000000011
2002-10,2002-09,2002-09-30,0.05399999999999999,0.064,0.059,-0.05399999999999999,-0.064,-0.059
2002-11,2002-10,2002-10-31,0.05499999999999999,0.057999999999999996,0.056499999999999995,-0.05499999999999999,-0.057999999999999996,-0.056499999999999995
2002-12,2002-11,2002-11-29,0.007000000000000006,0.0,0.003500000000000003,-0.007000000000000006,-0.0,-0.003500000000000003
2003-01,2002-12,2002-12-30,-0.019000000000000017,0.044999999999999984,0.012999999999999984,0.019000000000000017,-0.044999999999999984,-0.012999999999999984
2003-02,2003-01,2003-01-30,0.09300000000000003,0.07900000000000001,0.08600000000000002,-0.09300000000000003,-0.07900000000000001,-0.08600000000000002
2003-03,2003-02,2003-02-28,0.08000000000000002,0.09000000000000002,0.08500000000000002,-0.08000000000000002,-0.09000000000000002,-0.08500000000000002
2003-04,2003-03,2003-03-31,0.068,0.05399999999999999,0.061,-0.068,-0.05399999999999999,-0.061
2003-05,2003-04,2003-04-30,0.02300000000000002,0.02400000000000002,0.02350000000000002,-0.02300000000000002,-0.02400000000000002,-0.02350000000000002
2003-06,2003-05,2003-05-30,0.03200000000000003,0.015000000000000013,0.02350000000000002,-0.03200000000000003,-0.015000000000000013,-0.02350000000000002
2003-07,2003-06,2003-06-30,0.02899999999999997,0.03799999999999998,0.033499999999999974,-0.02899999999999997,-0.03799999999999998,-0.033499999999999974
2003-08,2003-07,2003-07-31,0.025999999999999995,0.009000000000000008,0.0175,-0.025999999999999995,-0.009000000000000008,-0.0175
2003-09,2003-08,2003-08-29,0.025999999999999995,0.01999999999999999,0.022999999999999993,-0.025999999999999995,-0.01999999999999999,-0.022999999999999993
2003-10,2003-09,2003-09-30,0.05199999999999999,0.04999999999999999,0.05099999999999999,-0.05199999999999999,-0.04999999999999999,-0.05099999999999999
2003-11,2003-10,2003-10-31,0.025000000000000022,0.022999999999999965,0.023999999999999994,-0.025000000000000022,-0.022999999999999965,-0.023999999999999994
2003-12,2003-11,2003-11-28,0.035,0.018000000000000016,0.02650000000000001,-0.035,-0.018000000000000016,-0.02650000000000001
2004-01,2003-12,2003-12-30,0.044999999999999984,0.027000000000000024,0.036000000000000004,-0.044999999999999984,-0.027000000000000024,-0.036000000000000004
2004-02,2004-01,2004-01-30,0.029000000000000026,0.022999999999999993,0.02600000000000001,-0.029000000000000026,-0.022999999999999993,-0.02600000000000001
2004-03,2004-02,2004-02-27,0.018000000000000016,0.014999999999999986,0.0165,-0.018000000000000016,-0.014999999999999986,-0.0165
2004-04,2004-03,2004-03-31,0.121,0.05000000000000002,0.0855,-0.121,-0.05000000000000002,-0.0855
2004-05,2004-04,2004-04-30,0.008000000000000007,0.027999999999999997,0.018000000000000002,-0.008000000000000007,-0.027999999999999997,-0.018000000000000002
2004-06,2004-05,2004-05-31,0.057999999999999996,0.05399999999999999,0.055999999999999994,-0.057999999999999996,-0.05399999999999999,-0.055999999999999994
