Period,Months,MeanReliability,MedianReliability,P90Reliability,PositiveRawSlopeShare,OriginalMeanPositiveSlope,ShrunkMeanPositiveSlope,OriginalMeanAbsoluteMuAdjustment,ShrunkMeanAbsoluteMuAdjustment
full_2007_2026,232,0.11000227578145204,0.01588430615946848,0.4278537098043672,0.4698275862068966,0.006094409475328891,0.0014909554841826018,0.0006569504485454329,0.00017373002795332122
early_2007_2017,129,0.04846811912705286,0.014572053772040794,0.16136571973372418,0.5193798449612403,0.007262378859272455,0.001006367865883084,0.0007513855118489468,0.00011321535006613016
locked_2018_2026,103,0.18706932634861215,0.016856905543779825,0.5011539235931316,0.4077669902912621,0.004631612868253941,0.0020978661905965605,0.0005386774080973426,0.00024952025559844403
