Source,State,Observations,EffectiveObservations,WeightSum,WeightedBeta,WeightedPearson,WeightedSpearmanIC
Stage30_ODS,Goldilocks,244,185.72807171648134,48.279567329224335,0.027953959471189185,0.045696410130774696,0.015089384170393802
Stage30_ODS,Overheating,244,111.17117473941644,28.581892429945896,0.024328615813271157,0.03212656887001536,0.015173905389479075
Stage30_ODS,Slowdown,244,197.85890833029663,120.84560455908803,0.020955578239391596,0.0447732566648882,0.01096490370952819
Stage30_ODS,Stagflation,244,155.8384434948817,46.292935681741724,0.08249897197901246,0.1290046034683628,0.08781862892458808
Stage30_ODS,VIX6_LowStressSoft,244,228.6276945668205,120.13271954973129,0.03650170963358667,0.07047020800503546,0.025330505293633055
Stage30_ODS,VIX6_HighStressSoft,244,229.4863565131426,123.86728045026874,0.028620867160226354,0.048368316779463794,0.0240058007172699
LongIV_BucketDirection,Goldilocks,244,185.72807171648134,48.279567329224335,-0.2963354435046693,-0.10587576518563765,-0.08282155197064295
LongIV_BucketDirection,Overheating,244,111.17117473941644,28.581892429945896,-0.011054607125303996,-0.003810903180451505,-0.047646187827950916
LongIV_BucketDirection,Slowdown,244,197.85890833029663,120.84560455908803,-0.3276835631620485,-0.14265116002749978,-0.13420741384477453
LongIV_BucketDirection,Stagflation,244,155.8384434948817,46.292935681741724,-0.039967172465471566,-0.019257955657058182,-0.06993468838054982
LongIV_BucketDirection,VIX6_LowStressSoft,244,228.6276945668205,120.13271954973129,-0.16920277481208248,-0.0715803161799957,-0.08235865304477971
LongIV_BucketDirection,VIX6_HighStressSoft,244,229.4863565131426,123.86728045026874,-0.17668135731226062,-0.07371331888078479,-0.10227606665345004
