Period,Observations,SpearmanCorrelation,PearsonCorrelation
full_overlap,244,0.19345111813094157,0.21235053881160365
early_2007_2017,129,0.1550187156892161,0.143711938867211
late_2018_2026,103,0.2334775051845872,0.3099462130236303
