month,macro_signal_month,stress_signal_month,technical_signal_month,fundamental_signal_month,asset_vol_signal_month,stress_score,recovery_score,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,base_covariance_min_eigenvalue,adjusted_covariance_min_eigenvalue,variance_calibration_prior_records,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,downside_semivariance,estimated_transaction_cost,monthly_utility,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,macro_mu_KODEX200,stress_mu_adjustment_KODEX200,fundamental_mu_adjustment_KODEX200,credit_mu_adjustment_KODEX200,economic_mu_before_technical_KODEX200,technical_confidence_KODEX200,expected_mu_KODEX200,variance_multiplier_KODEX200,variance_calibration_observations_KODEX200,variance_calibration_last_training_month_KODEX200,credit_calibration_observations_KODEX200,credit_calibration_last_training_month_KODEX200,credit_beta_reliability_KODEX200,atr_state_KODEX200,credit_state_KODEX200,iv_state_KODEX200,macro_mu_BOND,stress_mu_adjustment_BOND,fundamental_mu_adjustment_BOND,credit_mu_adjustment_BOND,economic_mu_before_technical_BOND,technical_confidence_BOND,expected_mu_BOND,variance_multiplier_BOND,variance_calibration_observations_BOND,variance_calibration_last_training_month_BOND,credit_calibration_observations_BOND,credit_calibration_last_training_month_BOND,credit_beta_reliability_BOND,atr_state_BOND,credit_state_BOND,iv_state_BOND,macro_mu_GLD,stress_mu_adjustment_GLD,fundamental_mu_adjustment_GLD,credit_mu_adjustment_GLD,economic_mu_before_technical_GLD,technical_confidence_GLD,expected_mu_GLD,variance_multiplier_GLD,variance_calibration_observations_GLD,variance_calibration_last_training_month_GLD,credit_calibration_observations_GLD,credit_calibration_last_training_month_GLD,credit_beta_reliability_GLD,atr_state_GLD,credit_state_GLD,iv_state_GLD,macro_mu_USO,stress_mu_adjustment_USO,fundamental_mu_adjustment_USO,credit_mu_adjustment_USO,economic_mu_before_technical_USO,technical_confidence_USO,expected_mu_USO,variance_multiplier_USO,variance_calibration_observations_USO,variance_calibration_last_training_month_USO,credit_calibration_observations_USO,credit_calibration_last_training_month_USO,credit_beta_reliability_USO,atr_state_USO,credit_state_USO,iv_state_USO,cross_sectional_neutral,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200
2007-04,2007-03,2007-03,2007-03,2007-03,2007-03,0.44154815101722783,0.8531976744186046,-0.0033939393939393797,-0.0018939393939393792,0.9966060606060606,-0.0033939393939393936,1.0,0.0015,5.10153262226846e-19,7.080701333635035e-06,7.0807013336343865e-06,0,0.3429454267428201,0.07263428340210744,0.4822763499007575,0.102143939954315,0.0,0.999999999999999,6.085988194885298e-16,4.1170770496516223e-16,0.004453123265160777,7.442426655108714e-06,0.053392824621998666,8.071343887119362e-10,0.001500005000000748,0.0029493962446980855,True,False,0,Optimization terminated successfully,9,-0.002949396244698083,0.00945035025072111,-4.920775514222209e-05,0.0,0.1205496497492789,0.15995079224485778,0.005981859489816315,0.0025629826889071285,-0.011756893913204012,0.0,-0.003212051734480569,1.0,-0.003212051734480569,1.0,0,,11,2007-03,0.0,-0.417278373800113,0.3157894736842105,0.0,0.004319868846811146,0.0001332544183496534,0.0,0.0,0.004453123265160799,1.0,0.004453123265160799,1.0,0,,11,2007-03,0.0,-0.20472440944881892,0.3157894736842105,0.0,0.008036764827242006,-0.010521879815003769,0.0,0.0,-0.002485114987761763,1.0,-0.002485114987761763,1.0,0,,11,2007-03,0.0,0.009482758620689702,0.3157894736842105,0.0,-0.019417707978684137,-0.02003519418829752,0.0,0.0,-0.039452902166981656,1.0,-0.039452902166981656,1.0,0,,11,2007-03,0.0,-0.2251082251082251,0.3157894736842105,0.0,-0.010174236406015797,-0.0,-0.011756893913204012
2007-05,2007-04,2007-04,2007-04,2007-04,2007-04,0.4955475396676942,0.0,0.016141079943474728,0.019465553873640806,1.0126923587024543,0.0,0.9498496943331658,0.0028495490829994973,0.00047492484716658276,9.384217999133299e-06,9.384217999133733e-06,4,0.3824198999494422,0.1333930097136458,0.3589727499538459,0.12521434038306603,2.927966059631122e-18,0.0501503056668337,0.9498496943331664,2.7647394867167697e-17,0.013995148580785478,0.0014083333333333315,0.15949178296942573,0.000458700474430068,0.003324476930167922,0.009507804509520823,True,False,0,Optimization terminated successfully,8,-0.009507804509520823,0.12999999999999992,-0.07980483774864872,0.0,8.326672684688674e-17,0.08019516225135129,0.010159779414038166,0.013087313823655017,-0.014582200735994021,0.0,0.00866489250169916,0.6598678572526171,0.008763291532132953,1.0,1,2007-04,12,2007-04,0.0,-0.4595424107142858,-0.2012987012987013,0.0,0.0038325053889095985,4.6475772757333645e-05,0.0,0.0,0.003878981161666932,0.2610932874021471,0.0076290862851155685,1.0,1,2007-04,12,2007-04,0.0,-0.4549878345498784,-0.2012987012987013,0.0,0.006029036487105609,0.00830222839916132,0.0,0.0,0.01433126488626693,1.0,0.01433126488626693,1.0,1,2007-04,12,2007-04,0.0,-0.22249999999999998,-0.2012987012987013,0.0,-0.024329117534413212,0.03327073489748957,0.0,0.0,0.00894161736307636,1.0,0.00894161736307636,1.0,1,2007-04,12,2007-04,0.0,-0.3067729083665339,-0.2012987012987013,0.0,0.008954188978177345,-0.0,-0.014582200735994021
2007-06,2007-05,2007-05,2007-05,2007-05,2007-05,0.5871695775491049,0.0,0.014925688973463328,0.01824604691541576,1.02780748987425,0.0,0.9664043006228654,0.0028992129018685963,0.0004211450400838355,8.656675526915157e-06,8.656675526915877e-06,8,0.32986573743684366,0.1297630813977513,0.387812797762994,0.15255838340241104,0.8579991363266577,0.03359569937713442,1.2277573163861633e-16,0.10840516429620771,0.03368525389547208,0.0014083333380674496,0.3957730467172602,0.0005421872801761909,0.003320357942009053,0.029118542004253106,True,False,0,Optimization terminated successfully,15,-0.029118542004253106,0.13000000021849767,-0.07578872339897447,0.0,-2.1849766440595886e-10,0.08421127660102554,0.01633389739798579,0.036455622861358936,-0.01734297517003403,0.0,0.035446545089310694,1.0,0.035446545089310694,1.0,2,2007-05,13,2007-05,0.0,-0.45394373965802537,0.019230769230769273,0.0,0.003732169968408361,7.933590209843484e-05,0.0,0.0,0.0038115058705067957,0.3887148198813196,0.013768293850103617,1.0,2,2007-05,13,2007-05,0.0,-0.4739819004524887,0.019230769230769273,0.0,0.007043499592244383,0.007893260690121683,0.0,0.0,0.014936760282366065,0.4614273581074103,0.017717427966781822,1.0,2,2007-05,13,2007-05,0.0,-0.024919614147909996,0.019230769230769273,0.0,-0.022812535123023548,0.049016892267598686,0.0,0.0,0.026204357144575138,0.9530132072877951,0.025917523212071972,1.0,2,2007-05,13,2007-05,0.0,-0.1538461538461539,0.019230769230769273,0.0,0.020099792096689675,0.0,-0.01734297517003403
2007-07,2007-06,2007-06,2007-06,2007-06,2007-06,0.4727490475190912,0.18767123287671234,0.06584920831692272,0.06719549424008518,1.0954877993846728,0.0,0.4008355668443917,0.0012025067005331752,0.00014377922262928994,8.468591114105586e-06,8.468591114105652e-06,12,0.3726100344142113,0.12204754043204279,0.38065859698200916,0.12468382817173676,0.5661582454034889,0.03300682556532108,0.40083492903119006,3.451749458564834e-17,0.0048215300443690216,0.0009625153611126213,0.05208326836575253,0.00032549390357179464,0.0013462867455872238,0.002668491714653693,True,False,0,Optimization terminated successfully,22,-0.002668491714653693,0.10747178389396658,-0.07115246181005941,0.0,0.022528216106033422,0.0888475381899406,0.01593987588440189,0.0050908016497324335,-0.017421088026983382,0.0,0.0036095895071509426,1.0,0.0036095895071509426,1.0,3,2007-06,14,2007-06,0.0,-0.25313693398799786,0.189873417721519,0.0,0.0034935591567121804,0.0,0.0,0.0,0.0034935591567121804,1.0,0.0034935591567121804,1.0,3,2007-06,14,2007-06,0.0,0.2786016949152542,0.189873417721519,0.0,0.0048157237762527175,0.0018269605105717102,0.0,0.0,0.006642684286824428,1.0,0.006642684286824428,1.0,3,2007-06,14,2007-06,0.0,-0.192846034214619,0.189873417721519,0.0,-0.016636595063795924,0.014720508490467396,0.0,0.0,-0.0019160865733285279,0.5962851767276371,5.142697102043965e-05,1.0,3,2007-06,14,2007-06,0.0,-0.4098639455782313,0.189873417721519,0.0,0.0029574365943397557,0.0,-0.017421088026983382
2007-08,2007-07,2007-07,2007-07,2007-07,2007-07,0.6341131253053367,0.16124661246612465,-0.023316045277073944,-0.0218271090366201,1.0699453562537375,-0.023316045277074093,0.49289682122100786,0.0014786904636630237,1.0245776790822032e-05,9.529435240136181e-06,9.529435240137801e-06,16,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,0.4759346302567729,0.15847503722454065,9.06182316752252e-17,0.36559033251868633,0.04299847250366503,0.0014083333333453592,0.5075316700439082,0.0004917161136349682,0.0014889362404829525,0.04031365348287443,True,False,0,Optimization terminated successfully,12,-0.04031365348287444,0.13000000000055503,-0.1257782529021882,0.0,-5.550282455857314e-13,0.03422174709781181,0.021237938761680175,0.0346943073024698,-0.017183473194100695,0.0,0.03874877287004928,1.0,0.03874877287004928,1.0,4,2007-07,15,2007-07,0.0,-0.028317152103559895,0.15000000000000002,0.0,0.003775575555098884,0.0,0.0,0.0,0.003775575555098884,0.5464158687757221,0.014759782351930402,1.0,4,2007-07,15,2007-07,0.0,0.3876739562624254,0.15000000000000002,0.0,0.006240372031549492,0.002431801125509586,0.0,0.0,0.00867217315705908,1.0,0.00867217315705908,1.0,4,2007-07,15,2007-07,0.0,-0.1950301204819277,0.15000000000000002,0.0,-0.007970839241781132,0.06874250244234063,0.0,0.0,0.0607716632005595,1.0,0.0607716632005595,1.0,4,2007-07,15,2007-07,0.0,-0.3841269841269842,0.15000000000000002,0.0,0.027992046195691688,0.0,-0.017183473194100695
2007-09,2007-08,2007-08,2007-08,2007-08,2007-08,0.676341430829936,0.05952380952380952,0.04909602500190748,0.0500342548295501,1.1224754202150458,0.0,0.2878344064513426,0.0008635032193540278,7.472660828859198e-05,1.1100485962422171e-05,1.1100485962421683e-05,20,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,0.19071901529191687,0.3000425813583727,2.5908349609179343e-07,0.5092381442662144,0.019860852385626668,0.0014083333333689105,0.22988022862730653,0.0006761095296981352,0.0009382309885576909,0.017542345200686385,True,False,0,Optimization terminated successfully,13,-0.017542345200686385,0.13000000000164202,-0.16000000000009051,0.0,-1.6420198534206065e-12,-9.051093208256589e-14,0.01885089981116167,0.0039714871513620575,-0.014405896795849716,0.0,0.008416490166674012,0.6368843482955373,0.010178554477178957,1.0,5,2007-08,16,2007-08,0.0,0.14952025586353945,0.06172839506172845,0.0,0.003418055633750853,-0.0004406817295258373,0.0,0.0,0.0029773739042250158,0.3877406133415243,0.00927858947011127,1.0,5,2007-08,16,2007-08,0.0,0.32116104868913853,0.06172839506172845,0.0,0.007402303621850981,0.004558182810491767,0.0,0.0,0.011960486432342748,1.0,0.011960486432342748,1.0,5,2007-08,16,2007-08,0.0,-0.25181950509461426,0.06172839506172845,0.0,-0.009527169581596839,0.03924928218121795,0.0,0.0,0.029722112599621108,1.0,0.029722112599621108,1.0,5,2007-08,16,2007-08,0.0,-0.3387573964497042,0.06172839506172845,0.0,0.013269115775715722,0.0,-0.014405896795849716
2007-10,2007-09,2007-09,2007-09,2007-09,2007-09,0.5193018641774033,0.5427461139896373,0.04465571199171606,0.04649401422917191,1.1726003592979495,0.0,0.5252296717134437,0.0015756890151403312,0.0002626132223155211,1.0417107512862173e-05,1.0417107512861854e-05,24,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,0.7123383951278324,0.287658113360846,3.4915113213790335e-06,2.213318913226772e-16,0.0058239663244034744,0.0009173012865414874,0.06438378817359278,0.00023715985091338614,0.0018383024651729264,0.003289853365046418,True,False,0,Optimization terminated successfully,19,-0.0032898533650464186,0.10491718371409828,-0.06031123110451497,0.0,0.025082816285901727,0.09968876889548503,0.01964864206481681,0.0018557300614391982,-0.014641885407259497,0.0,0.006862486718996509,1.0,0.006862486718996509,1.0,6,2007-09,17,2007-09,0.0,-0.050713153724247284,0.36585365853658536,0.0,0.003370312922101818,-0.00011805856322479166,0.0,0.0,0.003252254358877026,1.0,0.003252254358877026,1.0,6,2007-09,17,2007-09,0.0,-0.3324468085106383,0.36585365853658536,0.0,0.01097708850210908,-0.0063385919332099045,0.0,0.0,0.004638496568899175,1.0,0.004638496568899175,1.0,6,2007-09,17,2007-09,0.0,-0.1267705382436261,0.36585365853658536,0.0,-0.004330054794991905,-0.006550229757725066,0.0,0.0,-0.01088028455271697,0.37511788500998944,-0.0034763545495543847,1.0,6,2007-09,17,2007-09,0.0,-0.29131652661064433,0.36585365853658536,0.0,0.0009682382735139352,0.0,-0.014641885407259497
2007-11,2007-10,2007-10,2007-10,2007-10,2007-10,0.7818130798505039,0.0,-0.01733681785041233,-0.014917931579291027,1.1522712004574729,-0.0173368178504123,0.7237804421394085,0.0021713413264182256,0.0002475449447030797,1.0009504093998328e-05,1.000950409399844e-05,28,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,0.0,0.504906580634912,0.0,0.49509341936508794,0.058633956241206354,0.0014083333333385268,0.6951574748944451,0.0005541443910783378,0.002418886479494853,0.0549567587039639,True,False,0,Optimization terminated successfully,8,-0.05495675870396393,0.1300000000002397,-0.15320939512739468,0.0,-2.396971510165713e-13,0.006790604872605327,0.02224973240988005,0.014734095829532926,-0.015473182093144617,0.0,0.02151064614626836,0.655510408719105,0.025919059245113257,1.0,7,2007-10,18,2007-10,0.0,0.01096605744125323,0.32530120481927716,0.0,0.0034170722214673277,-0.00046275440785772026,0.0,0.0,0.0029543178136096073,0.31322412554031853,0.024486987024140795,1.0,7,2007-10,18,2007-10,0.0,-0.02352941176470591,0.32530120481927716,0.0,0.013634121970384964,0.005673517450552455,0.0,0.0,0.01930763942093742,0.40557601823934564,0.028223968288183274,1.0,7,2007-10,18,2007-10,0.0,0.009602194787380003,0.32530120481927716,0.0,0.005240729763161041,0.08821701688217595,0.0,0.0,0.09345774664533699,1.0,0.09345774664533699,1.0,7,2007-10,18,2007-10,0.0,-0.003947368421052699,0.32530120481927716,0.0,0.03430758750653809,-0.0,-0.015473182093144617
2007-12,2007-11,2007-11,2007-11,2007-11,2007-11,0.6626775724585523,0.7723880597014925,0.0830898768910626,0.08634531547774382,1.2480132726486013,0.0,1.0,0.003,0.0002554385866812173,1.0775305738874807e-05,1.0775305738874589e-05,32,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,0.0,0.0,1.0,4.163336342344337e-17,0.009669142718072687,0.001355900337912802,0.10789431058939543,0.00036876090072183705,0.0032554400866854584,0.005366991561708991,True,False,0,Optimization terminated successfully,12,-0.005366991561708991,0.12755706195641864,-0.08538965235155571,0.0,0.0024429380435813663,0.07461034764844429,0.016795507113575185,-0.0016880463294096225,-0.013161772647467112,0.0,0.0019456881366984504,0.8738853853247615,0.0022423601823428323,1.0,8,2007-11,19,2007-11,0.0,0.2612287041817243,0.39880952380952384,0.0,0.0030570845221652744,-0.0016246925406929297,0.0,0.0,0.0014323919814723447,0.4507923961768485,0.003006254213753475,1.0,8,2007-11,19,2007-11,0.0,0.4992,0.39880952380952384,0.0,0.013610521919044563,-0.003941379200971877,0.0,0.0,0.009669142718072687,1.0,0.009669142718072687,1.0,8,2007-11,19,2007-11,0.0,0.33666666666666667,0.39880952380952384,0.0,0.002613805947482122,0.0015313245903268305,0.0,0.0,0.004145130537808952,0.2547340861458032,0.004259124776658193,1.0,8,2007-11,19,2007-11,0.0,0.31421446384039897,0.39880952380952384,0.0,0.004298088343513109,0.0,-0.013161772647467112
2008-01,2007-12,2007-12,2007-12,2007-12,2007-12,0.5132411542673639,0.015931372549019607,0.10414849936220226,0.10434002471167553,1.377991982179064,0.0,0.05472152842093684,0.00016416458526281053,2.7360764210468425e-05,1.0120020760371872e-05,1.0120020760371654e-05,36,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,0.0,0.05472152842093684,0.9452784715790632,0.0,0.017444554458481577,0.001408333333506454,0.2008846535007402,0.0003096808657693925,0.00019152834950525902,0.016239178576453697,True,False,0,Optimization terminated successfully,5,-0.016239178576453697,0.1300000000079902,-0.07129562320052059,0.0,-7.990191841500405e-12,0.08870437679947941,0.01582020318536925,0.0003341695039714354,-0.012396679856036034,0.0,0.003757692833304651,0.9575867908247926,0.003983382263821069,1.0,9,2007-12,20,2007-12,0.0,0.05933503836317133,0.49411764705882355,0.0,0.003046356919003379,-6.455838563737144e-05,0.0,0.0,0.0029817985333660075,0.8093819651947263,0.004144015843692206,1.0,9,2007-12,20,2007-12,0.0,0.20045731707317072,0.49411764705882355,0.0,0.017639887350137957,0.0005746262512902982,0.0,0.0,0.018214513601428256,1.0,0.018214513601428256,1.0,9,2007-12,20,2007-12,0.0,0.16038961038961042,0.49411764705882355,0.0,0.009048293983437828,0.0023132970771302186,0.0,0.0,0.011361591060568048,1.0,0.011361591060568048,1.0,9,2007-12,20,2007-12,0.0,0.2446555819477435,0.49411764705882355,0.0,0.00907889900716674,-0.0,-0.012396679856036034
