Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
full_common,delta_CAGR,0.01867709735399949,-0.0023433953671148527,0.01748249058285467,0.042731425787223984,0.92,2000,12
full_common,delta_Sharpe,-0.1405351808276417,-0.25855280050067275,-0.1406515926365851,-0.023478529203411404,0.023,2000,12
full_common,delta_MDD,-0.04940006198837209,-0.09313007636571723,-0.046462737218259165,-0.017804412542133212,0.012,2000,12
locked_2018_2026,delta_CAGR,0.039246836506203246,0.0030690135680433556,0.03620670533028547,0.0857805131700822,0.9695,2000,12
locked_2018_2026,delta_Sharpe,-0.09634396992116796,-0.2803376983437874,-0.0851451391735974,0.04939271775565466,0.1625,2000,12
locked_2018_2026,delta_MDD,-0.030015470462399624,-0.05227061714969107,-0.02793233944980683,-0.011035345293879137,0.0105,2000,12
