month,policy,model_active,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,stage36_mu_KODEX200,stage36_mu_BOND,stage36_mu_GLD,stage36_mu_USO,optimizer_mu_KODEX200,optimizer_mu_BOND,optimizer_mu_GLD,optimizer_mu_USO,strategic_prior_w_KODEX200,strategic_prior_w_BOND,strategic_prior_w_GLD,strategic_prior_w_USO,equilibrium_mu_KODEX200,equilibrium_mu_BOND,equilibrium_mu_GLD,equilibrium_mu_USO,posterior_mu_KODEX200,posterior_mu_BOND,posterior_mu_GLD,posterior_mu_USO,regime_confidence,bl_risk_aversion,bl_tau,covariance_cutoff,covariance_start,covariance_end,covariance_observations,lw_shrinkage,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,expected_monthly_return,expected_monthly_variance,downside_semivariance,estimated_transaction_cost,monthly_utility,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,turnover_budget_l1,baseline_turnover_budget_l1,minimum_risk_trade_l1,risk_required_extra_trade_l1,actual_trade_l1,turnover_slack
2007-04,black_litterman_lw,False,-0.003393979911460189,-0.0018939787307535887,0.9966060200885398,-0.0033939799114601765,1.0,0.0015,1.180706600417266e-09,0.0,0.9999976385867992,2.361413200834532e-06,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0015000045867296717,,True,False,0,Stage36 frozen warm-up allocation,0,,,,0.0,,,1.0,1.0,0.0,0.0,1.0,0.0
2007-05,black_litterman_lw,False,0.002277211701651505,0.0022772428347960687,0.9988755029794217,-0.0011244970205782634,8.895184161023039e-06,2.6685552483069118e-08,4.4475920805087505e-09,5.187306255812741e-20,0.9999887828140038,1.1217185996202345e-05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3.432926252589795e-08,,True,False,0,Stage36 frozen warm-up allocation,0,,,,0.0,,,1.7790368322046078e-05,1.7790368322046078e-05,0.0,0.0,1.7790368322046078e-05,0.0
2007-06,black_litterman_lw,False,-0.011502853901367372,-0.010113022338644594,0.9873855840029946,-0.012614415997005413,0.3970947322065079,0.0011912841966195238,0.000198547366103254,0.0,0.6028938480843683,0.3971061519156317,5.692061405548898e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.001389834562727185,,True,False,0,Stage36 frozen warm-up allocation,0,,,,0.0,,,0.7941894644130159,0.7941894644130159,0.0,0.0,0.7941894644130159,0.0
2007-07,black_litterman_lw,False,0.015635040385717856,0.015635040614722075,1.002823397485157,0.0,6.542977648571522e-08,1.9628932945714568e-10,3.27148882428574e-11,8.65667672093895e-22,0.6092837660643063,0.3907162339356937,6.118188852188554e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,6.5074838462528085e-09,,True,False,0,Stage36 frozen warm-up allocation,0,,,,0.0,,,1.3085955297143044e-07,1.3085955297143044e-07,0.0,0.0,1.3085955297143044e-07,0.0
2007-08,black_litterman_lw,False,0.008732925301267744,0.0087329257600809,1.0115809793057584,0.0,1.3108947316542547e-07,3.932684194962764e-10,6.554473658271187e-11,2.450766030389303e-21,0.604558928764648,0.3954410712353521,6.7631653107271515e-19,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,6.529944689678743e-09,,True,False,0,Stage36 frozen warm-up allocation,0,,,,0.0,,,2.6217894633085093e-07,2.6217894633085093e-07,0.0,0.0,2.6217894633085093e-07,0.0
2007-09,black_litterman_lw,False,0.030340093710277308,0.030340095841963486,1.0422724410134292,0.0,6.090531936009394e-07,1.8271595808028184e-09,3.045265968143473e-10,2.775856437596188e-17,0.5980301413442428,0.4019698586557572,2.840093107110903e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,7.098058803810541e-09,,True,False,0,Stage36 frozen warm-up allocation,0,,,,0.0,,,1.2181063872018789e-06,1.2181063872018789e-06,0.0,0.0,1.2181063872018789e-06,0.0
2007-10,black_litterman_lw,False,0.02709763361866582,0.027097634256547088,1.0705155577508436,0.0,1.8225179077015522e-07,5.467553723104657e-10,9.112589538506023e-11,2.7913806011666384e-17,0.581894628869611,0.4181053711303891,2.98349783547116e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,6.557652668779907e-09,,True,False,0,Stage36 frozen warm-up allocation,0,,,,0.0,,,3.6450358154031044e-07,3.6450358154031044e-07,0.0,0.0,3.6450358154031044e-07,0.0
2007-11,black_litterman_lw,False,0.010910031586226153,0.012175248014544341,1.0821949162994517,0.0,0.36149040809091054,0.0010844712242727317,0.00018074520404545518,4.7340671402658346e-17,0.2078174340384077,0.7921825659615922,3.4043101183097585e-17,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.0012652194283230278,,True,False,0,Stage36 frozen warm-up allocation,0,,,,0.0,,,0.7229808161818211,0.7229808161818211,0.0,0.0,0.7229808161818211,0.0
2007-12,black_litterman_lw,False,0.06526698835007223,0.06542435564305762,1.1528265192940754,0.0,0.04496208371011156,0.00013488625113033468,2.2481041855055802e-05,1.8571958160625e-18,0.2496085011767209,0.750391498823279,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.00015737029302431208,,True,False,0,Stage36 frozen warm-up allocation,0,,,,0.0,,,0.08992416742022312,0.08992416742022312,0.0,0.0,0.08992416742022312,0.0
2008-01,black_litterman_lw,False,0.08629670779574589,0.08640995874336438,1.2523116525687832,0.0,0.03235741360528342,9.707224081585027e-05,1.6178706802641714e-05,4.675525514123435e-19,0.2672310250415718,0.7327689749584281,6.0182749693602115e-18,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0.00011325394767257542,,True,False,0,Stage36 frozen warm-up allocation,0,,,,1.1102230246251565e-16,,,0.06471482721056684,0.06471482721056684,0.0,0.0,0.06471482721056684,0.0
