Candidate,Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage46_Stage36Mu_LW,full_2007_2026,delta_CAGR,0.009398536926944992,-0.0024032808179536456,0.00868603354099129,0.022922313022537943,0.9115,2000,12
Stage46_Stage36Mu_LW,full_2007_2026,delta_Sharpe,-0.0628360572047566,-0.13951331617574633,-0.06093382011928039,0.008307633847652391,0.079,2000,12
Stage46_Stage36Mu_LW,full_2007_2026,delta_MDD,-0.01780042763523455,-0.04785028015537034,-0.017152024712460356,0.005545972281996042,0.098,2000,12
Stage46_GuardedBlackLitterman_LW,full_2007_2026,delta_CAGR,0.00022132398722961178,-0.0004211334894021479,0.0002134201267630642,0.0008973545706150497,0.704,2000,12
Stage46_GuardedBlackLitterman_LW,full_2007_2026,delta_Sharpe,0.0004216607773413884,-0.005435895293292908,0.0005101083272415208,0.006332837952324109,0.5515,2000,12
Stage46_GuardedBlackLitterman_LW,full_2007_2026,delta_MDD,0.000618748943044148,-0.0005683647250334434,0.0006314002774990279,0.0022431500155548787,0.813,2000,12
Stage46_Stage36Mu_LW,common_2010_2026,delta_CAGR,0.013268297336410896,0.0007037648799481877,0.012580628007006545,0.02841557392965769,0.9625,2000,12
Stage46_Stage36Mu_LW,common_2010_2026,delta_Sharpe,-0.07669515022470164,-0.16539214914438602,-0.07433134958560972,0.003754514305788865,0.06,2000,12
Stage46_Stage36Mu_LW,common_2010_2026,delta_MDD,-0.0216118817924315,-0.05015050694617501,-0.02049888715179693,-0.0004054560790529708,0.0485,2000,12
Stage46_GuardedBlackLitterman_LW,common_2010_2026,delta_CAGR,0.0002960237803076403,-0.000505010637153458,0.0002934321918076632,0.0011132995050196492,0.738,2000,12
Stage46_GuardedBlackLitterman_LW,common_2010_2026,delta_Sharpe,0.0007843305384613617,-0.0076217442304548294,0.0009927183793512206,0.008004707788841103,0.5935,2000,12
Stage46_GuardedBlackLitterman_LW,common_2010_2026,delta_MDD,0.0006634265826896792,-0.0006389893004173197,0.0006593392983261781,0.0023990858957906253,0.8235,2000,12
Stage46_Stage36Mu_LW,locked_2018_2026,delta_CAGR,0.02052138119960449,0.0004376852038945003,0.018326637083139974,0.046950197956023385,0.9565,2000,12
Stage46_Stage36Mu_LW,locked_2018_2026,delta_Sharpe,-0.07770149520913416,-0.2072227773567795,-0.07301057056539345,0.03533325622447707,0.1455,2000,12
Stage46_Stage36Mu_LW,locked_2018_2026,delta_MDD,-0.022849561306475388,-0.04543512148023818,-0.02049888715179682,-0.0035333910414337678,0.0245,2000,12
Stage46_GuardedBlackLitterman_LW,locked_2018_2026,delta_CAGR,0.0011364229498131819,4.024158481780171e-05,0.0010931266587570487,0.002406087523785505,0.9545,2000,12
Stage46_GuardedBlackLitterman_LW,locked_2018_2026,delta_Sharpe,0.005812060089186077,-0.00434256417141915,0.006042296817292014,0.014754012308431695,0.8545,2000,12
Stage46_GuardedBlackLitterman_LW,locked_2018_2026,delta_MDD,0.0008820691835183841,-0.0006294744607936165,0.001097139352233878,0.0025740307371237107,0.8355,2000,12
