target_month,signal_month,p_growth_high,p_inflation_high,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,regime
2006-04,2006-03,0.536911723753829,0.16111054886482476,0.45040958124789043,0.08650214250593856,0.3884798698872848,0.0746084063588862,Goldilocks
2006-05,2006-04,0.5613428805867576,0.13685501705177996,0.48452029109216166,0.076822589494596,0.3786246918560584,0.060032427557183965,Goldilocks
2006-06,2006-05,0.6164975399753997,0.13777782235416833,0.5315578514308873,0.0849396885445124,0.3306643262149444,0.05283813380965592,Goldilocks
2006-07,2006-06,0.41298818939972426,0.27699175424144845,0.2985938663368951,0.11439432306282919,0.4244143794216565,0.16259743117861927,Slowdown
2006-08,2006-07,0.2828241060105634,0.28327965646806225,0.2027057904190042,0.08011831559155921,0.5140145531129336,0.20316134087650303,Slowdown
2006-09,2006-08,0.2939508318795835,0.23021944038989636,0.22627763586212127,0.06767319601746222,0.5435029237479824,0.16254624437243415,Slowdown
2006-10,2006-09,0.3973888430410169,0.2900181273644388,0.2821388749467402,0.11524996809427664,0.4278429976888209,0.1747681592701622,Slowdown
2006-11,2006-10,0.4089023340394456,0.18245035873141977,0.3342979565078339,0.07460437753161168,0.48325168476074637,0.1078459811998081,Slowdown
2006-12,2006-11,0.525354682841575,0.1237086222048628,0.46036377885837115,0.06499090398320392,0.41592759893676606,0.058717718221658874,Goldilocks
2007-01,2006-12,0.3422203813510057,0.1200073883604159,0.3011514071413659,0.04106897420963977,0.5788412044982182,0.07893841415077614,Slowdown
2007-02,2007-01,0.37045022139200223,0.1346302748741773,0.32057640625879713,0.0498738151332051,0.5447933188670255,0.0847564597409722,Slowdown
2007-03,2007-02,0.2474950690532749,0.11104874417618633,0.22001105244511018,0.027484016608164696,0.6689402033787034,0.08356472756802164,Slowdown
2007-04,2007-03,0.4155797101449275,0.17477822335642243,0.3429454267428201,0.07263428340210744,0.4822763499007575,0.102143939954315,Slowdown
2007-05,2007-04,0.515812909663088,0.2586073500967118,0.3824198999494422,0.1333930097136458,0.3589727499538459,0.12521434038306603,Goldilocks
2007-06,2007-05,0.459628818834595,0.28232146480016235,0.32986573743684366,0.1297630813977513,0.387812797762994,0.15255838340241104,Slowdown
2007-07,2007-06,0.4946575748462541,0.24673136860377953,0.3726100344142113,0.12204754043204279,0.38065859698200916,0.12468382817173676,Slowdown
2007-08,2007-07,0.43640980324038936,0.2479212625148481,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,Slowdown
2007-09,2007-08,0.46684653990533703,0.20942744192522436,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,Slowdown
2007-10,2007-09,0.4582373271889401,0.14297196261682243,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,Slowdown
2007-11,2007-10,0.6556990433382349,0.29243610680736426,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,Goldilocks
2007-12,2007-11,0.5554456743229074,0.40519009234380315,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,Goldilocks
2008-01,2007-12,0.4760467874874655,0.5057750942142966,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,Stagflation
2008-02,2008-01,0.45175668132021496,0.5326829805996472,0.21111358580875786,0.2406430955114571,0.25620343359159486,0.2920398850881902,Stagflation
2008-03,2008-02,0.4434534349890649,0.5658579714784412,0.19252177382100585,0.2509316611680591,0.24162025470055298,0.31492631031038215,Stagflation
2008-04,2008-03,0.5605604598753015,0.5714513396841587,0.24022743410559233,0.3203330257697091,0.18832122621024894,0.2511183139144496,Overheating
2008-05,2008-04,0.5516446066224828,0.6053911900065746,0.21768382175858922,0.3339607848638936,0.17692498823483618,0.271430405142681,Overheating
