month,signal_month,regime,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,objective_mode,solver_success,used_retry,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_monthly_return,expected_monthly_variance,expected_annual_return,expected_annual_volatility,expected_sharpe,expected_squared_loss,expected_log_growth,expected_cagr,standardized_mse_quality,standardized_log_growth,combined_score,target_volatility,sum_error,volatility_slack,cdar_slack,w_KODEX200,w_BOND,w_GLD,w_USO
2007-04,2007-03,Slowdown,0.0004608764540076698,0.0021772163604532584,1.0004608764540077,0.0,1.0,0.0015,0.0002163399064455886,combined,True,False,False,0,Optimization terminated successfully,7,-0.5667912082279973,0.010316262500836965,0.000474382762724938,0.12379515001004358,0.07544927536232045,1.6407732137327748,0.9799482830330372,0.12094885343369396,0.12856718855462895,0.5677642676598946,0.5658181487960999,0.5667912082279973,0.07544927536231884,0.0,-1.609823385706477e-15,0.1221682317198767,0.17577926130315108,0.39154092580567174,0.4326798128911772,0.0
2007-05,2007-04,Goldilocks,0.0371927265554996,0.03764204452885486,1.0376707442614372,0.0,0.13842587671033607,0.0004152776301310082,3.4040343224251035e-05,combined,True,False,False,0,Optimization terminated successfully,6,-0.5713348474531388,0.011556525288393021,0.000494763818350596,0.13867830346071625,0.07705300656176339,1.7997779664776072,0.9775152665183058,0.1357097205506127,0.14534937394976072,0.5724406646424839,0.5702290302637936,0.5713348474531388,0.07705300655460941,0.0,-7.153985737140545e-12,0.11363995040264799,0.32474537300478473,0.31960517444630826,0.35564945254890645,6.230462099321393e-16
2007-06,2007-05,Slowdown,-0.00744973737710282,-0.00714409970500898,1.0299403697327867,-0.007449737377102861,0.09263476659126284,0.0002779042997737885,2.773337232005063e-05,combined,True,False,False,0,Optimization terminated successfully,6,-0.5446015022347521,0.011244071014624605,0.00048328675185300887,0.13492885217549527,0.07615406110140224,1.771788007416072,0.9781215738555856,0.1320291316643772,0.1411415621360177,0.5458602997199669,0.5433427047495373,0.5446015022347521,0.07615406110135352,0.0,-4.872491299323656e-14,0.11730787408937896,0.24892231708834867,0.3458803855771559,0.4051972973344954,1.3673978528533323e-16
2007-07,2007-06,Slowdown,0.040363913812759125,0.04044402039060636,1.0715127940489622,0.0,0.025162675764413563,7.548802729324069e-05,4.6185505539878825e-06,combined,True,False,False,0,Optimization terminated successfully,6,-0.5644990569764712,0.0114211015071408,0.0004904264802272255,0.1370532180856896,0.0767145211985756,1.7865355338779636,0.977778665025582,0.13411065920432624,0.1435193535852446,0.5656777331366294,0.5633203808163129,0.5644990569764712,0.07671452119754006,2.220446049250313e-16,-1.0355327706434991e-12,0.11530089707018934,0.26993953907424983,0.3233384019485785,0.40672205897717156,1.6160977028539222e-16
2007-08,2007-07,Slowdown,0.0068878315930456045,0.007160495053695514,1.0788931937241653,0.0,0.08410202334045226,0.0002523060700213568,2.035739062855299e-05,combined,True,False,False,0,Optimization terminated successfully,6,-0.5275689433618438,0.011133427076175125,0.00047858299364886715,0.1336011249141015,0.07578255685701299,1.7629535140412451,0.9783356820397591,0.1307296269522083,0.13965960641154354,0.5289168082275368,0.5262210784961509,0.5275689433618438,0.07578255685184623,0.0,-5.1667559120005535e-12,0.11924650445292509,0.20089208895258903,0.35656821730600224,0.44253969374140856,1.9402988975351116e-16
2007-09,2007-08,Slowdown,0.041866233643502934,0.041961060391912,1.1240623882490062,0.0,0.028887507773354314,8.666252332006295e-05,8.164225089000776e-06,combined,True,False,False,0,Optimization terminated successfully,6,-0.566223461429354,0.011377402343495813,0.0004847536199527767,0.13652882812194977,0.0762695446389535,1.7900831684291947,0.9778593942170469,0.1336203064022331,0.1429587631207515,0.5674154941058978,0.5650314287528101,0.566223461429354,0.0762695446384854,1.1102230246251565e-16,-4.680977827575816e-13,0.1168918144787118,0.20874274550685834,0.32438107814351824,0.46687617634962286,4.586304891533732e-16
2007-10,2007-09,Slowdown,0.04030880690531435,0.040559149265622936,1.169372002006462,0.0,0.07152638865959793,0.00021457916597879379,3.576319432979891e-05,combined,True,False,False,0,Optimization terminated successfully,7,-0.5026125549686591,0.011045792403660243,0.00048300421251955766,0.13254950884392291,0.07613179723502324,1.7410531953519361,0.9785134289350239,0.12965148356880557,0.13843155207584462,0.5041515543105274,0.5010735556267907,0.5026125549686591,0.07613179723502304,0.0,-1.942890293094024e-16,0.11798189049393529,0.23901476360899315,0.35231080938504283,0.4086744270059639,1.9475603811245672e-16
2007-11,2007-10,Goldilocks,-0.01400443382193817,-0.013992442170266696,1.152995609191135,-0.014004433821938167,0.0034924124438911485,1.0477237331673446e-05,1.5144143398014288e-06,combined,True,False,False,0,Optimization terminated successfully,7,-0.39486381794528325,0.011162987435335706,0.0005239243308407725,0.13395584922402848,0.07929118469344035,1.6894166702381288,0.9783225617486508,0.13081230323898382,0.13975383313109366,0.39685007427986946,0.392877561610697,0.39486381794528325,0.07929118469341176,1.1102230246251565e-16,-2.858824288409778e-14,0.11730130581836759,0.24377432674762142,0.34372330350356006,0.41250236974881804,3.33066907387547e-16
2007-12,2007-11,Goldilocks,0.041807440136277095,0.042081329870044065,1.2011994040997838,0.0,0.08098907689710062,0.00024296723069130188,3.092250307566466e-05,combined,True,False,False,0,Optimization terminated successfully,7,-0.4034770776714347,0.010790929553112488,0.0005029408575640017,0.12949115463734984,0.07768713079248081,1.6668288983827813,0.9790375259119594,0.12647350949196584,0.1348193888357525,0.4056076284200574,0.401346526922812,0.4034770776714347,0.07768713078916652,0.0,-3.3142932842622486e-12,0.11990272456941911,0.14640467766790582,0.36660550989139296,0.4869898124407012,0.0
2008-01,2007-12,Stagflation,0.031263704178484945,0.03157969603554474,1.2387533469289318,0.0,0.09028338773136935,0.00027085016319410807,4.5141693865684676e-05,combined,True,False,False,0,Optimization terminated successfully,8,-0.1508443848253517,0.010456905618961154,0.0004866266222137521,0.12548286742753384,0.07641674859979994,1.64208592653813,0.9796821622594153,0.12256310769425133,0.13039045415828823,0.15351994109400782,0.14816882855669558,0.1508443848253517,0.07641674859979945,0.0,-4.85722573273506e-16,0.12320889255558015,0.18818554320446595,0.3944224009064748,0.41739205588905925,0.0
