month,macro_signal_month,covariance_cutoff,covariance_start,covariance_end,covariance_observations,ledoit_wolf_shrinkage,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,covariance_min_eigenvalue,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,g_score,i_score,g_i_score,w_KODEX200,w_BOND,w_GLD,w_GSG,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,estimated_transaction_cost,monthly_certainty_equivalent,solver_success,used_fallback,used_equal_weight_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,z_score_KODEX200,z_score_BOND,z_score_GLD,z_score_GSG,betting_size_KODEX200,betting_size_BOND,betting_size_GLD,betting_size_GSG,betting_size_sum,expected_return_KODEX200,predictive_std_KODEX200,training_observations_KODEX200,last_training_month_KODEX200,used_mean_fallback_KODEX200,regime_intercept_KODEX200,standardized_regime_intercept_KODEX200,regime_beta_KODEX200_g_score,standardized_regime_beta_KODEX200_g_score,regime_feature_mean_KODEX200_g_score,regime_feature_std_KODEX200_g_score,regime_beta_KODEX200_i_score,standardized_regime_beta_KODEX200_i_score,regime_feature_mean_KODEX200_i_score,regime_feature_std_KODEX200_i_score,regime_beta_KODEX200_g_i_score,standardized_regime_beta_KODEX200_g_i_score,regime_feature_mean_KODEX200_g_i_score,regime_feature_std_KODEX200_g_i_score,expected_return_BOND,predictive_std_BOND,training_observations_BOND,last_training_month_BOND,used_mean_fallback_BOND,regime_intercept_BOND,standardized_regime_intercept_BOND,regime_beta_BOND_g_score,standardized_regime_beta_BOND_g_score,regime_feature_mean_BOND_g_score,regime_feature_std_BOND_g_score,regime_beta_BOND_i_score,standardized_regime_beta_BOND_i_score,regime_feature_mean_BOND_i_score,regime_feature_std_BOND_i_score,regime_beta_BOND_g_i_score,standardized_regime_beta_BOND_g_i_score,regime_feature_mean_BOND_g_i_score,regime_feature_std_BOND_g_i_score,expected_return_GLD,predictive_std_GLD,training_observations_GLD,last_training_month_GLD,used_mean_fallback_GLD,regime_intercept_GLD,standardized_regime_intercept_GLD,regime_beta_GLD_g_score,standardized_regime_beta_GLD_g_score,regime_feature_mean_GLD_g_score,regime_feature_std_GLD_g_score,regime_beta_GLD_i_score,standardized_regime_beta_GLD_i_score,regime_feature_mean_GLD_i_score,regime_feature_std_GLD_i_score,regime_beta_GLD_g_i_score,standardized_regime_beta_GLD_g_i_score,regime_feature_mean_GLD_g_i_score,regime_feature_std_GLD_g_i_score,expected_return_GSG,predictive_std_GSG,training_observations_GSG,last_training_month_GSG,used_mean_fallback_GSG,regime_intercept_GSG,standardized_regime_intercept_GSG,regime_beta_GSG_g_score,standardized_regime_beta_GSG_g_score,regime_feature_mean_GSG_g_score,regime_feature_std_GSG_g_score,regime_beta_GSG_i_score,standardized_regime_beta_GSG_i_score,regime_feature_mean_GSG_i_score,regime_feature_std_GSG_i_score,regime_beta_GSG_g_i_score,standardized_regime_beta_GSG_g_i_score,regime_feature_mean_GSG_g_i_score,regime_feature_std_GSG_g_i_score
2007-08,2007-07,2007-07-31,2006-08-14,2007-07-31,252,0.04357950448783947,-0.00668568238764323,-0.005139893709087504,0.9933143176123568,-0.006685682387643221,1.0,0.0015,4.5788678555725344e-05,1.095772471714942e-05,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,0.21457928393734696,-0.31375227109092846,-0.06732473766440779,0.38521050080200836,0.523212142086541,0.09157735711145068,0.0,0.013755045808838611,0.00033119006335437294,0.1630734093259371,0.0015457901785700253,0.0120436605985914,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.0120436605985914,0.06304189686432726,-0.006888623415053696,0.0,0.06695810313567274,0.1531113765849463,0.749434330655657,1.131496750875418,0.16352961701899957,-0.12006605823844507,0.546404534557734,0.7421539298034132,0.1298985440021232,0.0,1.4184570083632704,0.02969371075492489,0.039621497895548474,13,2007-07,True,0.02969371075492489,0.02969371075492489,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True,0.0036345055379593152,0.0036345055379593152,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True,0.0045327710191258325,0.0045327710191258325,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.00669710998135858,0.05577854457467456,13,2007-07,True,-0.00669710998135858,-0.00669710998135858,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-09,2007-08,2007-08-31,2006-09-14,2007-08-31,252,0.052580760362732896,0.024367120635783376,0.024503084183789985,1.0175185274188678,0.0,0.03884672800188799,0.00011654018400566397,1.9423364000943967e-05,1.0979289686152183e-05,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,0.20403812495696325,-0.3788942527645373,-0.07730887289104588,0.3731110275008614,0.4936549921874953,0.13323398031164332,0.0,0.012241678456883226,0.00048691908985316266,0.14397862694347974,0.00013596504815356934,0.011862253863803076,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.011862253863803076,0.07643970877912835,-0.00728360447292381,0.0,0.05356029122087165,0.1527163955270762,0.6597137315362946,0.9327527957157371,0.22134300545937885,-0.15334791977292522,0.4905624469279328,0.6490523813454647,0.17517463322757698,0.0,1.3147894615009745,0.026398103380831633,0.0400144822199738,14,2007-08,True,0.026398103380831633,0.026398103380831633,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.003220639112880397,0.003452832441428467,14,2007-08,True,0.003220639112880397,0.003220639112880397,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.006022265509164111,0.027207841949491034,14,2007-08,True,0.006022265509164111,0.006022265509164111,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.008267190376975335,0.053911330451806835,14,2007-08,True,-0.008267190376975335,-0.008267190376975335,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-10,2007-09,2007-09-30,2006-10-12,2007-09-28,252,0.061103697386224176,0.035383058223339224,0.035530847374491026,1.053521444717856,0.0,0.0422254717576573,0.0001266764152729719,2.11127358788286e-05,1.0983616048347751e-05,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,-0.24415168653414918,-0.8213098562651128,0.20052418657424692,0.3594904813513394,0.45891240981277165,0.18159710883588895,0.0,0.013082878534281538,0.0005327551271486402,0.1537980116484866,0.00014779065124804163,0.012668710319459176,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.012668710319459176,0.07995662277625089,-0.005213665260091593,0.0,0.050043377223749116,0.1547863347399084,0.7007746527188291,0.953013848545333,0.33309727394206484,-0.053945211127082164,0.5165563410804574,0.6594169458902073,0.2609391429181631,0.0,1.4369124298888278,0.027085430626668697,0.03865069965299694,15,2007-09,True,0.027085430626668697,0.027085430626668697,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0031753097201224546,0.0033318610479472076,15,2007-09,True,0.0031753097201224546,0.0031753097201224546,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.01040068874023569,0.031224178502417488,15,2007-09,True,0.01040068874023569,0.01040068874023569,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.0030100248970281593,0.055797814748324036,15,2007-09,True,-0.0030100248970281593,-0.0030100248970281593,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-11,2007-10,2007-10-31,2006-11-14,2007-10-31,252,0.055181027561670294,-0.026302587667562466,-0.026186573787548708,1.0258111045585077,-0.026302587667562327,0.033146822861073184,9.944046858321956e-05,1.6573411430536598e-05,1.0132000805125949e-05,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,1.0223327583989907,-0.03946330295765162,-0.04034462736823104,0.3489104996800624,0.4324021291594055,0.2011689899606533,0.017518381199878797,0.014385376045352592,0.0006107626132520728,0.16895993686471866,0.00011601388020720981,0.013963980858519347,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.013963980858519347,0.0856104629062644,-0.006587174577704469,1.1102230246251565e-16,0.04438953709373561,0.15341282542229553,0.7638535218474756,1.010749416268363,0.41248884505897204,0.034934679180597075,0.5550454624273402,0.68786362105446,0.32001884483596177,0.027868172505502775,1.5907961008232647,0.02934873510902577,0.038421941209411684,16,2007-10,True,0.02934873510902577,0.02934873510902577,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0032819026091888553,0.0032469992624932476,16,2007-10,True,0.0032819026091888553,0.0032819026091888553,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.013376753935215986,0.03242937135258424,16,2007-10,True,0.013376753935215986,0.013376753935215986,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.002009572635524162,0.057523718054931804,16,2007-10,True,0.002009572635524162,0.002009572635524162,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-12,2007-11,2007-11-30,2006-12-14,2007-11-30,252,0.05622600341122602,0.02248056459790642,0.022626507293186108,1.048871917359785,-0.004413320090808748,0.04169791293705407,0.0001250937388111622,2.0848956468527018e-05,1.5454383339192666e-05,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,0.6028392932118781,1.1687847456157812,0.7045893699638422,0.2880367479339907,0.4423841902142276,0.25061048499936106,0.018968576852420652,0.011305794679852753,0.0006607547746205696,0.13170500751050962,0.00014594269992604996,0.010829474592616418,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.010829474592616418,0.08904525419946217,-0.014324567243503505,0.0,0.04095474580053783,0.1456754327564965,0.5008901312670533,0.822278483167283,0.431251520563963,0.03166234603950145,0.3835515517201651,0.5890815801462268,0.33371450375101563,0.025258676671826796,1.3316063122892343,0.022901877031964314,0.045722356266097025,17,2007-11,True,0.022901877031964314,0.022901877031964314,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.002896543935471112,0.00352258267091472,17,2007-11,True,0.002896543935471112,0.002896543935471112,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.013544407835062984,0.03140721177597352,17,2007-11,True,0.013544407835062984,0.013544407835062984,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0017637927375520775,0.055706318645863985,17,2007-11,True,0.0017637927375520775,0.0017637927375520775,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2008-01,2007-12,2007-12-31,2007-01-12,2007-12-31,252,0.05925555516802245,0.006401070137427672,0.0065521314370168525,1.0555858200679833,0.0,0.04316037131119453,0.0001294811139335836,2.1580185655597287e-05,1.724303866947755e-05,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,0.24060031559214723,2.1631248026334084,0.5204485101787992,0.25352928031623545,0.4169417202492422,0.26762017504824553,0.0619088243862768,0.011702604895452485,0.0007050278696060391,0.13620109152779358,0.00015106130022396886,0.011199029660425497,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.011199029660425497,0.091980076295209,-0.016133627993146715,0.0,0.038019923704791,0.1438663720068533,0.4743545656105322,0.8413615987070823,0.5029854560536023,0.11186343165146215,0.3647529133387297,0.599854608365856,0.38502550236134336,0.08906830811850885,1.438701332184438,0.021289719068224387,0.044881446520542746,18,2007-12,True,0.021289719068224387,0.021289719068224387,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0028761927222378924,0.0034184977382587093,18,2007-12,True,0.0028761927222378924,0.0028761927222378924,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.01758890270410081,0.03496900853178225,18,2007-12,True,0.01758890270410081,0.01758890270410081,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.006439918443724522,0.0575694697422627,18,2007-12,True,0.006439918443724522,0.006439918443724522,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2008-02,2008-01,2008-01-31,2007-02-14,2008-01-31,252,0.05801294117509665,0.03465234463359809,0.03487414885327085,1.0921643436953181,0.0,0.06337263419221537,0.0001901179025766461,3.1686317096107714e-05,2.5209784910208168e-05,0.21111358580875786,0.2406430955114571,0.25620343359159486,0.2920398850881902,0.37940462142654235,2.3867250134756324,0.9055345001869815,0.1633351017452852,0.4180017871051425,0.35689354526139233,0.06176956588817996,0.012210626302460935,0.000838552274822443,0.14149620198059656,0.0002218042203843738,0.011569545944665341,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.011569545944665341,0.10031264774628032,-0.018124484167132082,2.220446049250313e-16,0.029687352253719684,0.14187551583286792,0.2463403583515998,0.6712925845922967,0.5609487841601498,0.09235767027928955,0.19458122914454856,0.4979658423109554,0.4251675479959829,0.07358613014482773,1.1913007495963146,0.013570288316530685,0.05508755612493635,19,2008-01,True,0.013570288316530685,0.013570288316530685,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.004018710705222896,0.005986526288926046,19,2008-01,True,0.004018710705222896,0.004018710705222896,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.022397752288000648,0.039928337346402255,19,2008-01,True,0.022397752288000648,0.022397752288000648,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.005191559927024732,0.056211464747058446,19,2008-01,True,0.005191559927024732,0.005191559927024732,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2008-03,2008-02,2008-02-29,2007-03-15,2008-02-29,252,0.07494793203313284,-0.017517398447703118,-0.016637686836922173,1.073032465716433,-0.01751739844770317,0.2553162072149948,0.0007659486216449844,0.00011376298913596134,2.2787407623170356e-05,0.19252177382100585,0.2509316611680591,0.24162025470055298,0.31492631031038215,0.36263016367498985,2.760916214469193,1.0011914987458967,0.0,0.3383957333369605,0.33838488301187725,0.32321938365116226,0.0539904968694327,0.0012355678513091797,0.6404725553253373,0.0008797116108276682,0.052493001332950436,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.052493001332950436,0.12176540648193213,-0.07930442567103868,0.0,0.008234593518067879,0.08069557432896132,-1.1464994362483183,4.4847787564071995,4.111188648547881,2.006012577224968,0.0,0.9999927010371519,0.9999606372585099,0.9551450938745822,2.955098432170244,-0.031092939205435172,0.027119890531460154,20,2008-02,False,0.014252852885747559,0.013350598548859349,-0.0169234579467492,-0.0069369749764865395,0.016089497463965215,0.40990292872261674,-0.00869031044801356,-0.00894122600362756,-0.3071439374031829,1.0288730255512741,-0.01519750892848554,-0.005047028621961445,0.21708429894373066,0.33209578265168954,0.013852203194242546,0.00308871495042036,20,2008-02,False,0.006041793607525189,0.004155335611527294,-0.008047621552233783,-0.0032987436435118786,0.016089497463965215,0.40990292872261674,0.004507971795514072,0.004638130580350373,-0.3071439374031829,1.0288730255512741,-0.001715368657602049,-0.0005696666968825306,0.21708429894373066,0.33209578265168954,0.08471982681317031,0.020607136781012062,20,2008-02,False,0.024110085874707383,0.024367246976394336,0.01906259633511987,0.007813814066822656,0.016089497463965215,0.40990292872261674,0.01290869280356657,0.013281405820717497,-0.3071439374031829,1.0288730255512741,0.018035759655408688,0.005989599718480714,0.21708429894373066,0.33209578265168954,0.0638422779386705,0.03182546244400281,20,2008-02,False,0.007704109074028311,0.011813749600874307,0.022361744528308327,0.009166144573500533,0.016089497463965215,0.40990292872261674,0.007357297842381029,0.00756972529097243,-0.3071439374031829,1.0288730255512741,0.02768325831101453,0.00919349333514526,0.21708429894373066,0.33209578265168954
2008-04,2008-03,2008-03-31,2007-04-13,2008-03-31,252,0.0639086046247399,0.026886198530161148,0.026988221174032805,1.1018822296189934,0.0,0.02914932682047422,8.744798046142265e-05,1.457466341023711e-05,2.794735066163002e-05,0.24022743410559233,0.3203330257697091,0.18832122621024894,0.2511183139144496,0.7439274580587251,2.6850930452318766,1.9975144437905112,0.0,0.3150029703366744,0.3430278574278979,0.3419691722354277,0.03156903582103921,0.0016936177449073998,0.36866672338302614,0.00010202414401370736,0.030620202804571804,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.030620202804571804,0.1425602081188464,-0.08183716123524505,0.0,-0.012560208118846394,0.07816283876475495,-0.5300335103532121,1.2143620113576055,1.4199394621606156,1.411045170076286,0.0,0.7753904847678075,0.8443746939135233,0.8417687044406983,2.461533883122029,-0.01773024997024446,0.033451186809734156,21,2008-03,False,0.01533340576690874,0.013832136595413744,-0.01166348444063875,-0.004742579626518613,0.03259143395020449,0.40661773509073984,-0.00394598277579798,-0.004757959418336225,-0.16104583493306976,1.2057729819598724,-0.006904349823398712,-0.0025278838459028246,0.2544227370295481,0.36612916647645427,0.006700709702816625,0.00551788481535709,21,2008-03,False,0.0042515534266838245,0.003961777761080865,-0.003888118912771723,-0.0015809781060747079,0.03259143395020449,0.40661773509073984,0.00167662558285417,0.0020216298286682816,-0.16104583493306976,1.2057729819598724,0.00042039195569872783,0.00015391775633338172,0.2544227370295481,0.36612916647645427,0.030062814522159143,0.021171898748707785,21,2008-03,False,0.020442787921357182,0.02061351998979364,0.005283273783312026,0.0021482728196346203,0.03259143395020449,0.40661773509073984,0.0014435018652679504,0.0017405355485487744,-0.16104583493306976,1.2057729819598724,0.0009079870993585376,0.00033244055985951485,0.2544227370295481,0.36612916647645427,0.055987238213153045,0.03967784972477258,21,2008-03,False,0.008177943866930031,0.011510550024640203,0.014701931033481587,0.005978065898294543,0.03259143395020449,0.40661773509073984,0.003663568820190666,0.004417432300936511,-0.16104583493306976,1.2057729819598724,0.01353437072164839,0.004955327871100452,0.2544227370295481,0.36612916647645427
2008-05,2008-04,2008-04-30,2007-05-15,2008-04-30,252,0.061990449121221494,0.04028822969926512,0.040991922130837626,1.1462751139874217,0.0,0.2057795686744399,0.0006173387060233197,8.635372554918584e-05,2.868143501995965e-05,0.21768382175858922,0.3339607848638936,0.17692498823483618,0.271430405142681,0.8843609929196815,2.7954636100661703,2.472198973868956,0.20577956867443994,0.2764599967671477,0.2288114539148857,0.28894898064352675,0.03565567277839912,0.0011405628152964364,0.42102469644901086,0.0007036924316178538,0.03438169893913305,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.03438169893913305,0.11699040039061853,-0.0536952278593091,0.0,0.013009599609381473,0.1063047721406909,1.0250114691890426,1.833255682204882,1.206538505667521,2.247533200916091,0.6946422239862602,0.9332354433174557,0.7723900785914526,0.9753940287936536,3.3756617746888216,0.017435861429673075,0.017010406179618447,22,2008-04,False,0.017386890261565858,0.01770428822510207,-0.00176987667672365,-0.0007518637293730779,0.06492488959150088,0.42481136638565603,-0.0005243881573965528,-0.0006942670554897873,-0.031675885834663096,1.323956396987754,0.001245890443037987,0.0006422983630751481,0.3336541782459555,0.5155335821574839,0.008101463168205909,0.004419167084463727,22,2008-04,False,0.00409783053517284,0.004197690890956285,-0.003340928999230935,-0.0014192646131607558,0.06492488959150088,0.42481136638565603,0.0015217406220986627,0.0020147182311836486,-0.031675885834663096,1.323956396987754,0.001093863971150638,0.000563923611440299,0.3336541782459555,0.5155335821574839,0.018171012017846613,0.01506044932050755,22,2008-04,False,0.018743750824351688,0.01838931634296477,0.002064553950341577,0.0008770459846215091,0.06492488959150088,0.42481136638565603,0.0004028796335582785,0.000533395068065565,-0.031675885834663096,1.323956396987754,-0.0014257691957933803,-0.0007350319008371564,0.3336541782459555,0.5155335821574839,0.08884012159019555,0.03952783502997173,22,2008-04,False,0.007802158422062566,0.015482637864891128,0.023105614995036626,0.009815527877222412,0.06492488959150088,0.42481136638565603,0.00488790932034182,0.006471378812562617,-0.031675885834663096,1.323956396987754,0.018987260495995927,0.009788570418858064,0.3336541782459555,0.5155335821574839
