month,KODEX200,BOND,GLD,GSG
2018-01,0.2958888186586363,0.3190711454293791,0.26913188702664864,0.11590814888533608
2018-02,0.31649996441310374,0.3212334559662583,0.30838250932205896,0.05388407029857899
2018-03,0.33333337414138475,0.3333333785443412,0.33333324731427394,0.0
2018-04,0.3332993827112565,0.33341380282636807,0.33328681446237546,0.0
2018-05,0.33333332518773456,0.333333341611596,0.3333333332006694,0.0
2018-06,0.33294973164956476,0.3337069569086912,0.3333433114417441,0.0
2018-07,0.3331418815727562,0.33342994306667145,0.33342817536057234,0.0
2018-08,0.332286508151513,0.33388130673058275,0.33383218511790436,0.0
2018-09,0.33317104113474094,0.3334161706183683,0.3334127882468907,0.0
2018-10,0.33264604066034403,0.3336874061453368,0.3336665531943191,0.0
2018-11,0.3234948282393856,0.3382633989235382,0.33824177283707624,0.0
2018-12,0.29480487196848937,0.3531577353052045,0.3520373927263062,0.0
2019-01,0.30438070014113844,0.3485968615780422,0.34702243828081936,0.0
2019-02,0.33337443477454803,0.3333875044269418,0.33323806079851015,0.0
2019-03,0.37045032318810067,0.37254098846691713,0.25700868834498225,0.0
2019-04,0.33416945332442116,0.3341694996834481,0.33166104699213067,0.0
2019-05,0.3822534012454675,0.38412729226107395,0.23361930649345855,0.0
2019-06,0.35684790517921566,0.36182398946465505,0.2813281053561293,0.0
2019-07,0.3775056904936939,0.38661550844950554,0.23587880105680045,0.0
2019-08,0.4278586553698741,0.4344296909926131,0.13771165363751284,0.0
2019-09,0.4627945148778992,0.5075737970938915,0.029631688028209296,0.0
2019-10,0.49241119533938943,0.5075888046606105,0.0,0.0
2019-11,0.6649425866850261,0.3350574133149738,0.0,0.0
2019-12,0.5727014983496226,0.4272985016503774,0.0,0.0
2020-01,0.48311800087375834,0.4886741645804619,0.02820783454577986,0.0
2020-02,0.33333346345261006,0.33333346678436004,0.3333330697630299,0.0
2020-03,0.33333271941162496,0.3333337037739048,0.33333357681447023,0.0
2020-04,0.3334593737504132,0.3335250688871066,0.3330155573624803,0.0
2020-05,0.6331572865889404,0.3668427134110596,0.0,0.0
2020-06,0.5534184939832568,0.0,0.0,0.4465815060167432
2020-07,0.541473043038792,0.10061601844457731,0.0,0.3579109385166307
2020-08,0.33737030986524674,0.3448320136518407,0.24136372993904043,0.07643394654387209
2020-09,0.3432257155801131,0.3456216936924457,0.3051838473162212,0.005968743411219963
2020-10,0.33333971826987313,0.3333409058642698,0.333319375865857,0.0
2020-11,0.3333461517755805,0.33335061475173156,0.3333032334726878,0.0
2020-12,0.33430884813875883,0.3344024984985812,0.33128865336266,0.0
2021-01,0.33153730979397195,0.3348582981175944,0.33360439208843357,0.0
2021-02,0.3330216774173593,0.33353639192237466,0.3334419306602662,0.0
2021-03,0.33308949295909235,0.33345595356538543,0.3334545534755222,0.0
2021-04,0.29296583737106296,0.35384453454891124,0.35318962808002585,0.0
2021-05,0.18635402510397972,0.0,0.20772652656731916,0.6059194483287011
2021-06,0.16929837153149743,0.0,0.2131081535340028,0.6175934749344998
2021-07,0.215789805502599,0.0,0.20752312553988106,0.57668706895752
2021-08,0.19074685839389877,0.0,0.1175228080600801,0.6917303335460211
2021-09,0.1373410026745932,0.0,0.19938882332677424,0.6632701739986325
2021-10,0.013900935265899597,0.0,0.32189181211698353,0.6642072526171169
2021-11,0.0,0.19295259724862382,0.36921610583295483,0.4378312969184214
2021-12,0.0,0.2453051304356637,0.34426621009583375,0.4104286594685026
2022-01,0.005009294702110221,0.3612581415146807,0.34096495036064073,0.2927676134225683
2022-02,0.0,0.3505294321446468,0.3414793830905015,0.30799118476485166
2022-03,0.0,0.3383551006481432,0.33739340465813544,0.3242514946937214
2022-04,0.0,0.335496297755444,0.3399255025510635,0.3245781996934924
2022-05,0.0,0.391439570163721,0.39067400760225673,0.21788642223402224
2022-06,0.0,0.3501833968351064,0.3483127857587505,0.3015038174061432
2022-07,0.0,0.4566283900360009,0.4560806718927398,0.08729093807125926
2022-08,0.0,0.5001939034523711,0.49980609654762886,0.0
2022-09,0.0023187437929405694,0.49896621701751015,0.4987150391895493,0.0
2022-10,0.0,0.5000128832472392,0.4999871167527607,0.0
2022-11,0.1221880379524137,0.4390429453043353,0.438769016743251,0.0
2022-12,0.23096500883121152,0.3847496385694834,0.3842853525993051,0.0
2023-01,0.26689226110486824,0.36659484551666277,0.36651289337846893,0.0
2023-02,0.30076621375625234,0.3500679669314722,0.3491658193122755,0.0
2023-03,0.32165470747524344,0.3392612267777059,0.3390840657470507,0.0
2023-04,0.3293861818346538,0.3353454340959503,0.3352683840693959,0.0
2023-05,0.3332039733679413,0.33341087163217814,0.33338515499988053,0.0
2023-06,0.3333458388530479,0.33335605407944197,0.33329810706751023,0.0
2023-07,0.3333953300907746,0.33339602760049364,0.33320864230873165,0.0
2023-08,0.3399674517809919,0.3400073585210714,0.3200251896979367,0.0
2023-09,0.3372388197928702,0.3372690695133396,0.3254921106937902,0.0
2023-10,0.3334002683195987,0.3334018617688871,0.3331978699115143,0.0
2023-11,0.33333336189166907,0.3333335214782375,0.3333331166300934,0.0
2023-12,0.3333344594123727,0.33333479600901017,0.33333074457861717,0.0
2024-01,0.3333489988141541,0.3333493158361538,0.3333016853496921,0.0
2024-02,0.3328765230593176,0.33381595567625755,0.3333075212644248,0.0
2024-03,0.3333513548529759,0.3333892315242284,0.33325941362279565,0.0
2024-04,0.33299261677538616,0.3335757637975845,0.3334316194270293,0.0
2024-05,0.3208350313820477,0.340684912696296,0.33848005592165614,0.0
2024-06,0.3135764863167537,0.3445247063208502,0.3418988073623961,0.0
2024-07,0.31139682985561973,0.3465124749796378,0.3420906951647424,0.0
2024-08,0.30883972260172465,0.34708402870387367,0.3440762486944017,0.0
2024-09,0.3264553369496829,0.3368411890251057,0.3367034740252115,0.0
2024-10,0.31504165423592084,0.34391304721381594,0.34104529855026317,0.0
2024-11,0.3278114833688856,0.3366649397682461,0.3355235768628683,0.0
2024-12,0.3330064898198742,0.3335802659440341,0.3334132442360917,0.0
2025-01,0.33333292697961603,0.33333354909938,0.33333352392100396,0.0
2025-02,0.3332454402711204,0.3336660928188596,0.3330884669100199,0.0
2025-03,0.3333333169338117,0.33333334153316785,0.3333333415330205,0.0
2025-04,0.3333328190973957,0.3333335904513029,0.33333359045130134,0.0
2025-05,0.3333333324349378,0.3333333337825311,0.3333333337825311,0.0
2025-06,0.33333331865772975,0.333333340770469,0.33333334057180125,0.0
2025-07,0.3332617459759145,0.3333692036068296,0.33336905041725595,0.0
2025-08,0.3332212968012287,0.33338937295478127,0.33338933024399003,0.0
2025-09,0.3333333332273058,0.3333333333864073,0.33333333338628685,0.0
2025-10,0.32608081448645054,0.33696224730542834,0.3369569382081211,0.0
2025-11,0.3333332455029454,0.33333337724852724,0.33333337724852724,0.0
2025-12,0.3304405687307327,0.3347797157285711,0.3347797155406962,0.0
2026-01,0.3170825419282827,0.33055274950313945,0.33055274448934757,0.021811964079230105
2026-02,0.25867764043208114,0.2940423063179014,0.2953942432542171,0.1518858099958004
2026-03,0.2871668235920303,0.29172412684497995,0.2918235633806687,0.1292854861823209
2026-04,0.20894097846983736,0.18093054213052076,0.30883196869542817,0.3012965107042137
2026-05,0.23358623981080487,0.0,0.35369746640511074,0.41271629378408425
2026-06,0.3464572090476318,0.0,0.2601233257663283,0.39341946518604
2026-07,0.4321631535786549,0.0,0.0,0.5678368464213451
