month,KODEX200,BOND,GLD,GSG
2007-08,0.38521050080200836,0.523212142086541,0.09157735711145068,0.0
2007-09,0.3731110275008614,0.4936549921874953,0.13323398031164332,0.0
2007-10,0.3594904813513394,0.45891240981277165,0.18159710883588895,0.0
2007-11,0.3489104996800624,0.4324021291594055,0.2011689899606533,0.017518381199878797
2007-12,0.2880367479339907,0.4423841902142276,0.25061048499936106,0.018968576852420652
2008-01,0.25352928031623545,0.4169417202492422,0.26762017504824553,0.0619088243862768
2008-02,0.1633351017452852,0.4180017871051425,0.35689354526139233,0.06176956588817996
2008-03,0.0,0.3383957333369605,0.33838488301187725,0.32321938365116226
2008-04,0.0,0.3150029703366744,0.3430278574278979,0.3419691722354277
2008-05,0.20577956867443994,0.2764599967671477,0.2288114539148857,0.28894898064352675
2008-06,0.23610159900501385,0.0,0.3579921136990295,0.4059062872959567
2008-07,0.08550029530564969,0.30939902030905403,0.30908376041189767,0.2960169239733987
2008-08,0.04278079224449642,0.48014226225751094,0.4770769454979926,0.0
2008-09,0.16440547793471494,0.6780715184511911,0.15752300361409394,0.0
2008-10,0.0,0.49971339181173946,0.5002866081882605,0.0
2008-11,0.0,0.5234501071186409,0.4765498928813591,0.0
2008-12,0.0,0.5127111758407613,0.48728882415923863,0.0
2009-01,0.13605247617022068,0.4429102953685151,0.42103722846126423,0.0
2009-02,0.18776689939882302,0.4190437081721278,0.39318939242904916,0.0
2009-03,0.0,0.49858632234758316,0.5014136776524168,0.0
2009-04,0.23527148158877162,0.3856251591953953,0.3791033592158331,0.0
2009-05,0.3162179557542615,0.34276647502872104,0.34101556921701737,0.0
2009-06,0.27437052650421695,0.2303800348927096,0.30445131350991794,0.19079812509315563
2009-07,0.32973592504811267,0.0,0.3416481209803218,0.3286159539715655
2009-08,0.3938192633713923,0.0,0.26962679367393444,0.3365539429546733
2009-09,0.37249549443232627,0.0,0.30271042115799424,0.3247940844096794
2009-10,0.31108553741954675,0.2870369947058817,0.29926708339634334,0.1026103844782283
2009-11,0.298044602499219,0.29986546139367243,0.3033816389311723,0.09870829717593622
2009-12,0.2964506684740478,0.34976457328916855,0.35378475823678374,0.0
2010-01,0.2951397949083735,0.3511880910297552,0.3536721140618714,0.0
2010-02,0.0,0.4918445461914967,0.5081554538085032,0.0
2010-03,0.0,0.46305066683232365,0.4641835538349235,0.07276577933275287
2010-04,0.07897225364562943,0.4631213371056851,0.4579064092486855,0.0
2010-05,0.09279744110484127,0.45850569041684813,0.4486968684783106,0.0
2010-06,0.0,0.4999407947319127,0.5000592052680872,0.0
2010-07,0.0,0.4773917855146846,0.47830188816793645,0.044306326317378845
2010-08,0.07901934560855664,0.4260479414617161,0.4256196197774413,0.06931309315228595
