date,market,category,sell_volume,buy_volume,net_buy_volume,sell_value_krw,buy_value_krw,net_buy_value_krw
2002-01-31,ALL,전체,10728758,2730800,-7997958,258416669960,92141837750,-166274832210
2002-02-01,ALL,차익,4534314,624750,-3909564,106063586290,15131625950,-90931960340
2002-02-01,ALL,비차익,6684225,579650,-6104575,164895905400,16917438480,-147978466920
2002-02-01,ALL,전체,11218539,1204400,-10014139,270959491690,32049064430,-238910427260
2002-02-04,ALL,차익,2191389,304660,-1886729,52555261900,8711744950,-43843516950
2002-02-04,ALL,비차익,1973449,1511280,-462169,52701096950,38205024900,-14496072050
2002-02-04,ALL,전체,4164838,1815940,-2348898,105256358850,46916769850,-58339589000
2002-02-05,ALL,차익,2021950,972379,-1049571,45159743700,21876859600,-23282884100
2002-02-05,ALL,비차익,2579940,1323366,-1256574,68552269100,42256608450,-26295660650
2002-02-05,ALL,전체,4601890,2295745,-2306145,113712012800,64133468050,-49578544750
2002-02-06,ALL,차익,1256850,618410,-638440,28321616710,14848391350,-13473225360
2002-02-06,ALL,비차익,1310060,1613400,303340,42091861000,42039399150,-52461850
2002-02-06,ALL,전체,2566910,2231810,-335100,70413477710,56887790500,-13525687210
2002-02-07,ALL,차익,1931209,1567344,-363865,45681800950,42888164560,-2793636390
2002-02-07,ALL,비차익,3974040,1563954,-2410086,111028510650,36823507100,-74205003550
2002-02-07,ALL,전체,5905249,3131298,-2773951,156710311600,79711671660,-76998639940
2002-02-08,ALL,차익,1670459,174903,-1495556,40019381000,4581622370,-35437758630
2002-02-08,ALL,비차익,3608214,1013038,-2595176,112744409150,28905839600,-83838569550
2002-02-08,ALL,전체,5278673,1187941,-4090732,152763790150,33487461970,-119276328180
2002-02-14,ALL,차익,1563640,4698248,3134608,41120812100,116640038790,75519226690
2002-02-14,ALL,비차익,4743470,6622800,1879330,133946379850,187133497100,53187117250
2002-02-14,ALL,전체,6307110,11321048,5013938,175067191950,303773535890,128706343940
2002-02-15,ALL,차익,609300,2535008,1925708,14838517050,62430216880,47591699830
2002-02-15,ALL,비차익,2775604,4474205,1698601,79717755250,121588820200,41871064950
2002-02-15,ALL,전체,3384904,7009213,3624309,94556272300,184019037080,89462764780
2002-02-18,ALL,차익,789456,2291385,1501929,19351291280,60914800210,41563508930
2002-02-18,ALL,비차익,3380490,3162680,-217810,112456987450,98852348600,-13604638850
2002-02-18,ALL,전체,4169946,5454065,1284119,131808278730,159767148810,27958870080
2002-02-19,ALL,차익,4355030,107540,-4247490,108025062050,2424255350,-105600806700
2002-02-19,ALL,비차익,5598910,3653840,-1945070,149749465510,46204867200,-103544598310
2002-02-19,ALL,전체,9953940,3761380,-6192560,257774527560,48629122550,-209145405010
2002-02-20,ALL,차익,544670,305950,-238720,14580388300,7700492450,-6879895850
2002-02-20,ALL,비차익,1715380,941740,-773640,43814563430,29348829650,-14465733780
2002-02-20,ALL,전체,2260050,1247690,-1012360,58394951730,37049322100,-21345629630
2002-02-21,ALL,차익,933577,3998781,3065204,23371420110,97889110380,74517690270
2002-02-21,ALL,비차익,2247000,3427260,1180260,71489892350,100954591950,29464699600
2002-02-21,ALL,전체,3180577,7426041,4245464,94861312460,198843702330,103982389870
2002-02-22,ALL,차익,2625157,3172970,547813,63743167760,78431462000,14688294240
2002-02-22,ALL,비차익,2752210,3462018,709808,89836061600,105059749650,15223688050
