target_month,stress_signal_month,stress_signal_date,level_component,shock_component,tail_component,persistence_component,stress_raw,stress_score,recovery_score,arbitrage_sell_pressure_5d,non_arbitrage_sell_pressure_5d,arbitrage_stress_rank,non_arbitrage_stress_rank,program_stress_component,original_stress_raw,original_stress_score,original_recovery_score
2006-04,2006-03,2006-03-31,0.09668508287292818,0.16054190885004826,0.912523020257827,0.40114277790131814,0.33316710759474494,0.33692157881767704,0.029296875,-0.725951502087707,-0.16764971818725866,0.004293893129770993,0.1855916030534351,0.09494274809160305,0.3927231974705304,0.3927231974705304,0.0
2006-05,2006-04,2006-04-28,0.09205776173285199,0.36454778297265134,0.4666064981949458,0.3774261471287828,0.3768879376313145,0.39133246633485513,0.12022900763358779,0.04675770881142764,0.036234404977439134,0.5500936329588015,0.6175093632958801,0.5838014981273408,0.32515954750730797,0.3491675783603304,0.19525547445255476
2006-06,2006-05,2006-05-30,0.3253968253968254,0.5148664382057028,0.46296296296296297,0.45471677178192943,0.4580224231988959,0.4580224231988959,0.0,0.31915842426925867,-0.16998294934304004,0.8828125,0.18152573529411764,0.5321691176470589,0.43948574958685516,0.4763134817591575,0.3053571428571429
2006-07,2006-06,2006-06-30,0.4584055459272097,0.058327829016737165,0.18457538994800693,0.5482515624190993,0.283816483857161,0.47727390121152286,0.9761029411764706,-0.16562746304450826,-0.2988236030350477,0.2871956717763751,0.05184851217312895,0.16952209197475204,0.3123900818277633,0.5195622076942717,0.977112676056338
2006-08,2006-07,2006-07-31,0.55,0.5799326379834855,0.5771186440677967,0.5476605999161274,0.4724658484926848,0.4724658484926848,0.0,-0.47414524810643394,-0.18453015051133465,0.04738706820194863,0.1678476527900797,0.10761736049601417,0.5636779704918524,0.5636779704918524,0.0
2006-09,2006-08,2006-08-31,0.0768595041322314,0.16636019283746556,0.3322314049586777,0.4176285559403015,0.22459334252073787,0.37894920448932023,0.9288194444444444,-0.5458487384364459,-0.13356747731371596,0.02476107732406603,0.23501303214596003,0.12988705473501302,0.24826991446716906,0.3690919708304708,0.8083333333333333
2006-10,2006-09,2006-09-29,0.0444264943457189,0.2738136271068709,0.4798061389337641,0.34808110110516244,0.2606247897044466,0.33914955488435233,0.6309523809523809,-0.38886258997104484,-0.1391487541164193,0.08575085324232082,0.22824232081911264,0.15699658703071673,0.28653184037287904,0.34253517807843886,0.44098360655737706
2006-11,2006-10,2006-10-31,0.045813586097946286,0.41753265211660173,0.8578199052132701,0.3764216746395835,0.3586611404396768,0.3586611404396768,0.0,-0.4949031120035557,-0.1918992541475358,0.04072208228379513,0.15071368597816961,0.09571788413098237,0.4243969545168504,0.4243969545168504,0.0
2006-12,2006-11,2006-11-30,0.013117283950617283,0.3762138077683697,0.14429012345679013,0.3276597200126127,0.20539715983240175,0.3268316828905643,0.8398058252427184,-0.6308909022689395,-0.09554061780683212,0.014427040395713108,0.31698268755152514,0.16570486397361914,0.21532023379709744,0.35049608703214,0.8591772151898734
2007-01,2006-12,2006-12-28,0.03106060606060606,0.7824167244968772,0.3871212121212121,0.36282205744145535,0.3371971070370171,0.3371971070370171,0.0,-0.6976182586334038,-0.1299673114070165,0.010146103896103896,0.23498376623376624,0.12256493506493507,0.3908551500300376,0.3908551500300376,0.0
