Signal,Start,End,Observations,DownsideIC,NegativeMonthAUC,UncalibratedBrier,MeanKODEXReturn
Original_VKOSPI_VIX6_Stress,2007-04,2026-07,232,-0.12560282016409036,0.47855392156862747,0.27334428315836135,0.010907778923300596
Program_Volume_Component,2007-04,2026-07,232,-0.07651758842623946,0.4293811274509804,0.29785048766888295,0.010907778923300596
Augmented_Five_Block_Stress,2007-04,2026-07,232,-0.13082203612368604,0.4621629901960784,0.2705642920742766,0.010907778923300596
Original_VKOSPI_VIX6_Stress,2018-01,2026-07,103,-0.26179068496860136,0.44279176201373,0.28541845767767626,0.016106376918904552
Program_Volume_Component,2018-01,2026-07,103,-0.07051484458040842,0.43173150266971777,0.2881547709880966,0.016106376918904552
Augmented_Five_Block_Stress,2018-01,2026-07,103,-0.2698959657567552,0.4229595728451564,0.28000477998239,0.016106376918904552
