Candidate,Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
Stage40_CausalCalmar,full_2007_2026,delta_CAGR,-0.061621584306771955,-0.10544874677489043,-0.06082578278057005,-0.020975471833909094,0.0025,2000,12
Stage40_CausalCalmar,full_2007_2026,delta_Sharpe,0.1466314104432846,-0.3370344485656348,0.1296450177250955,0.6925980875237714,0.6675,2000,12
Stage40_CausalCalmar,full_2007_2026,delta_MDD,0.06262949779465025,0.0055480106625602375,0.05849329708814699,0.13429860808199526,0.9635,2000,12
Stage40_CausalSortino,full_2007_2026,delta_CAGR,-0.06835500972089732,-0.11716349879689011,-0.06704917201405747,-0.02333566679068442,0.0015,2000,12
Stage40_CausalSortino,full_2007_2026,delta_Sharpe,-0.013369696586516806,-0.5784740497052692,-0.03445744809391149,0.6022070793100639,0.458,2000,12
Stage40_CausalSortino,full_2007_2026,delta_MDD,0.06030172126417142,-0.005714456294463116,0.05824379750365499,0.13129832131427457,0.936,2000,12
Stage40_CausalCalmar,common_2010_2026,delta_CAGR,-0.054209599640314306,-0.10177439115292422,-0.053053298840107344,-0.011758554803223964,0.0155,2000,12
Stage40_CausalCalmar,common_2010_2026,delta_Sharpe,0.07671942392231969,-0.41847964521045566,0.051389101873565546,0.7057693325899146,0.553,2000,12
Stage40_CausalCalmar,common_2010_2026,delta_MDD,0.06033637065821534,0.0004147172846682262,0.05696946368265582,0.13719807366550185,0.9515,2000,12
Stage40_CausalSortino,common_2010_2026,delta_CAGR,-0.06149104343388755,-0.11584386788245031,-0.059822371019488396,-0.014053224117486099,0.0125,2000,12
Stage40_CausalSortino,common_2010_2026,delta_Sharpe,-0.10729625614611756,-0.6912124889766931,-0.14334089666306354,0.6165116709532847,0.357,2000,12
Stage40_CausalSortino,common_2010_2026,delta_MDD,0.05618753674281732,-0.012671841435519469,0.05445286968726548,0.13442397603833733,0.907,2000,12
