month,asset_vol_signal_month,gvz_signal_date,ovx_signal_date,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,net_expected_monthly_return,expected_monthly_variance,expected_annual_return,expected_annual_log_growth,expected_cagr,historical_downside_deviation,historical_max_drawdown,causal_sortino_objective,causal_calmar_objective,expected_sharpe,expected_annual_volatility,estimated_transaction_cost,eps_mu_adjustment_KODEX200,valuation_mu_adjustment_KODEX200,credit_stress_confirmation_multiplier,credit_equity_variance_multiplier,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,gvz_mu_adjustment_GLD,ovx_mu_adjustment_USO,expected_mu_GLD,expected_mu_USO,policy,objective_mode,objective_value,optimized_ratio,solver_success,primary_solver_message,used_objective_restart,objective_restart_attempts,used_fallback,solver_status,solver_message,solver_iterations,historical_cdar,sum_error,volatility_slack,cdar_slack
2007-04,2007-03,,,-0.003380334681352754,-0.0018773828163361238,0.9966196653186472,-0.0033803346813527924,1.0,0.0015,2.9518650166305493e-06,0.003732748868989521,0.9903635210977494,0.00389006400074984,0.002013666032511258,0.0036407228348472784,0.0021377709690213664,9.421908949885948e-06,0.025653251628256397,0.02559672017455708,0.025927129322962653,4.621759943391798e-05,-4.6217599433906464e-05,555.0537445142618,560.9795757574942,2.4125834625017304,0.010633104316173682,0.0015029518658259123,-0.0,-0.011756893913204012,1.631578947368421,1.8157894736842106,1.0,1.0,0.0,0.0,0.003531139902412381,-0.013855789355276923,Stage40_sortino,sortino,-555.0537445142618,555.0537445142618,True,Inequality constraints incompatible,True,2,False,0,Optimization terminated successfully,5,-2.3108799716953232e-05,0.0,0.11936689568382633,0.15997689120028305
2007-05,2007-04,,,0.0065426717632452785,0.0067273722856097855,1.0031402206616225,0.0,0.0596456589069473,0.0001789369767208419,5.763545643665797e-06,0.05003473471070618,0.9327579150606486,0.001768595512198381,0.015438754716446821,0.002378295528841775,0.002193595006006359,1.3332140969346121e-05,0.02632314007207631,0.026243147226260234,0.026590530769652634,5.395277965438136e-06,-5.615583349105613e-06,4878.921946320643,4735.132419303807,2.081120001436099,0.01264854504012827,0.00018470052283541585,-0.0,-0.014582200735994021,0.5974025974025974,1.2987012987012987,1.0,1.0,0.0,0.0,0.006771960121501379,-0.014769220740228699,Stage40_sortino,sortino,-4878.921946320643,4878.921946320643,True,Positive directional derivative for linesearch,True,1,False,0,Optimization terminated successfully,18,-2.8077916745528064e-06,0.0,0.11735145495987173,0.15999719220832545
2007-06,2007-05,,2007-05-31,0.0020002714363426596,0.0020002714363426596,1.0051467733916584,0.0,4.163336342344337e-17,1.2490009027033013e-19,2.7755575615628914e-20,0.054240990304056526,0.9286345715220465,0.0017925679701877206,0.015331870203709245,0.0026087159459702615,0.0026087094459702614,1.5077058819031683e-05,0.03130451335164314,0.031214050998728947,0.031706318020703936,6.74286209797044e-05,-7.283123470336328e-05,464.26150938287174,435.3395648150362,2.327330275834652,0.013450825470147927,6.5e-09,0.0,-0.01734297517003403,1.0384615384615385,1.5192307692307692,1.0,1.0,0.0,0.0,0.007915445594233675,-0.011430320479609825,Stage40_sortino,sortino,-464.26150938287174,464.26150938287174,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,5,-3.641561735168164e-05,0.0,0.11654917452985208,0.15996358438264832
2007-07,2007-06,,2007-06-29,0.01009356665219523,0.01024211044985485,1.015292289344126,0.0,0.048011235418460745,0.00014403370625538223,4.510091404238364e-06,0.015854289469679324,0.9751429142548422,2.507217523872729e-19,0.00900279627547848,0.002857345951773104,0.0027088021535174177,1.4989946811350096e-05,0.032505625842209014,0.03241568616134091,0.03294679776270126,0.0014165319282939824,-0.001583730841982267,22.947330161034607,20.80328101804446,2.4236386138135897,0.013411911188797858,0.00014854379825568657,0.0,-0.017421088026983382,1.379746835443038,1.689873417721519,1.0,1.0,0.0,0.0,0.004269739281414942,-0.0036243439408816776,Stage40_sortino,sortino,1.4989946811350096e-05,22.947330161034607,True,Positive directional derivative for linesearch,False,2,True,0,Optimization terminated successfully,16,-0.0007918654209911336,0.0,0.11658808881120214,0.15920813457900887
2007-08,2007-07,,2007-07-31,-0.002173703285004072,-0.0020989414263900773,1.0130853451595394,-0.0021737032850041027,0.023907854988073067,7.17235649642192e-05,3.03829364977544e-06,0.0033458058458824664,0.9927160154611796,0.0039381786929379705,1.6263032587282567e-19,0.00524669824109849,0.005171936382086481,1.838330328670324e-05,0.06206323658503777,0.061952936765317546,0.06391227239680261,0.0015165292615613316,-0.0017448598960541073,40.924522960500624,36.628884955941885,4.1786117493386055,0.014852597060461813,7.476185901200954e-05,0.0,-0.017183473194100695,1.3,1.65,1.0,1.0,0.0,0.0,0.006542467994757923,0.0021119020949723405,Stage40_sortino,sortino,1.838330328670324e-05,40.924522960500624,True,Positive directional derivative for linesearch,False,2,True,0,Optimization terminated successfully,10,-0.0009464996416232441,0.0,0.1151474029395382,0.15905350035837676
2007-09,2007-08,,2007-08-31,0.007196074203302463,0.007466312255062461,1.0203755824775858,0.0,0.08180000204784862,0.00024540000614354585,2.4838045616452962e-05,0.03542161727069531,0.9108556457322863,0.05372273699701845,0.0,0.004577284573067198,0.004307045021254553,3.376859817919946e-05,0.05168454025505463,0.051481928665979435,0.05283016007472963,0.001308736784713155,-0.0011858182789978855,39.49192905614149,44.55164927915894,2.5675181260529865,0.020130155939544866,0.00027023955181264503,0.0,-0.014405896795849716,1.123456790123457,1.5617283950617284,1.0,1.0,0.0,0.0,0.007256630380193924,0.0014248470361207452,Stage40_sortino,sortino,-39.49192905614151,39.49192905614149,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,11,-0.0009676459492377054,0.0,0.10986984406045514,0.1590323540507623
2007-10,2007-09,,2007-09-28,0.009818013423403351,0.009831497291749593,1.0303936436432637,0.0,0.003969661811741795,1.1908985435225384e-05,1.5748829110161094e-06,0.035629833374196736,0.9103720337257543,0.053998132900048935,0.0,0.00664498260093422,0.0066314972311668115,2.749862591933228e-05,0.07957796677400174,0.07941297501848574,0.08265133771702138,0.001271692564180213,-0.0011812068132257547,62.57641903041328,69.97194461764832,4.380732342481492,0.0181654482750079,1.3485369767408206e-05,0.0,-0.014641885407259497,1.7317073170731707,1.8658536585365852,1.0,1.0,0.0,0.0,0.008499448474214848,0.005213326308216967,Stage40_sortino,sortino,-62.576418997698156,62.57641903041328,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,12,-0.000984556954714888,0.0,0.1118345517249921,0.15901544304528512
2007-11,2007-10,,2007-10-31,-0.003565211600312994,-0.0032568645846683293,1.026720072272058,-0.0035652116003129786,0.09345861874681223,0.0002803758562404367,2.797115940422802e-05,2.98673070549199e-18,0.9993675513855751,0.0006324486144248624,0.0,0.009804273000165037,0.00949592448447448,1.5153908969731695e-05,0.11395109381369377,0.11386017035987536,0.1205954214740076,0.0022793033393137367,-0.0021422034147573488,49.99382567833323,56.29503745687366,8.45017179202356,0.013485062389057766,0.0003083485156905565,-0.0,-0.015473182093144617,1.6506024096385543,1.8253012048192772,1.0,1.0,0.0,0.0,0.016952849763063507,0.010395572715804713,Stage40_sortino,sortino,1.5153908969731695e-05,49.99382567833323,True,Positive directional derivative for linesearch,False,2,True,0,Optimization terminated successfully,11,-0.0020233391215061514,0.0,0.11651493761094224,0.15797666087849385
2007-12,2007-11,,2007-11-30,0.006506482832359925,0.0066774065624567655,1.0334004087959354,0.0,0.048835351456240225,0.00014650605436872068,2.441767572812013e-05,0.0,0.9505198372045253,0.049480162795474736,0.0,0.007545897530253124,0.007374970800120448,2.956748596096937e-05,0.08849964960144538,0.08832224468567956,0.09234006610035418,0.002919749174964642,-0.002718188183753023,30.310702837176795,33.97118222067302,4.698332284399149,0.018836396458230337,0.0001709267301326755,0.0,-0.013161772647467112,1.7976190476190477,1.8988095238095237,1.0,1.0,0.0,0.0,0.012334664423937314,0.008203389970218234,Stage40_sortino,sortino,-30.310702815527115,30.310702837176795,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,11,-0.002511357276951509,0.0,0.11116360354176967,0.1574886427230485
2008-01,2007-12,,2007-12-31,0.02908929874738772,0.02908930235668631,1.063461302013073,0.0,1.0312281696696862e-06,3.0936845090090588e-09,5.156140791551245e-10,1.1394599841759155e-14,0.9466029724858988,0.05339702751408983,0.0,0.008486332108684762,0.008486324081057471,2.5525703538257363e-05,0.10183588897268966,0.10168273475146011,0.10703219316273384,0.0028549582478636817,-0.0027834359683548415,35.66983476864917,38.4532622196427,5.818638489345536,0.017501669704890685,8.027627290794778e-09,-0.0,-0.012396679856036034,1.988235294117647,1.9941176470588236,1.0,1.0,0.0,0.0,0.017257490893971158,0.011078102098412252,Stage40_sortino,sortino,-35.669834768649366,35.66983476864917,True,Optimization terminated successfully,False,0,False,0,Optimization terminated successfully,4,-0.002014573447523945,0.0,0.11249833029510932,0.15798542655247605
