Threshold,Months,KODEX200Months,BONDMonths,GLDMonths,USOMonths,MeanForward12MConcentratedAssetReturn,MeanForward12MStrategyReturn,MeanMacroPredictionError12M
0.5,128,51,6,71,0,0.06252537768652118,0.06230778358924887,0.11450199681845455
0.6,16,9,0,7,0,0.05992784099572823,0.12627097935927606,0.19735871790421974
0.7,12,7,0,5,0,0.10111524877141582,0.13368235514054666,0.1565529087707376
0.8,10,7,0,3,0,0.06549541210138302,0.12555310296021746,0.19458906926580566
