Threshold,Months,KODEX200Months,BONDMonths,GLDMonths,USOMonths,MeanForward12MConcentratedAssetReturn,MeanForward12MStrategyReturn,MeanMacroPredictionError12M
0.5,104,11,38,55,0,0.06953227765023097,0.07025404064214087,0.09727914871784939
0.6,39,9,25,5,0,0.01638840325621035,0.030407389870564783,0.10714379252420266
0.7,37,8,25,4,0,0.020605637085212503,0.026829514713263905,0.09733186386994622
0.8,35,7,25,3,0,0.02535967428317807,0.022340936760635366,0.08601381359037993
