month,Stage55_NAV,KODEX200_NAV,BOND_NAV,GLD_NAV,GSG_NAV,Stage55_PnL,KODEX200_PnL,BOND_PnL,GLD_PnL,GSG_PnL
2018-01,1.0151467622337906,1.0284107245220284,0.9931909445382062,1.023854455892881,1.0372030514607045,0.015146762233790634,0.02841072452202842,-0.006809055461793778,0.023854455892881044,0.03720305146070446
2018-02,0.9853076363580848,0.9453054492960187,0.9948786591398473,1.0147290525096067,1.0058586587640599,-0.014692363641915174,-0.054694550703981326,-0.005121340860152701,0.014729052509606655,0.0058586587640598875
2018-03,0.9960619452491657,0.9731081698364654,1.0011057440493512,1.0119290198888244,1.0075613686111957,-0.003938054750834308,-0.02689183016353458,0.0011057440493511539,0.011929019888824444,0.007561368611195718
2018-04,0.9977328181428844,0.9921170270890882,1.00058197055229,0.9978501832434531,1.0633159761478674,-0.0022671818571156077,-0.007882972910911779,0.0005819705522900342,-0.0021498167565469073,0.06331597614786744
2018-05,0.9875165717739175,0.9592876535602817,1.0039573997555722,0.996911985452842,1.0854941970952583,-0.012483428226082505,-0.04071234643971833,0.0039573997555721885,-0.0030880145471580134,0.0854941970952583
2018-06,0.9764133531674597,0.9246089670711986,1.0115230169353429,0.9918854619044066,1.138084021861372,-0.023586646832540303,-0.07539103292880145,0.011523016935342856,-0.008114538095593371,0.13808402186137192
2018-07,0.9686185597433655,0.9226075118162388,1.0134435197579,0.9684717381676858,1.0854604596384414,-0.031381440256634474,-0.07739248818376121,0.013443519757899924,-0.031528261832314164,0.0854604596384414
2018-08,0.9664625389219855,0.925078922753094,1.0281091776756093,0.9454538542297937,1.116031512372137,-0.033537461078014474,-0.074921077246906,0.028109177675609276,-0.054546145770206333,0.11603151237213694
2018-09,0.9658122289813833,0.9321843237074195,1.025548507245533,0.9387184372699671,1.149597478372148,-0.0341877710186167,-0.06781567629258045,0.025548507245533036,-0.061281562730032935,0.1495974783721481
2018-10,0.9500299310038178,0.8191500574636552,1.033870686143281,0.9995384703853724,1.1141915249331873,-0.04997006899618217,-0.1808499425363448,0.033870686143280926,-0.00046152961462764264,0.1141915249331873
2018-11,0.959087529145001,0.8537008833212136,1.0420182738753416,0.9809426304348111,0.9899540430935516,-0.04091247085499905,-0.14629911667878637,0.04201827387534163,-0.019057369565188886,-0.010045956906448383
2018-12,0.9639266767843406,0.8298405438117109,1.0475469941220972,1.0178424803836996,0.8805771038451915,-0.03607332321565937,-0.1701594561882891,0.047546994122097175,0.01784248038369962,-0.1194228961548085
2019-01,1.0007891600112742,0.9025060213114798,1.0479543735087,1.0454186662358163,0.9671867989282371,0.0007891600112741592,-0.09749397868852017,0.04795437350870002,0.04541866623581625,-0.03281320107176289
2019-02,0.9997605540216713,0.8987874627234275,1.0492347087237381,1.0453975866628498,1.0110112027987523,-0.00023944597832870063,-0.10121253727657253,0.04923470872373814,0.045397586662849765,0.01101120279875234
2019-03,0.9948612547329647,0.8774061575564506,1.058604434615608,1.047757623062272,1.0436935040866748,-0.005138745267035283,-0.12259384244354943,0.05860443461560805,0.04775762306227205,0.04369350408667483
