target_month,w_KODEX200,w_BOND,w_GLD,w_USO
2006-04,0.45040958124789043,0.3884798698872848,0.0746084063588862,0.08650214250593856
2006-05,0.48452029109216166,0.3786246918560584,0.060032427557183965,0.076822589494596
2006-06,0.5315578514308873,0.3306643262149444,0.05283813380965592,0.0849396885445124
2006-07,0.2985938663368951,0.4244143794216565,0.16259743117861927,0.11439432306282919
2006-08,0.2027057904190042,0.5140145531129336,0.20316134087650303,0.08011831559155921
2006-09,0.22627763586212127,0.5435029237479824,0.16254624437243415,0.06767319601746222
2006-10,0.2821388749467402,0.4278429976888209,0.1747681592701622,0.11524996809427664
2006-11,0.3342979565078339,0.48325168476074637,0.1078459811998081,0.07460437753161168
2006-12,0.46036377885837115,0.41592759893676606,0.058717718221658874,0.06499090398320392
2007-01,0.3011514071413659,0.5788412044982182,0.07893841415077614,0.04106897420963977
2007-02,0.32057640625879713,0.5447933188670255,0.0847564597409722,0.0498738151332051
2007-03,0.22001105244511018,0.6689402033787034,0.08356472756802164,0.027484016608164696
2007-04,0.3429454267428201,0.4822763499007575,0.102143939954315,0.07263428340210744
2007-05,0.3824198999494422,0.3589727499538459,0.12521434038306603,0.1333930097136458
2007-06,0.32986573743684366,0.387812797762994,0.15255838340241104,0.1297630813977513
2007-07,0.3726100344142113,0.38065859698200916,0.12468382817173676,0.12204754043204279
2007-08,0.3282145338471756,0.4238642036379763,0.13972599312163433,0.10819526939321378
2007-09,0.36907606328132014,0.4214964947934556,0.11165696530120746,0.0977704766240169
2007-10,0.39272223717645033,0.4643058002067272,0.07745687260433265,0.06551509001248977
2007-11,0.46394896786708834,0.24361492532554746,0.10068603133621763,0.19175007547114664
2007-12,0.3303845902520425,0.2644253174041543,0.18012900827293832,0.22506108407086484
2008-01,0.23527417869557943,0.25895072709012407,0.2650024854224105,0.24077260879188606
2008-02,0.21111358580875786,0.25620343359159486,0.2920398850881902,0.2406430955114571
2008-03,0.19252177382100585,0.24162025470055298,0.31492631031038215,0.2509316611680591
2008-04,0.24022743410559233,0.18832122621024894,0.2511183139144496,0.3203330257697091
2008-05,0.21768382175858922,0.17692498823483618,0.271430405142681,0.3339607848638936
2008-06,0.23636881989914413,0.12175140933825625,0.2182221509309303,0.4236576198316693
