month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_HYG,w_GLD,w_USO
2007-04,0.01816301146022189,0.0199182675046239,1.0181630114602218,0.0,1.0,0.0015,0.0002552560444020078,0.4894879111959844,0.5105039605664413,8.128237574367184e-06,0.0
2007-05,0.08630061601826645,0.08774673240316327,1.1060311065562523,0.0,0.41317840846152315,0.0012395352253845695,0.00020658115951224847,0.9229763592942524,0.0769997296207479,2.391108499974186e-05,2.9526033620274414e-17
2007-06,0.007920714741623378,0.008070920293001976,1.1147916634466464,0.0,0.043311721315529295,0.00012993516394658788,2.027038743201002e-05,0.8855012066095247,0.071164642012308,0.0433341513781672,3.5550297843860014e-17
2007-07,0.08911712187068405,0.08925327577803166,1.2141386879784437,0.0,0.03922834447178986,0.00011768503341536959,1.8468873932241746e-05,0.926913243693003,0.0704473540322061,0.0026394022747909,0.0
2007-08,-0.005112519965797963,-0.0048451770868999785,1.207931379694906,-0.00511251996579809,0.0763846821135756,0.00022915404634072682,3.818883255725696e-05,0.858378454982652,0.1391377866501476,0.0024837583672004,2.829031867401281e-17
2007-09,0.03224113923621199,0.032289845631811,1.2468764634954392,0.0,0.013919682947279848,4.175904884183954e-05,6.9473467571669956e-06,0.8622678109230604,0.135147989520964,0.0025841995559757,2.945561209979892e-19
2007-10,0.05392595303235014,0.053988064740485675,1.3141154651030371,0.0,0.017746353169258412,5.3239059507775236e-05,8.872648627759067e-06,0.8837035859234498,0.1136125040263542,0.002683910050196,5.828812407773234e-17
2007-11,-0.06173022075770406,-0.06109780517579944,1.2329948273411138,-0.06173022075770396,0.19580390715485088,0.0005874117214645526,4.500386044006608e-05,0.8015019215173897,0.0,0.1984980784826103,0.0
2007-12,0.02504164917226352,0.025485963626671763,1.2638710512386055,-0.03823439811698126,0.12694698697378465,0.00038084096092135395,6.347349348689228e-05,0.6582073324478025,5.2483947289698885e-18,0.3417926675521975,0.0
2008-01,-0.04052898657311216,-0.04052894681441857,1.2126476383728109,-0.07721378328217932,1.1359626739954105e-05,3.4078880219862316e-08,5.679813369990956e-09,0.6379116579181934,5.108283184689519e-18,0.3620883420818067,0.0
2008-02,0.05315186900978407,0.054716712896116106,1.2771021268026266,-0.028165971167159465,0.4470982532377237,0.001341294759713171,0.00022354912661886188,0.1343998894548073,0.0,0.8656001105451927,4.6235824982332363e-17
2008-03,-0.04481742360070648,-0.04480121092242747,1.21986569980435,-0.07172106850694215,0.004632193794003555,1.3896581382010666e-05,2.3160968970017443e-06,0.1239646203421828,2.990833870350442e-17,0.8760353796578171,2.775557561562892e-17
2008-04,-0.004619380001460088,-0.004427589834999152,1.2142306765862065,-0.07600914163885808,0.05479719041741042,0.00016439157125223126,2.739859520870522e-05,0.1876210496778514,0.0,0.8123789503221486,0.0
2008-05,0.05513532297550671,0.05550672539972705,1.281177677106555,-0.025064607236700787,0.11530848430136612,0.00034592545290409836,2.5476971316239945e-05,0.1561622700426206,0.0,0.7285292456560133,0.1153084843013661
2008-06,0.06483308411930462,0.06504660760837615,1.3642403772181795,0.0,0.06700940604554713,0.0002010282181366414,1.2495270934888753e-05,0.1718065162645183,0.0,0.6611380483766658,0.1670554353588158
2008-07,-0.07945260063091851,-0.07935940664464312,1.2558479313624897,-0.07945260063091864,0.02763741113290223,8.29122333987067e-05,1.0281752876676862e-05,0.1660324191671837,0.0,0.6793617327495911,0.1546058480832252
2008-08,-0.020144217874648238,-0.01972503995793781,1.2305498570156974,-0.09799630800775028,0.13972596022024053,0.0004191778806607216,3.604970676140962e-11,0.1706030155673071,0.0734987449344192,0.7558982394982736,9.693238159318004e-17
2008-09,0.05797608324906315,0.05923344339916874,1.3018923179681623,-0.045701666869845226,0.3923831671937419,0.0011771495015812257,8.021064852436895e-05,6.537739100087592e-17,0.3030555900909112,0.5233695065436559,0.1735749033654328
2008-10,-0.10702117299395107,-0.10681005898660072,1.1625622749873956,-0.1478317938676067,0.07037133578345237,0.0002111140073503571,3.469446951953614e-20,6.651834438082746e-17,0.3386200454071413,0.5742252187640526,0.087154735828806
2008-11,0.14022028334083186,0.14045218421772845,1.3255770865874903,-0.028340526549674117,0.07730029229886604,0.0002319008768965981,2.7755575615628914e-20,1.6872793760999765e-17,0.4364713562944728,0.5635286437055271,0.0
2008-12,0.04751098214847861,0.047954406869360235,1.388556555884781,0.0,0.14780824029387515,0.0004434247208816255,3.297668670250442e-20,1.7452861014188738e-17,0.5432604183172824,0.4567395816827176,1.0442222173751016e-17
2009-01,0.06760830577332033,0.06770175567738042,1.4824345120985878,0.0,0.031149968020027795,9.344990406008339e-05,3.7516683658465265e-21,0.0,0.5240712018198104,0.4759287981801897,0.0
2009-02,0.09904245913160442,0.0990579992093785,1.629258471678392,0.0,0.005180025924689416,1.5540077774068246e-05,5.551115123125783e-20,4.993958701470611e-18,0.5045003432634758,0.4954996567365241,0.0
2009-03,-0.11858964990206115,-0.11844991186939624,1.4360452799220844,-0.11858964990206111,0.046579344221635836,0.00013973803266490752,2.051005578481563e-20,5.581545947565527e-17,0.5172467492237073,0.4827532507762926,4.1020111569631257e-17
2009-04,-0.03538088597424416,-0.035286407925230315,1.3852367256193097,-0.1497747289953948,0.03149253106447606,9.447759319342819e-05,4.5582041360177434e-10,9.1164082725427e-07,0.5622717034143874,0.4377273849447853,2.8448263816324013e-18
2009-05,0.05581728406310927,0.05592443934853673,1.4625568774278541,-0.10231746352609672,0.03549340184869277,0.00010648020554607831,6.750798813744144e-07,0.0013512347519695,0.5686557112968684,0.429993053951162,0.0
2009-06,-0.00363728904424061,-0.002935980126857139,1.457237135321007,-0.10558259438121931,0.20692354662303938,0.0006207706398691182,8.053827751435294e-05,0.1623576532794076,0.3443910511940024,0.49325129552659,3.207743963344394e-18
2009-07,0.025959107483272726,0.02628886210139095,1.4950657107454215,-0.08236431681385148,0.10161401294886302,0.0003048420388465891,2.4912579271637647e-05,0.2131145671853382,0.257027852872137,0.5298575799425248,6.041621314968906e-17
2009-08,0.017211229381382667,0.01776923552600949,1.5207976296333008,-0.06657067858199295,0.15989866497319777,0.0004796959949195933,7.831014970723055e-05,0.3933135162590496,0.0969156880365694,0.5097707957043809,1.6831603453127018e-18
