month,macro_signal_month,stress_signal_month,stress_signal_date,stress_score,recovery_score,stress_direction_rank,fast_slow_confirmation,direction_tail_confirmation,macro_vulnerability,crash_evidence,crash_pressure,normalization_state,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,w_KODEX200,w_BOND,w_GLD,w_USO,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,downside_risk_aversion_lambda,variance_penalty,downside_semivariance,downside_penalty,estimated_transaction_cost,monthly_utility,policy,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,largest_weight,largest_asset,weights_above_half,macro_mu_KODEX200,macro_mu_BOND,macro_mu_GLD,macro_mu_USO,stress_mu_adjustment_KODEX200,stress_mu_adjustment_BOND,stress_mu_adjustment_GLD,stress_mu_adjustment_USO
2007-04,2007-03,2007-03,2007-03-30,0.44154815101722783,0.8531976744186046,0.3436154949784792,0.40398053113261145,0.20884478452627664,0.5844202898550726,0.39908186850465355,0.0,False,0.03416926215614925,0.03566926306824841,1.0341692621561493,0.0,1.0,0.0015,9.120991522296605e-10,0.3429454267428201,0.07263428340210744,0.4822763499007575,0.102143939954315,0.585419776228641,0.4145783995730545,1.824198304459321e-06,0.0,0.005301876607440667,0.0004497596222024999,0.060923961556073,1.0,0.00022487981110124995,0.00022050210775915926,0.00022050210775915926,0.001500002924330324,0.0033564917642499334,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,12,-0.003356491764249934,0.07346506289679468,-0.04782912797734129,0.0,0.05653493710320533,0.11217087202265871,0.585419776228641,KODEX200,1,0.005981859489816315,0.004319868846811146,0.008036764827242006,-0.019417707978684137,0.0,2.181489682848952e-05,-0.0028478603448940445,0.0
2007-05,2007-04,2007-04,2007-04-30,0.4955475396676942,0.0,0.6533052039381153,0.42077840482655726,0.6681330488964319,0.484187090336912,0.5243661813533004,0.04873236270660075,False,0.08980111240962368,0.09098722635882776,1.1270388123176112,0.0,0.3953698395998773,0.001186109518799632,4.43040443948068e-09,0.3824198999494422,0.1333930097136458,0.3589727499538459,0.12521434038306603,0.9958174002358985,0.00417201026089107,1.0589503210437844e-05,1.028447357768951e-17,0.010126222594207158,0.0014083333357185045,0.11306467111617488,1.0487323627066008,0.0007041666678592523,0.0006593517179757215,0.0006914834850473347,0.0011861155617072978,0.007544456879593274,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,9,-0.007544456879593274,0.13000000011008483,-0.08803610248075433,0.0,-1.1008483014052217e-10,0.07196389751924567,0.9958174002358985,KODEX200,1,0.010159779414038166,0.0038325053889095985,0.006029036487105609,-0.024329117534413212,-7.277578310079272e-06,2.609860763735818e-05,0.0021370497021497006,0.0
2007-06,2007-05,2007-05,2007-05-31,0.5871695775491049,0.0,0.9358620689655173,0.41392394080577255,0.9234104865375532,0.5403711811654051,0.6259018695029103,0.25180373900582054,False,0.010057405114454611,0.01041761470588681,1.138373898232803,0.0,0.11209430784152594,0.0003362829235245778,2.3926667907619824e-05,0.32986573743684366,0.1297630813977513,0.387812797762994,0.15255838340241104,0.884063011660322,0.0680737484268479,0.04786323991283019,0.0,0.015140600188977041,0.0014083333362313454,0.17323720225033643,1.2518037390058205,0.0007041666681156727,0.0004925830472252208,0.0006166173002874121,0.0003602110914714604,0.013459605129102496,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,8,-0.013459605129102496,0.1300000001337544,-0.07992076868727371,0.0,-1.337543964474719e-10,0.08007923131272629,0.884063011660322,KODEX200,1,0.01633389739798579,0.003732169968408361,0.007043499592244383,-0.022812535123023548,0.0,2.302536151350693e-05,0.0022491317003778583,0.0
2007-07,2007-06,2007-06,2007-06-29,0.4727490475190912,0.18767123287671234,0.47158322056833557,0.47917005260410067,0.4790711801766409,0.5053424251537459,0.4878612193114959,0.0,False,0.0917272168199121,0.09186429487113364,1.242793767618132,0.0,0.03916523448614442,0.00011749570345843325,1.958234776310089e-05,0.3726100344142113,0.12204754043204279,0.38065859698200916,0.12468382817173676,0.9256316578408738,0.06739686502721715,0.006971477131909139,1.543647140780233e-18,0.015026167071337831,0.0014083333545285368,0.17186400472888275,1.0,0.0007041666772642684,0.0004905421115678681,0.0004905421115678681,0.0001370804468143002,0.013694377835691395,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,14,-0.013694377835691395,0.13000000097824016,-0.08159723108912814,0.0,-9.782401555469278e-10,0.07840276891087186,0.9256316578408738,KODEX200,1,0.01593987588440189,0.0034935591567121804,0.0048157237762527175,-0.016636595063795924,0.0,-2.0034814582234865e-06,0.00040460807199546556,0.0
2007-08,2007-07,2007-07,2007-07-31,0.6341131253053367,0.16124661246612465,0.6766666666666666,0.5111192052980132,0.6287306843267109,0.5635901967596106,0.5678133621281115,0.13562672425622302,False,-0.014446694961992156,-0.014224723507240368,1.2248395051566878,-0.014446694961992135,0.07399028729754216,0.0002219708618926265,5.92859161233004e-10,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,0.8572423594600059,0.13619565113265855,0.006561989407335558,1.2274447141867357e-18,0.01876447384472527,0.0014083333333560753,0.21672368613656678,1.135626724256223,0.0007041666666780376,0.000389165084899976,0.00044194627055985466,0.00022197368554620188,0.017396387221941173,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,15,-0.017396387221941173,0.13000000000104964,-0.07489182226479518,0.0,-1.0496326030562386e-12,0.08510817773520482,0.8572423594600059,KODEX200,1,0.021237938761680175,0.003775575555098884,0.006240372031549492,-0.007970839241781132,0.0,-1.2483520876854465e-06,0.0005207116642009093,0.0
2007-09,2007-08,2007-08,2007-08-31,0.676341430829936,0.05952380952380952,0.8490196078431372,0.5668173329938035,0.7124968169085817,0.533153460094663,0.604155869999016,0.2083117399980321,False,0.03242226430274369,0.03244014680115603,1.2645515753213197,0.0,0.005960668112041778,1.7882004336125337e-05,4.940762171024895e-10,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,0.8612714400104009,0.13190190860323694,0.006826651386362127,2.519450313294104e-18,0.01672750206723326,0.0014083333333880933,0.19228002480647055,1.208311739998032,0.0007041666666940466,0.0003821028826850785,0.00046169939903547116,1.7884834081202784e-05,0.015543751167422539,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,7,-0.015543751167422539,0.13000000000252737,-0.07530122638252451,0.0,-2.5273672044079376e-12,0.08469877361747549,0.8612714400104009,KODEX200,1,0.01885089981116167,0.003418055633750853,0.007402303621850981,-0.009527169581596839,0.0,-0.000126868188748397,0.0010420320491611212,0.0
2007-10,2007-09,2007-09,2007-09-28,0.5193018641774033,0.5427461139896373,0.016129032258064516,0.14616004962779158,0.17697477253928867,0.5417626728110598,0.28829916499271335,0.0,True,0.05675761519161053,0.056810611629944045,1.336324507023352,0.0,0.017665349477924516,5.299604843377355e-05,3.898997421593116e-10,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,0.8824963036931647,0.11041668216095896,0.0070870141458763865,9.816269421463518e-18,0.017778364645232102,0.0014083333333333927,0.20489037574278485,1.0,0.0007041666666666963,0.00038043546365800423,0.00038043546365800423,5.299891502705161e-05,0.01664076359988035,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,13,-0.01664076359988035,0.13000000000000275,-0.0773911429312315,0.0,-2.7478019859472624e-15,0.0826088570687685,0.8824963036931647,KODEX200,1,0.01964864206481681,0.003370312922101818,0.01097708850210908,-0.004330054794991905,0.0,-2.194595231028309e-05,-0.0012698863484997044,0.0
2007-11,2007-10,2007-10,2007-10-30,0.7818130798505039,0.0,0.3930379746835443,0.6497843630291154,0.614443515643659,0.3443009566617651,0.5361762784448465,0.0,True,-0.06176771550993628,-0.06109780511504102,1.2537827950445777,-0.061767715509936316,0.1914029699700733,0.00057420890991022,9.570148498503667e-05,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,0.801501920887604,1.417418421683052e-17,0.1984980791123961,0.0,0.02129889194311716,0.001408333341721816,0.24713670326707504,1.0,0.000704166670860908,0.0003477794767404327,0.0003477794767404327,0.000669911894916304,0.01957703390059952,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,8,-0.01957703390059952,0.13000000038716075,-0.08064149147131505,0.0,-3.871607479055683e-10,0.07935850852868495,0.801501920887604,KODEX200,1,0.02224973240988005,0.0034170722214673277,0.013634121970384964,0.005240729763161041,0.0,-0.00012687961831703794,0.0038254357888653674,0.0
2007-12,2007-11,2007-11,2007-11-30,0.6626775724585523,0.7723880597014925,0.25,0.1506170582529916,0.3975030826140567,0.44455432567709263,0.330891488848047,0.0,True,0.0250416491745729,0.02548596362664293,1.2851795839391993,-0.0382728317974782,0.1269469863057231,0.0003808409589171693,6.347349315286154e-05,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,0.6582073324481145,0.0,0.34179266755188564,2.065659336665152e-18,0.01509298206461708,0.0014083333333348227,0.17266578477539601,1.0,0.0007041666666674114,0.000389392033224427,0.000389392033224427,0.00044431745208381603,0.013555105912641426,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,8,-0.013555105912641426,0.13000000000006876,-0.0756501583954921,0.0,-6.875056079991282e-14,0.0843498416045079,0.6582073324481145,KODEX200,1,0.016795507113575185,0.0030570845221652744,0.013610521919044563,0.002613805947482122,-0.0005781325728853524,-0.00037877100665056337,-0.000682839003766991,0.0
2008-01,2007-12,2007-12,2007-12-28,0.5132411542673639,0.015931372549019607,0.6126070991432069,0.3415070416662944,0.5414008731725767,0.5239532125125346,0.4689537091171352,0.0,False,-0.04053036450415086,-0.040530345637985805,1.2330907869488505,-0.07725198447827131,5.390332872308192e-06,1.6170998616924574e-08,2.6951664361107615e-09,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,0.6379176272123812,0.0,0.36208237278761873,0.0,0.01660226355765244,0.0012625579336399606,0.19165181508998952,1.0,0.0006312789668199803,0.00035751647926184223,0.00035751647926184223,2.2188073999446726e-08,0.015613445923496618,ConfirmedCrashRiskLambda,True,False,0,Optimization terminated successfully,2,-0.015613445923496621,0.12308816029041757,-0.07302610429179428,0.0,0.006911839709582437,0.08697389570820573,0.6379176272123812,KODEX200,1,0.01582020318536925,0.003046356919003379,0.017639887350137957,0.009048293983437828,6.303466285221209e-05,-2.1061383654365574e-05,0.00022915749524635658,-3.077643264176635e-08
