month,return_base,return_stress_aware,overlay_alpha,stress_score,base_risky_weight,stress_aware_risky_weight,risk_reduction,KODEX200_return,risk_off_action,positive_equity_month,crash_month,false_positive,caught_crash,missed_crash
2007-04,0.0341692621561492,0.03416926215614925,5.551115123125783e-17,0.44154815101722783,0.585419776228641,0.585419776228641,0.0,0.06227067269343256,False,True,False,False,False,False
2007-05,0.0898011355775438,0.08980111240962368,-2.3167920110145346e-08,0.4955475396676942,0.9958179656370744,0.9958174002358985,5.654011758782218e-07,0.09135963155786953,False,True,False,False,False,False
2007-06,0.0100254957125352,0.010057405114454611,3.190940191941105e-05,0.5871695775491049,0.8837438270499598,0.884063011660322,-0.0003191846103621776,0.013164533736984563,False,True,False,False,False,False
2007-07,0.0917206219269445,0.0917272168199121,6.594892967601296e-06,0.4727490475190912,0.9253472067853322,0.9256316578408738,-0.0002844510555415347,0.09846975733429919,False,True,False,False,False,False
2007-08,-0.0144182747911066,-0.014446694961992156,-2.8420170885555193e-05,0.6341131253053367,0.8569905639796112,0.8572423594600059,-0.0002517954803947786,-0.016444792482380732,False,False,False,False,False,False
2007-09,0.032479092307547,0.03242226430274369,-5.682800480331235e-05,0.676341430829936,0.8610505240252416,0.8612714400104009,-0.00022091598515927569,0.03670801206838781,False,True,False,False,False,False
2007-10,0.0567934199476287,0.05675761519161053,-3.580475601817207e-05,0.5193018641774033,0.8822286655747736,0.8824963036931647,-0.0002676381183910337,0.06329830234438161,False,True,False,False,False,False
2007-11,-0.06176432402374,-0.06176771550993628,-3.3914861962830445e-06,0.7818130798505039,0.80150192069559,0.801501920887604,-1.9201396028734052e-10,-0.08024785220101893,False,False,True,False,False,True
2007-12,0.0250416491752838,0.0250416491745729,-7.109000887961514e-13,0.6626775724585523,0.6582073324481327,0.6582073324481145,1.8207657603852567e-14,-0.006116966315354189,False,False,False,False,False,False
2008-01,-0.0405303645040715,-0.04053036450415086,-7.936012957898697e-14,0.5132411542673639,0.6379176272120374,0.6379176272123812,-3.43836070726411e-13,-0.12537946521395604,False,False,True,False,False,True
2008-02,0.0531518469976435,0.053151846997642305,-1.1934897514720433e-15,0.6374043030072718,0.1343998894548078,0.13439988945480769,1.1102230246251565e-16,0.009176492963103966,False,True,False,False,False,False
2008-03,-0.0448174236007356,-0.0448174236006773,5.830058658062853e-14,0.587668445200261,0.1239646203418246,0.12396462034254134,-7.167461069101932e-13,0.02346289752650188,False,True,False,False,False,False
2008-04,-0.0046193800014608,-0.00461938000145812,2.680147770384167e-15,0.5274413701575932,0.1876210496778562,0.18762104967785656,-3.608224830031759e-16,0.09901947244855691,False,True,False,False,False,False
2008-05,0.0553379822424299,0.05533798330459177,1.062161865406086e-09,0.4680286725621713,0.2742956726346794,0.27429568762734535,-1.4992665942070715e-08,-0.007665242523247073,False,False,False,False,False,False
2008-06,0.064832801308097,0.06483280130056737,-7.529629697522466e-12,0.5104176318429294,0.3392367444756168,0.3392367466982238,-2.2226069873454435e-09,-0.09822295386433677,False,False,True,False,False,True
2008-07,-0.0794997637911317,-0.07948398066665983,1.5783124471868692e-05,0.6831293231709922,0.32135137917007217,0.3211089356323565,0.00024244353771568639,-0.05401610185358552,True,False,False,False,False,False
2008-08,-0.0293801954250374,-0.029373629238499004,6.566186538395358e-06,0.5052696849588909,0.1708400785758911,0.17075956342135273,8.051515453835756e-05,-0.07822859970311735,True,False,True,False,True,False
2008-09,0.0757151993109913,0.07571544804609562,2.487351043189978e-07,0.6021767779138312,0.17580366853768106,0.1758036386023604,2.9935320666751863e-08,0.0059047721294755995,False,True,False,False,False,False
2008-10,-0.0853334407296837,-0.08533344131017116,-5.804874636528012e-10,0.6080814217442396,0.0906340919694435,0.09063409551766319,-3.5482196902858476e-09,-0.21233790490421034,False,False,True,False,False,True
2008-11,0.1270803111351108,0.1270803111263174,-8.79341044424109e-12,0.8504830122889445,3.992769177135034e-17,2.4410511997291198e-17,1.551717977405914e-17,-0.04972899728997304,False,False,False,False,False,False
2008-12,0.0327059668326078,0.032705966832575754,-3.204381204824358e-14,0.587662425438711,5.684350660302509e-17,0.0,5.684350660302509e-17,0.05168971909311293,False,True,False,False,False,False
2009-01,0.0506581282999521,0.05065812830006048,1.08378583885127e-13,0.7572844152837244,2.0777281368756728e-17,5.9005063456597686e-18,1.487677502309696e-17,0.009151921903599813,False,True,False,False,False,False
2009-02,0.086598563881052,0.08659856388104878,-3.219646771412954e-15,0.6729198918663233,5.930450795258426e-18,1.3505389322030996e-17,-7.57493852677257e-18,-0.09028617492946411,False,False,True,False,False,True
2009-03,-0.0654147886258732,-0.0654147886258733,-9.71445146547012e-17,0.6184779580046844,0.0,0.0,0.0,0.16688819967508506,False,True,False,False,False,False
2009-04,-0.0488032895445132,-0.0488033121401267,-2.2595613505260737e-08,0.6603465368737922,1.0623027982134275e-06,8.308065356307051e-07,2.3149626258272237e-07,0.13757159783167228,False,True,False,False,False,False
2009-05,0.0414691172098324,0.04146911652337816,-6.86454240672596e-10,0.5987435409586312,0.006077653548678603,0.006077663397025447,-9.848346843761846e-09,0.0011161644198822707,False,True,False,False,False,False
2009-06,-0.0167804758710558,-0.016746403493314615,3.407237774118513e-05,0.7754469721471016,0.1847679461402955,0.16594939544921433,0.01881855069108118,0.0027860768791563295,True,True,False,True,False,False
2009-07,0.0229330795064599,0.022872339509999257,-6.073999646064379e-05,0.5356013526978503,0.23826408743339805,0.23826066521369227,3.4222197057842685e-06,0.1398357953226892,True,True,False,True,False,False
2009-08,0.0163698119355174,0.01636979867065687,-1.3264860529438316e-08,0.5793765367439363,0.399197947455254,0.39919715979989795,7.876553560492994e-07,0.016372864042064617,False,True,False,False,False,False
