month,asset,feature,feature_name,regime_beta,standardized_regime_beta,regime_intercept,standardized_regime_intercept,feature_mean,feature_std,expected_return,predictive_std,training_observations,last_training_month,used_mean_fallback
2007-08,KODEX200,p_Overheating,Overheating,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,KODEX200,p_Slowdown,Slowdown,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,KODEX200,p_Stagflation,Stagflation,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,KODEX200,kospi_eps_revision_z,kospi_eps_revision_z,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,KODEX200,kospi_valuation_gap_z,kospi_valuation_gap_z,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,KODEX200,kospi_credit_widening_z,kospi_credit_widening_z,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,KODEX200,kospi_k_score,kospi_k_score,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,KODEX200,kospi_option_direction_score,kospi_option_direction_score,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,KODEX200,kospi_abnormal_bear_pressure_fast,kospi_abnormal_bear_pressure_fast,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,KODEX200,kospi_abnormal_bear_pressure_slow,kospi_abnormal_bear_pressure_slow,0.0,0.0,0.02969371075492489,0.02969371075492489,,,0.02969371075492489,0.039621497895548474,13,2007-07,True
2007-08,BOND,p_Overheating,Overheating,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,BOND,p_Slowdown,Slowdown,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,BOND,p_Stagflation,Stagflation,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,BOND,bond_carry_5y_monthly_z,bond_carry_5y_monthly_z,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,BOND,bond_roll_down_5y_to_3y_monthly_z,bond_roll_down_5y_to_3y_monthly_z,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,BOND,bond_rate_momentum_5y_monthly_z,bond_rate_momentum_5y_monthly_z,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,BOND,bond_curve_slope_10y_minus_3y_pctpt_z,bond_curve_slope_10y_minus_3y_pctpt_z,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,BOND,bond_curve_total_return_proxy_z,bond_curve_total_return_proxy_z,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,BOND,bond_k_score,bond_k_score,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,BOND,bond_atr_percentile,bond_atr_percentile,0.0,0.0,0.0036345055379593152,0.0036345055379593152,,,0.0036345055379593152,0.003212121939499487,13,2007-07,True
2007-08,GLD,p_Overheating,Overheating,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GLD,p_Slowdown,Slowdown,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GLD,p_Stagflation,Stagflation,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GLD,gld_real_yield_support,gld_real_yield_support,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GLD,gld_fx_support,gld_fx_support,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GLD,gld_gold_trend_support,gld_gold_trend_support,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GLD,gld_gold_composite_state,gld_gold_composite_state,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GLD,gld_gvz_causal_rank,gld_gvz_causal_rank,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GLD,gld_k_score,gld_k_score,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GLD,gld_atr_percentile,gld_atr_percentile,0.0,0.0,0.0045327710191258325,0.0045327710191258325,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True
2007-08,GSG,p_Overheating,Overheating,0.0,0.0,-0.00669710998135858,-0.00669710998135858,,,-0.00669710998135858,0.05577854457467456,13,2007-07,True
2007-08,GSG,p_Slowdown,Slowdown,0.0,0.0,-0.00669710998135858,-0.00669710998135858,,,-0.00669710998135858,0.05577854457467456,13,2007-07,True
2007-08,GSG,p_Stagflation,Stagflation,0.0,0.0,-0.00669710998135858,-0.00669710998135858,,,-0.00669710998135858,0.05577854457467456,13,2007-07,True
2007-08,GSG,gsg_ovx_causal_rank,gsg_ovx_causal_rank,0.0,0.0,-0.00669710998135858,-0.00669710998135858,,,-0.00669710998135858,0.05577854457467456,13,2007-07,True
2007-08,GSG,gsg_return_momentum_3m,gsg_return_momentum_3m,0.0,0.0,-0.00669710998135858,-0.00669710998135858,,,-0.00669710998135858,0.05577854457467456,13,2007-07,True
2007-08,GSG,gsg_return_momentum_12m,gsg_return_momentum_12m,0.0,0.0,-0.00669710998135858,-0.00669710998135858,,,-0.00669710998135858,0.05577854457467456,13,2007-07,True
2007-08,GSG,gsg_return_volatility_3m_rank,gsg_return_volatility_3m_rank,0.0,0.0,-0.00669710998135858,-0.00669710998135858,,,-0.00669710998135858,0.05577854457467456,13,2007-07,True
2007-09,KODEX200,p_Overheating,Overheating,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,KODEX200,p_Slowdown,Slowdown,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,KODEX200,p_Stagflation,Stagflation,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,KODEX200,kospi_eps_revision_z,kospi_eps_revision_z,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,KODEX200,kospi_valuation_gap_z,kospi_valuation_gap_z,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,KODEX200,kospi_credit_widening_z,kospi_credit_widening_z,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,KODEX200,kospi_k_score,kospi_k_score,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,KODEX200,kospi_option_direction_score,kospi_option_direction_score,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,KODEX200,kospi_abnormal_bear_pressure_fast,kospi_abnormal_bear_pressure_fast,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,KODEX200,kospi_abnormal_bear_pressure_slow,kospi_abnormal_bear_pressure_slow,0.0,0.0,0.026398103380831633,0.026398103380831633,,,0.026398103380831633,0.0400144822199738,14,2007-08,True
2007-09,BOND,p_Overheating,Overheating,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,BOND,p_Slowdown,Slowdown,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,BOND,p_Stagflation,Stagflation,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,BOND,bond_carry_5y_monthly_z,bond_carry_5y_monthly_z,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,BOND,bond_roll_down_5y_to_3y_monthly_z,bond_roll_down_5y_to_3y_monthly_z,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,BOND,bond_rate_momentum_5y_monthly_z,bond_rate_momentum_5y_monthly_z,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,BOND,bond_curve_slope_10y_minus_3y_pctpt_z,bond_curve_slope_10y_minus_3y_pctpt_z,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,BOND,bond_curve_total_return_proxy_z,bond_curve_total_return_proxy_z,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,BOND,bond_k_score,bond_k_score,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,BOND,bond_atr_percentile,bond_atr_percentile,0.0,0.0,0.003220639112880397,0.003220639112880397,,,0.003220639112880397,0.003452832441428467,14,2007-08,True
2007-09,GLD,p_Overheating,Overheating,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
2007-09,GLD,p_Slowdown,Slowdown,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
2007-09,GLD,p_Stagflation,Stagflation,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
2007-09,GLD,gld_real_yield_support,gld_real_yield_support,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
2007-09,GLD,gld_fx_support,gld_fx_support,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
2007-09,GLD,gld_gold_trend_support,gld_gold_trend_support,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
2007-09,GLD,gld_gold_composite_state,gld_gold_composite_state,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
2007-09,GLD,gld_gvz_causal_rank,gld_gvz_causal_rank,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
2007-09,GLD,gld_k_score,gld_k_score,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
2007-09,GLD,gld_atr_percentile,gld_atr_percentile,0.0,0.0,0.006022265509164111,0.006022265509164111,,,0.006022265509164111,0.027207841949491034,14,2007-08,True
