month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,forecast_vol,leverage,risk_score,w_KODEX200,w_BOND,w_GLD,w_USO
2006-04,0.03986356110056756,0.04145201290105307,1.0398635611005675,0.0,0.9999999999999999,0.0014999999999999998,8.845180048551024e-05,,1.0,0.0,0.5828985055468344,0.2401978934821451,0.1361056982042023,0.040797902766818196
2006-05,-0.054096336512120605,-0.05405536741977106,0.9836107519725791,-0.054096336512120646,0.01170545495701189,3.5116364871035675e-05,5.852727478505932e-06,,1.0,0.0,0.5894377463091104,0.23855096430825737,0.13323977612882323,0.03877151325380893
2006-06,-0.006834981071152067,-0.0067556390567114905,0.9768877911014648,-0.060561570147193766,0.0264400790550174,7.93202371650522e-05,2.1777275524437202e-08,,1.0,0.0,0.5999615036097253,0.2286247938103428,0.1313197822024595,0.040093920377472295
2006-07,0.008141987757670317,0.009484151070544592,0.9848415995372305,-0.05291267395224719,0.44300273614077545,0.0013290082084223263,1.3155104451949687e-05,,1.0,0.0,0.15214811673861128,0.6468496794682683,0.15177661457788166,0.0492255892152388
2006-08,0.00537910950315043,0.005457983571908308,0.990139170344399,-0.04781818751639044,0.02591108024624308,7.773324073872924e-05,1.1408280191484987e-06,,1.0,0.0,0.1287927780438731,0.6664980093826293,0.15894749799438634,0.045761714579111316
2006-09,-0.006790005004756753,-0.00676929473567768,0.9834161204223548,-0.05428350678859262,0.005962041205847028,1.7886123617541084e-05,2.8241454615315355e-06,,1.0,0.0,0.13339516710216973,0.6725312012806666,0.1527660843296166,0.041307547287547035
2006-10,-0.0009751450638393576,-0.0008602041272747956,0.982457147046825,-0.055205717558739154,0.03464337574489529,0.00010393012723468587,1.1010809329876095e-05,,1.0,0.0,0.14859216766274871,0.6475995784115756,0.15380145138444298,0.05000680254123275
2006-11,0.013604214318206563,0.013672148990898553,0.9958227046337037,-0.0423525336537921,0.019409906483425877,5.8229719450277634e-05,9.70495324171293e-06,,1.0,0.0,0.1573014039155856,0.6597972504245035,0.14304466253722461,0.039856683122686275
2006-12,-0.001708582379452654,-0.00043441089277904913,0.9941212595075076,-0.04398875324051876,0.4218977987441206,0.0012656933962323618,8.478090441243008e-06,,1.0,0.0,0.5835026465183325,0.24645753337423043,0.13344608413938386,0.03659373596805324
2007-01,-0.0016679029706750707,-0.0003434791173369486,0.9924631617055638,-0.045583287238987635,0.44060748660498444,0.0013218224598149533,2.601393523168724e-06,,1.0,0.0,0.14824403673452957,0.6799729003785704,0.13943521040150417,0.032347852485395824
2007-02,0.00705858505379741,0.0071058745653649145,0.9994685473452233,-0.03884645569519829,0.015431523767007384,4.629457130102215e-05,9.949402664821832e-07,,1.0,0.0,0.1528734788460231,0.6728875635923456,0.13990244942850658,0.034336508133124714
