month,return_factor,gross_factor,turnover,trade_cost,fx_cost,avg_stress,max_stress,avg_transfer,return,gross_return,nav,drawdown
2006-04,1.0282318058795707,1.0323237569222534,1.7523824815337237,0.0037571474446011707,0.00022097822211967943,0.13927370378549375,0.27607361963190186,0.13927370378549375,0.02823180587957075,0.03232375692225342,1.0282318058795707,0.0
2006-05,0.9174727550929753,0.9230941462054342,1.8683870153414661,0.005605161046024399,0.00046595219015830815,0.31594160986448616,0.6739644970414201,0.31594160986448616,-0.08252724490702468,-0.07690585379456583,0.9433746678145551,-0.08252724490702468
2006-06,0.9827286604399875,0.9872655237255157,1.4121796543015355,0.0042365389629046065,0.0003598754907224293,0.6518315791975204,0.824736225087925,0.6518315791975204,-0.017271339560012477,-0.012734476274484319,0.927081323594416,-0.09837322839729568
2006-07,1.0055161780996318,1.007773295286825,0.6955954025268787,0.002086786207580636,0.00015424334490588893,0.5942316425887816,0.7375,0.5942316425887816,0.0055161780996317855,0.007773295286825022,0.9321952692882052,-0.09339969454573904
2006-08,1.0055653192735798,1.0055653192735798,0.0,0.0,0.0,0.33747819349826774,0.5382022471910113,0.33747819349826774,0.0055653192735798385,0.0055653192735798385,0.9373832335871147,-0.08835417439236115
2006-09,1.0071851636081173,1.0071851636081173,0.0,0.0,0.0,0.11377485464546057,0.3226332970620239,0.11377485464546057,0.007185163608117273,0.007185163608117273,0.9441184854839442,-0.08180384998271306
2006-10,1.0018316783958345,1.0018316783958345,0.0,0.0,0.0,0.14065580380664056,0.4577540106951872,0.14065580380664056,0.001831678395834535,0.001831678395834535,0.9458478069169132,-0.08012200993158791
2006-11,1.0007698229407238,1.0007698229407238,0.0,0.0,0.0,0.0082458033007498,0.03995793901156677,0.0082458033007498,0.0007698229407238077,0.0007698229407238077,0.9465759422571111,-0.07941386675216644
2006-12,0.9963783584861623,1.0004761440236436,1.337019164912494,0.004011057494737482,8.765435314136297e-05,0.03989160331619607,0.13710499490316005,0.03989160331619607,-0.0036216415138377034,0.00047614402364359876,0.9431477835286327,-0.08274789970940011
2007-01,1.000761721838987,1.0037460378445877,0.9891581559596818,0.0029674744678790457,5.418318561307812e-06,0.09438644774751352,0.1941941941941942,0.09438644774751352,0.0007617218389870395,0.003746037844587713,0.9438661997927387,-0.08204920875275201
