month,signal_month,regime,p_growth_high,p_inflation_high,gross_return,return,turnover,trade_cost,fx_cost,nav,drawdown,w_KODEX200,w_BOND,w_GLD,w_USO
2006-04,2006-03,Goldilocks,0.536911723753829,0.16111054886482476,0.04006996955124955,0.0384225498837737,0.9999999999999999,0.0014999999999999998,0.0001474196674758504,1.0384225498837738,0.0,0.3048308425780573,0.40032982247024185,0.22684283034033714,0.06799650461136367
2006-05,2006-04,Goldilocks,0.5613428805867576,0.13685501705177996,-0.038353471306526554,-0.038423177175158266,0.01991596246620376,5.9747887398611274e-05,9.957981233101876e-06,0.9985230562669098,-0.03842317717515831,0.3157295771818507,0.3975849405137623,0.22206629354803875,0.06461918875634823
2006-06,2006-05,Goldilocks,0.6164975399753997,0.13777782235416833,-0.001446240946301205,-0.0015536011017288109,0.03502115652981866,0.00010506346958945598,2.2966858381498758e-06,0.9969717497465919,-0.03991708398649596,0.33326917268287554,0.38104132301723803,0.21886630367076582,0.06682320062912049
2006-07,2006-06,Slowdown,0.41298818939972426,0.27699175424144845,0.010426341023086079,0.010177865031876603,0.07525892440419633,0.000225776773212589,2.2699217996887344e-05,1.0071187936561066,-0.03014548964789998,0.25358019456435216,0.4114161324471138,0.25296102429646944,0.08204264869206467
2006-08,2006-07,Slowdown,0.2828241060105634,0.28327965646806225,0.005386426437460914,0.005255746996946087,0.04287358761560173,0.00012862076284680517,2.0586776680221742e-06,1.0124119552314326,-0.025048179717642394,0.21465463007312185,0.44416334897104875,0.2649124966573106,0.07626952429851887
2006-09,2006-08,Slowdown,0.2939508318795835,0.23021944038989636,-0.016331191779581297,-0.01636583939815018,0.009976287888603871,2.9928863665811616e-05,4.718754903072248e-06,0.9958429837673477,-0.041004084629317705,0.22232527850361622,0.45421866880111106,0.25461014054936104,0.06884591214591172
2006-10,2006-09,Slowdown,0.3973888430410169,0.2900181273644388,-0.0023973431995006267,-0.0025719948373411922,0.052590952894901746,0.00015777285868470524,1.6878779155860003e-05,0.9932816807542957,-0.0434706171726823,0.24765361277124787,0.41266596401929256,0.25633575230740496,0.08334467090205458
2006-11,2006-10,Slowdown,0.4089023340394456,0.18245035873141977,0.0222736996910152,0.022158656824075702,0.03286939055414235,9.860817166242705e-05,1.6434695277071145e-05,1.0152914686477712,-0.022275210836466885,0.262169006525976,0.4329954173741726,0.23840777089537435,0.06642780520447712
2006-12,2006-11,Goldilocks,0.525354682841575,0.1237086222048628,-0.003965159036222044,-0.004094265832181337,0.038762606719939106,0.00011628782015981732,1.2818975799475414e-05,1.0111345954779813,-0.02627827603401589,0.30583774419722076,0.4107625556237174,0.22241014023230643,0.060989559946755395
2007-01,2006-12,Slowdown,0.3422203813510057,0.1200073883604159,-0.003069823758619907,-0.0032699908992836046,0.06544118782054982,0.00019632356346164947,3.843577202048199e-06,1.0078281945528176,-0.02946233720981939,0.2470733945575493,0.4666215006309507,0.2323920173358403,0.053913087475659704
2007-02,2007-01,Slowdown,0.37045022139200223,0.1346302748741773,0.008334352345783618,0.00825748372349805,0.02493625727511669,7.480877182535007e-05,2.059850460220475e-06,1.01615031946542,-0.021448138256287552,0.2547891314100385,0.4548126059872426,0.23317074904751095,0.05722751355520786
