date,month,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,stress,transfer_fraction,signal_date,w_KODEX200,w_BOND,w_GLD,w_USO
2006-04-10,2006-04,-0.0017552230015417025,-0.00014893455760678822,0.9982447769984583,-0.0017552230015417392,1.0,0.0015,0.00010628844393491422,0.13161131611316113,0.13161131611316113,2006-04-07,0.5061824660714208,0.28124064605875077,0.17714845078080796,0.03542843708902048
2006-04-11,2006-04,-0.004140120359295868,-0.003918157882228796,0.9941119234736462,-0.005888076526353814,0.06896645786249608,0.00020689937358748826,1.5063103479583146e-05,0.24201474201474202,0.24201474201474202,2006-04-10,0.4418284741061386,0.31566975615892,0.2115775608809772,0.03092420885396416
2006-04-12,2006-04,-0.0001484795258972193,-9.485502393933637e-05,0.9939643182065601,-0.00603568179343994,0.016922695922873796,5.076808776862139e-05,2.856414189261525e-06,0.27607361963190186,0.27607361963190186,2006-04-11,0.4219756052424936,0.3262909559794285,0.22219876070148564,0.02953467807659231
2006-04-13,2006-04,0.008748325491658535,0.008907515451443878,1.0026598415893255,0.0,0.04965453644628797,0.00014896360933886393,1.022635044647978e-05,0.19362745098039216,0.19362745098039216,2006-04-12,0.47003335373752086,0.30058026634584434,0.1964880710679015,0.0328983088487333
2006-04-14,2006-04,0.011793641610669925,0.011950279448132668,1.014484852418441,0.0,0.04869652282627146,0.0001460895684788144,1.0548268983927577e-05,0.10832313341493269,0.10832313341493269,2006-04-13,0.5197571129631198,0.27397826810623216,0.16988607282828935,0.036378546102358696
2006-04-17,2006-04,-0.006187617388024226,-0.006109671585805884,1.0082076083057296,-0.0061876173880242025,0.024042469726394164,7.212740917918249e-05,5.818393039159042e-06,0.06418092909535453,0.06418092909535453,2006-04-14,0.5454875378925449,0.260212600961648,0.1561204056837052,0.03817945546210187
2006-04-18,2006-04,0.013102756195025095,0.01327472264763802,1.021417906791329,0.0,0.05359732098512876,0.00016079196295538627,1.117448965753909e-05,0.1562881562881563,0.1562881562881563,2006-04-17,0.49179837281179806,0.288936074351588,0.18484387907364525,0.03442167376296871
2006-04-19,2006-04,0.004727865730868408,0.0047668551290948585,1.0262470335097431,0.0,0.012245848010945519,3.673754403283656e-05,2.251854193614053e-06,0.16951219512195123,0.16951219512195123,2006-04-18,0.48409010033828564,0.2930599671136071,0.18896777183566432,0.03388216071244292
2006-04-20,2006-04,-0.003060462284164342,-0.002990091584304063,1.023106243169451,-0.0030604622841642337,0.021230119423701798,6.369035827110539e-05,6.680341589173966e-06,0.14129110840438489,0.14129110840438489,2006-04-19,0.5005401296108627,0.28425927190138,0.18016707662343717,0.035033521864320134
2006-04-21,2006-04,0.00043475941537673735,0.0004896031486672279,1.0235510482415997,-0.0026270334335809498,0.016663256839679022,4.998977051903707e-05,4.853962771453432e-06,0.16605839416058393,0.16605839416058393,2006-04-20,0.48610331575712284,0.2919829054862896,0.1878907102083468,0.03402306854824072
2006-04-24,2006-04,-0.005703909229745381,-0.005526548105946147,1.0177128059704188,-0.008315958303077853,0.05537078105327822,0.00016611234315983467,1.1248780639399575e-05,0.07351154313487242,0.07351154313487242,2006-04-21,0.5400487369130756,0.26312233619355213,0.15903014091560932,0.03779878597776291
2006-04-25,2006-04,0.002921616411464554,0.0030466756082892336,1.0206861724064995,-0.005418637931868697,0.039159318367995403,0.00011747795510398622,7.581241720693494e-06,0.14381067961165048,0.14381067961165048,2006-04-24,0.4990714753195288,0.285044995657611,0.1809528003796682,0.034930728643192036
2006-04-26,2006-04,0.005961224292985457,0.006057906120776851,1.0267707116129634,0.0,0.030108776426761963,9.032632928028589e-05,6.355498511108226e-06,0.09454545454545454,0.09454545454545454,2006-04-25,0.5277881013860428,0.26968172369333593,0.16558952841539315,0.03694064650522811
2006-04-27,2006-04,-0.002877859084801987,-0.0028389165697726504,1.0238158101925394,-0.0028778590848019814,0.012385972745017102,3.7157918235051305e-05,1.7845967942854008e-06,0.06840193704600485,0.06840193704600485,2006-04-26,0.5430271186662096,0.26152891471079,0.1574367194328472,0.03800724719015327
2006-04-28,2006-04,0.007543336117746155,0.007571710903762903,1.0315387969714844,0.0,0.008710416809716338,2.6131250429149014e-05,2.2435355875980724e-06,0.05985489721886336,0.05985489721886336,2006-04-27,0.5480091754082996,0.25886353568983905,0.15477134041189625,0.03835594848996511
2006-05-01,2006-05,-0.01004915606013595,-0.01002591411460008,1.0211727026186332,-0.010049156060135789,0.006947597764450534,2.0842793293351603e-05,2.399152242519298e-06,0.08091787439613526,0.08091787439613526,2006-04-28,0.5417416967889288,0.2639676432881581,0.15865645510872395,0.03563420481418913
2006-05-02,2006-05,0.011860010638660224,0.011870791722468469,1.0332838217355995,0.0,0.0035058873371370154,1.0517662011411047e-05,2.634217968339875e-07,0.08091787439613526,0.08091787439613526,2006-04-28,0.5417416967889288,0.2639676432881581,0.15865645510872395,0.03563420481418913
2006-05-03,2006-05,-0.004098276102142425,-0.003915084320997526,1.02904913934225,-0.0040982761021425285,0.05724899763036638,0.00017174699289109914,1.1444788253800507e-05,0.16948130277442702,0.16948130277442702,2006-05-02,0.48953906916022016,0.2917858261710982,0.1864746379916641,0.03220046667701743
2006-05-04,2006-05,0.002722275702735438,0.002805747978108638,1.0318504948112022,-0.0013871570368630959,0.026262584636976952,7.878775391093085e-05,4.684521462268859e-06,0.12951807228915663,0.12951807228915663,2006-05-03,0.5130949056726894,0.2792331904546512,0.1739220022752171,0.033749901597442115
2006-05-05,2006-05,0.0051765690676685286,0.005228056756382908,1.0371919401651004,0.0,0.016209287633465654,4.862786290039696e-05,2.859825813982031e-06,0.1582430806257521,0.1582430806257521,2006-05-04,0.49616330149605625,0.2882558485636869,0.18294466038425278,0.03263618955600403
2006-05-08,2006-05,0.001205900587858338,0.0012259532501014705,1.0384426905354676,0.0,0.005927284831448266,1.7781854494344797e-05,2.2708077487877814e-06,0.1582430806257521,0.1582430806257521,2006-05-04,0.49616330149605625,0.2882558485636869,0.18294466038425278,0.03263618955600403
2006-05-09,2006-05,0.0017855020277439022,0.0018282077621964926,1.0402968320651145,0.0,0.013546629321645538,4.0639887964936615e-05,2.0658464876538027e-06,0.18329326923076922,0.18329326923076922,2006-05-08,0.48139777478009677,0.29612422878142153,0.1908130406019874,0.031664955836494195
2006-05-10,2006-05,0.009948252815976402,0.010026280400336563,1.0506459679541575,0.0,0.024505874564449717,7.351762369334914e-05,4.509960666811308e-06,0.22509003601440578,0.22509003601440578,2006-05-09,0.45676118276414257,0.30925278673805773,0.2039415985586236,0.030044431939176067
2006-05-11,2006-05,-0.002476080158528368,-0.0024119939873252345,1.0480444843192684,-0.0024760801585284042,0.01902053718348227,5.706161155044681e-05,7.02455965268646e-06,0.20083932853717026,0.20083932853717026,2006-05-10,0.4710554651259258,0.3016355272439822,0.19632433906454805,0.03098466856554395
2006-05-12,2006-05,-0.01542765777224576,-0.015191468126399566,1.031875612685101,-0.017865537813471666,0.07357498464357486,0.00022072495393072458,1.546469191546841e-05,0.08323353293413174,0.08323353293413174,2006-05-11,0.5403767602390707,0.26469500235593574,0.1593838141765016,0.035544423228491905
2006-05-15,2006-05,-0.005582848376576825,-0.005397587457634504,1.0261148075959927,-0.023348645601269924,0.057139347281856254,0.00017141804184556876,1.3842877096751764e-05,0.17822966507177032,0.17822966507177032,2006-05-12,0.4843824542037785,0.29453372727169935,0.1892225390922652,0.03186127943225686
2006-05-16,2006-05,-0.005292392295722275,-0.0050048069835679,1.020684205493745,-0.028517467704896604,0.08908540224013443,0.00026725620672040333,2.0329105433970736e-05,0.3207885304659498,0.3207885304659498,2006-05-15,0.4003528778694495,0.339312126908403,0.23400093872896888,0.026334056493178472
2006-05-17,2006-05,-0.006435949454006829,-0.006029672826003664,1.0141151335386842,-0.034769880178198376,0.12640250446493112,0.00037920751339479337,2.706911460837247e-05,0.5316229116945107,0.5316229116945107,2006-05-16,0.2760791353536108,0.4055361821694033,0.30022499398996916,0.018159688487016715
2006-05-18,2006-05,-0.008985744458131389,-0.008664427088346124,1.0050025540975818,-0.043443191378208734,0.09990728205020767,0.000299721846150623,2.1595523634642288e-05,0.37842669845053634,0.37842669845053634,2006-05-17,0.36637876603122893,0.35741654232448317,0.25210535414504903,0.02409933749923881
2006-05-19,2006-05,-0.0018482192938125083,-0.0016687566954034535,1.0031450889867677,-0.04521111812753131,0.05478504510249667,0.00016435513530749002,1.51074631015648e-05,0.45714285714285713,0.45714285714285713,2006-05-18,0.3199804908535171,0.38214165220835317,0.2768304640289191,0.021047392909210563
