month,w_KODEX200,w_BOND,w_GLD,w_USO
2006-04,0.5828985055468344,0.2401978934821451,0.1361056982042023,0.040797902766818196
2006-05,0.5894377463091104,0.23855096430825737,0.13323977612882323,0.03877151325380893
2006-06,0.5999615036097253,0.2286247938103428,0.1313197822024595,0.040093920377472295
2006-07,0.15214811673861128,0.6468496794682683,0.15177661457788166,0.0492255892152388
2006-08,0.1287927780438731,0.6664980093826293,0.15894749799438634,0.045761714579111316
2006-09,0.13339516710216973,0.6725312012806666,0.1527660843296166,0.041307547287547035
2006-10,0.14859216766274871,0.6475995784115756,0.15380145138444298,0.05000680254123275
2006-11,0.1573014039155856,0.6597972504245035,0.14304466253722461,0.039856683122686275
2006-12,0.5835026465183325,0.24645753337423043,0.13344608413938386,0.03659373596805324
2007-01,0.14824403673452957,0.6799729003785704,0.13943521040150417,0.032347852485395824
2007-02,0.1528734788460231,0.6728875635923456,0.13990244942850658,0.034336508133124714
2007-03,0.13026432810517471,0.698465462069728,0.14170202376587815,0.029568186059219
2007-04,0.15903448937215675,0.659641469986844,0.14205372261804752,0.03927031802295171
2007-05,0.5717118949494446,0.23270084811719502,0.14510029383398568,0.050486963099374615
2007-06,0.1600469663414011,0.6388206207447957,0.1499252042658661,0.051207208647937055
2007-07,0.16877181899164592,0.6375004173365415,0.1450962328246973,0.04863153084711525
2007-08,0.15818915745102624,0.6468138591357194,0.14793881819666757,0.04705816521658678
2007-09,0.16630832833035689,0.6465615472087343,0.14308938032625754,0.04404074413465127
2007-10,0.16920600167965885,0.6561814812438089,0.13750488118028337,0.03710763589624876
2007-11,0.5937568438975983,0.20701317610028275,0.14074238847224038,0.05848759152987863
2007-12,0.5673772358429999,0.21034962513729008,0.15492208747113237,0.06735105154857754
2008-01,0.14743429156452434,0.2093224989370114,0.5687320967300653,0.07451111276839895
2008-02,0.14193588506725346,0.20902769951891392,0.5729240105956133,0.0761124048182193
2008-03,0.1385087981499741,0.20588322247094026,0.5765708894066978,0.07903708997238787
2008-04,0.14293282807953134,0.24208438031163085,0.17924676911922788,0.43573602248960996
2008-05,0.1518908406271419,0.23778986135197236,0.17723338294755944,0.43308591507332633
2008-06,0.1558601761046979,0.22182283444520842,0.18477861084790395,0.43753837860218975
2008-07,0.138486823292801,0.22545548567791476,0.5992921865794524,0.03676550444983184
2008-08,0.12322662169370616,0.27815863622298226,0.5944069016230777,0.0042078404602338745
2008-09,0.07879428419759496,0.3451891542454035,0.5748531242609252,0.0011634372960765025
2008-10,0.08613234963874378,0.33820482020640524,0.5607703281279703,0.014892502026880725
2008-11,0.02361405809787004,0.4378911217220113,0.5384948201801186,1.8072369029730917e-17
2008-12,0.022097427783572085,0.46482418827928235,0.511044568172102,0.002033815765043651
2009-01,0.02239710586079614,0.4697995179638806,0.5050236445211443,0.002779731654179002
2009-02,0.021963948371437395,0.4696865496564542,0.5061024022105265,0.0022470997615819735
2009-03,0.022436754251997745,0.47229037503937055,0.503290535697344,0.001982335011287746
2009-04,0.038203206036020926,0.4615219620076909,0.5002748319562882,2.28597276620409e-18
2009-05,0.05090551551451158,0.8484047548808591,0.10068972960462944,0.0
2009-06,0.051526660431647664,0.844871041650606,0.10360229791774629,0.0
2009-07,0.05230371347369366,0.8401754992554873,0.10752078727081907,0.0
2009-08,0.060707458016444664,0.83084990602171,0.1084426178160854,1.8145759948146786e-08
2009-09,0.06647504577814407,0.8217429090281868,0.11178204519366909,1.2632056452287555e-17
2009-10,0.0851078825412532,0.8006042635742838,0.11428785388446298,5.5640638969182515e-18
2009-11,0.0852216406218965,0.7930453966131024,0.12173296276500123,1.121882433144112e-17
2009-12,0.48891985941312,0.38647463178609365,0.1246055088007864,0.0
2010-01,0.0993514332772883,0.7792711877268936,0.12137737899581809,0.0
2010-02,0.5023967580456731,0.3694429452490327,0.1281602967052942,0.0
2010-03,0.506079839975837,0.3603658507033695,0.13355430932079335,3.688532023760939e-18
2010-04,0.5153167561407416,0.34864447936727333,0.13603876449198501,1.1699796070362665e-17
2010-05,0.5187361650288195,0.3399945179929374,0.14126931697824313,0.0
2010-06,0.5194215798788914,0.33375682154329817,0.14682159857781055,1.5490538539386644e-18
2010-07,0.5218830972478931,0.3277853137311944,0.15033158902091254,0.0
2010-08,0.5290915986862748,0.322044459030447,0.14886394228327834,2.6801322935987866e-18
2010-09,0.5258385679316354,0.32001569529794976,0.1541457367704149,0.0
2010-10,0.5313635630921738,0.31662624265269596,0.15201019425513027,0.0
2010-11,0.531974208845666,0.30828556609137997,0.15974022506295413,0.0
2010-12,0.13173889448306425,0.308159254738114,0.16010185077882172,0.4
2011-01,0.5416821423707711,0.2978390616862331,0.1604787959429959,0.0
2011-02,0.14574875282225527,0.29372292456452453,0.16052832261322023,0.4
2011-03,0.1313625880161194,0.3028544631123125,0.16578294887156805,0.4
2011-04,0.14109962246870422,0.2838483843881243,0.17505199314317144,0.4
2011-05,0.1427393452506874,0.2845107354337393,0.17274991931557332,0.4
2011-06,0.14020900452274,0.28132309983187065,0.17846789564538929,0.4
2011-07,0.13322664598686287,0.2953137901141171,0.17145956389902,0.4
2011-08,0.13104325648243448,0.29428085429495365,0.5746758892226119,2.1955093992831464e-19
2011-09,0.12481291389724605,0.29072149444912837,0.18446559165362555,0.4
2011-10,0.11495936985068025,0.3175346672682242,0.5675059628810956,0.0
2011-11,0.1178664633174118,0.3139751918045701,0.5681583448780181,0.0
2011-12,0.1157021654843725,0.31307151359870766,0.5712263209169199,8.970333021307216e-18
2012-01,0.10488571319112681,0.3441438033566236,0.5509704834522495,0.0
2012-02,0.10172359171104171,0.7510102599111712,0.14726614837778707,5.186890955806433e-18
2012-03,0.10701166932351557,0.7336149543089558,0.15937337636752863,0.0
2012-04,0.10699687228313341,0.7350450362507857,0.15795809146608092,0.0
2012-05,0.10613624006551083,0.7285887114311855,0.16527504850330368,0.0
2012-06,0.09822311055038617,0.7333534237488202,0.16842346570079358,0.0
2012-07,0.09987304717337255,0.7378455922117195,0.1622813606149078,8.002428472479728e-18
2012-08,0.09781626788448743,0.739175706489249,0.16300802562626351,2.873819335962857e-17
2012-09,0.09518501923057977,0.7355947047882656,0.16922027598115466,5.458280312106711e-19
2012-10,0.09736229599738667,0.7317359123483773,0.17090179165423594,0.0
2012-11,0.09320126080705925,0.7400728120062461,0.16672592718669477,0.0
2012-12,0.09500212220316405,0.7426956791639299,0.1623021986329061,2.0372497634181526e-17
2013-01,0.09798788464635841,0.7416165035636766,0.16039561178996503,8.12238361525092e-18
2013-02,0.09459076465746206,0.7424464569418832,0.16296277840065482,2.7687812979848567e-18
2013-03,0.09789565392033285,0.7477056607382632,0.15439868534140397,0.0
2013-04,0.09543035506965655,0.7481453971206915,0.15642424780965192,0.0
2013-05,0.09374947344772903,0.7590661413848858,0.1471843851673851,0.0
2013-06,0.08389716324049036,0.7738377008768333,0.14226513588267642,9.764008306457682e-18
2013-07,0.0650930925890143,0.8086580179870887,0.12624888942389698,3.47926931551023e-18
2013-08,0.062139579256477416,0.8079993155182081,0.12986110522531458,0.0
2013-09,0.06345894554767531,0.8028446322964891,0.13369642215583571,0.0
2013-10,0.06591597980381608,0.8076011466274542,0.12648287356872961,0.0
2013-11,0.07827589293311643,0.7932888534591529,0.12843525360773067,0.0
2013-12,0.07668083918813907,0.8026978355589771,0.12062132525288377,0.0
2014-01,0.07022368186971258,0.8063485679895763,0.1234277501407111,6.585408749403555e-19
2014-02,0.07387073625776755,0.8060826964183525,0.12004656732387989,7.86380636672224e-19
2014-03,0.07991419896023612,0.7938857565671724,0.12620004447259148,0.0
2014-04,0.08853001054485146,0.7924398859790058,0.11903010347614267,4.14711299873565e-18
2014-05,0.09303932042953421,0.7870919064063442,0.11986877316412155,7.708664655208532e-18
2014-06,0.08400577276967001,0.8004538605968314,0.11554036663349865,9.701843347519483e-19
2014-07,0.08882711613394587,0.7963980993289451,0.11477478453710907,9.84418259646899e-20
2014-08,0.08171848517610825,0.8020425762595991,0.11623893856429272,1.084252386358386e-18
2014-09,0.07511719345757975,0.810370359618434,0.11451244692398639,1.2773438941117527e-18
2014-10,0.07980548363445622,0.8095841730114988,0.11061034335404514,3.0443200246954622e-19
2014-11,0.06963424673562468,0.8181042516057018,0.11226150165867367,0.0
2014-12,0.0776738040055215,0.8139109876183959,0.10841520837608262,4.008654942064807e-19
2015-01,0.06786572031854884,0.8186528271884663,0.11348145249298487,2.415851458800736e-18
2015-02,0.08086698410199304,0.8116641277382042,0.10746888815980281,3.775288981753415e-18
2015-03,0.0859432647891319,0.8142072342944423,0.09984950091642576,1.12029690093491e-17
2015-04,0.0999767556475497,0.8092663410792134,0.0907569032732369,0.0
2015-05,0.10447031652383704,0.8050658403193677,0.09046384315679526,1.2515276678322785e-18
2015-06,0.10070682823912229,0.8039054846523579,0.0953876871085199,2.6231663753103544e-18
2015-07,0.09866008335803841,0.8073922775427529,0.09394763909920872,5.322986530052962e-18
2015-08,0.09606022017180417,0.8123045433650546,0.09163523646314113,0.0
2015-09,0.0903696353295428,0.8124778598148057,0.09715250485565162,0.0
2015-10,0.08921567779669196,0.8178175952780806,0.09296672692522734,1.2834582029976056e-17
2015-11,0.0934665501894801,0.8155206899131662,0.09101275989735372,9.747458883488695e-18
2015-12,0.09376844476720002,0.818039378509563,0.088192176723237,1.4001766364387602e-19
2016-01,0.0919917883069311,0.8180098994746328,0.08999831221843618,0.0
2016-02,0.08818308169755512,0.8162277228774631,0.09558919542498177,0.0
2016-03,0.10321004171761025,0.8062632532106278,0.09052670507176196,1.2701234877231253e-18
2016-04,0.10834963707555047,0.8099422807614811,0.08170808216296861,2.491946966071179e-18
2016-05,0.10578282351666027,0.8048176193351395,0.08939955714820016,1.0636023312082798e-17
2016-06,0.10550737362515702,0.8069051560929947,0.08758747028184836,1.3651799417487009e-17
2016-07,0.11089174336631312,0.798968590398853,0.09013966623483376,0.0
2016-08,0.11390773976825128,0.7981108695001109,0.0879813907316378,0.0
2016-09,0.11733250579382945,0.7963252527224726,0.08634224148369801,0.0
2016-10,0.11747032178141996,0.7952571113576693,0.0872725668609108,0.0
2016-11,0.11726021456851737,0.7929106709885325,0.08982911444295014,7.143977377579398e-19
2016-12,0.1318592952120771,0.7811985694312154,0.08694213535670747,5.927875378064495e-18
2017-01,0.13483547052364947,0.7757867752000407,0.08937775427630984,1.142397664959401e-20
2017-02,0.13926050857438335,0.7611678828484889,0.09957160857712774,3.415236843329339e-19
2017-03,0.16111213958109008,0.3323682665275806,0.5065195938913294,2.3906657903305377e-18
2017-04,0.16626658279500953,0.7249577651445629,0.10877565206042768,0.0
2017-05,0.16837742135264613,0.7129275911326696,0.11869498751468441,0.0
2017-06,0.17607894459053802,0.7086880528249084,0.11523300258455357,0.0
2017-07,0.18143222735500916,0.706973198967737,0.1115945736772538,0.0
2017-08,0.18139072598749448,0.7063301379578137,0.11227913605469186,0.0
2017-09,0.17786171815504,0.7050302966961921,0.11710798514876786,0.0
2017-10,0.5846267580156894,0.3013468675441691,0.11402637444014144,9.446323732817854e-19
2017-11,0.19167493241269298,0.697259439626156,0.11106562796115098,0.0
2017-12,0.18845648807300477,0.7024959152181729,0.10904759670882225,0.0
2018-01,0.1891353038979812,0.7019024563850409,0.10896223971697785,4.821459817961268e-18
2018-02,0.19245319053165724,0.6972601182722107,0.11028669119613206,3.485774615566468e-18
2018-03,0.17839618940126883,0.7197675480346448,0.10183626256408633,4.24465150528075e-18
2018-04,0.18098794386722145,0.7184557356525401,0.10055632048023852,0.0
2018-05,0.1707039506328559,0.7301791946079563,0.09911685475918777,1.5592182493057162e-18
2018-06,0.16636503087985913,0.7337362777573404,0.09989869136280057,8.16800810468695e-20
2018-07,0.1557981640410065,0.7379152655995186,0.10628657035947497,0.0
2018-08,0.1398461309231847,0.7389523144732002,0.12120155460361504,0.0
2018-09,0.13951413222700365,0.7422974368193573,0.11818843095363908,2.447835647922611e-19
2018-10,0.14145896906239086,0.7414228334194762,0.11703197815285107,8.621936528185348e-05
2018-11,0.12805130446930493,0.743769909323961,0.1267312948810592,0.001447491325674857
2018-12,0.1320724573725073,0.7440809488834554,0.123530997127293,0.0003155966167443032
2019-01,0.12752117144191236,0.7446528810582941,0.1278259474997936,0.0
2019-02,0.134314508234473,0.7427192345348776,0.12296625723064947,0.0
2019-03,0.12159425618451222,0.7586997776442006,0.11970596617128708,0.0
2019-04,0.1185762605194311,0.7618803546896937,0.1195433847908751,5.037945434691695e-19
2019-05,0.11943980229510844,0.7605749620810178,0.11998523562387373,0.0
2019-06,0.11071073634748164,0.7641805167626097,0.1251087468899087,1.3539965550250556e-18
2019-07,0.11494571332844197,0.7588830533480282,0.12617123332352986,5.017254861761509e-19
2019-08,0.10805771593311693,0.7626791397210146,0.12926314434586839,0.0
2019-09,0.10272554276833505,0.7657509233900912,0.1315235338415738,0.0
2019-10,0.10946141934812319,0.7726149777992989,0.11792360285257797,4.183229610763022e-18
2019-11,0.11098342242828527,0.7703077825333691,0.1187087950383457,0.0
2019-12,0.11162042317072139,0.7728241983003148,0.11555537852896391,7.0317287149263e-18
2020-01,0.11698535889924336,0.7663541153338937,0.11666052576686298,0.0
2020-02,0.11137912100419256,0.7649296500154554,0.12369122898035212,2.8385799206315278e-18
2020-03,0.10794555896539273,0.7630220094148467,0.1290324316197606,0.0
2020-04,0.09674908590770875,0.7698429916540916,0.13340792243819963,6.7352186017419066e-18
2020-05,0.09539722818340145,0.7664334434361397,0.13816932838045892,5.671732614814795e-18
2020-06,0.08194817024997632,0.7770988087210271,0.1409530210289965,4.496385645556359e-18
2020-07,0.08572459424213906,0.7741023104772802,0.14017309528058075,4.535097982586937e-18
2020-08,0.0872211522254063,0.7633802170219097,0.14939863075268384,0.0
2020-09,0.09004957139026577,0.7601127512073651,0.14983767740236903,2.1403242153415035e-17
2020-10,0.09224438349229616,0.7657522126442653,0.14200340386343863,1.45772393549206e-17
2020-11,0.09128150818630482,0.7691462495706696,0.13957224224302558,0.0
2020-12,0.10521222320254896,0.7647255746165617,0.13006220218088943,0.0
2021-01,0.11625689229785496,0.742993148785462,0.14074995891668304,0.0
2021-02,0.12047819937675737,0.7397192865388473,0.1398025140843953,3.0493186101154812e-18
2021-03,0.128659106097495,0.7389539776804728,0.13238691622203227,0.0
2021-04,0.13721761896819776,0.7224849940867416,0.1402973869450607,0.0
2021-05,0.5593527843858866,0.2799304686371378,0.16071674697697555,0.0
2021-06,0.159509954468286,0.25715741691422017,0.1833326286174938,0.4
2021-07,0.16577451293355996,0.25827145549501873,0.1759540315714213,0.4
2021-08,0.16606910517806042,0.2532138696534238,0.18071702516851582,0.4
2021-09,0.1638721850823047,0.2527185178450631,0.18340929707263218,0.4
2021-10,0.16002318671682947,0.2543283100694142,0.18564850321375626,0.4
2021-11,0.15864323204392328,0.24952360339763116,0.1918331645584455,0.4
2021-12,0.1526585028743392,0.25273163847252855,0.19460985865313216,0.4
2022-01,0.1591875185233743,0.23819906962173534,0.20261341185489026,0.4
2022-02,0.14992878679117083,0.23954110953126093,0.20982046772152643,0.4007096359560418
2022-03,0.14631572312054136,0.23410256599642795,0.2182358338580522,0.4013458770249784
2022-04,0.14729006076648316,0.22050092066548152,0.2198892754531221,0.4123197431149132
2022-05,0.14010462107894,0.2197374611583427,0.626996276650249,0.01316164111246826
2022-06,0.14033120688094722,0.22118792284129674,0.22325341848529856,0.41522745179245746
2022-07,0.09406525565110618,0.2805666225778801,0.6131307833150091,0.012237338456004549
2022-08,0.08474685219422952,0.27923509632954985,0.6190953404201872,0.016922711056033456
2022-09,0.08383834569022862,0.2951165274557614,0.606599571053158,0.014445555800852092
2022-10,0.07837184334968722,0.2969280922412665,0.6116196720743403,0.013080392334706004
2022-11,0.06979337913011117,0.30536102117276376,0.6130468115924247,0.011798788104700475
2022-12,0.06848907789519684,0.304166608240275,0.6188539337186402,0.008490380145887932
2023-01,0.06276807376037391,0.3123442331580752,0.6184656310520339,0.006422062029516931
2023-02,0.07124172831655316,0.2768060246411498,0.6450948927037075,0.0068573543385895275
2023-03,0.07591869331021246,0.272422900185436,0.6436206054697351,0.008037801034616564
2023-04,0.07453046573573958,0.6675160456406579,0.24429177742959252,0.013661711194009898
2023-05,0.07425307282412871,0.6722791772145726,0.24016235155473462,0.013305398406564091
2023-06,0.07834094981917372,0.6777297350921436,0.2358049073552744,0.00812440773340825
2023-07,0.08758946553774632,0.6909449986708991,0.22128974393089404,0.000175791860460528
2023-08,0.08964335565073882,0.696816949582824,0.20602208259061394,0.0075176121758231546
2023-09,0.08599128222572155,0.6961409317978466,0.20860035957264858,0.00926742640378325
2023-10,0.08471719785604041,0.7000859755252574,0.20442825416133123,0.01076857245737096
2023-11,0.07944523906797056,0.6935784819248617,0.20974412461640043,0.017232154390767373
2023-12,0.08570424663849747,0.6962738663125598,0.2028637279786617,0.015158159070280976
2024-01,0.09052196554144469,0.6969420508364321,0.20045977696450856,0.012076206657614687
2024-02,0.086631854063344,0.6945971764451113,0.20536777339845283,0.0134031960930919
2024-03,0.09226297103373883,0.6902365083038695,0.20394048670590337,0.013560033956488407
2024-04,0.09331752106946294,0.6786624273982538,0.21443434567519332,0.013585705857090027
2024-05,0.09640318906794126,0.6724959319709234,0.21784939515291343,0.013251483808221899
2024-06,0.09661274641927695,0.6718717846907125,0.21894980943967055,0.012565659450339979
2024-07,0.10085815690914651,0.669938355120273,0.21465713382707358,0.014546354143506923
2024-08,0.09941203065702041,0.6665773715612751,0.22022778594252945,0.013782811839175079
2024-09,0.09550522388757086,0.6691798979832471,0.22205191835412894,0.013262959775053212
2024-10,0.08965620417148587,0.6689896462328678,0.22914910434521113,0.01220504525043517
2024-11,0.08622968561284776,0.6761789231458608,0.2253596752686185,0.012231715972672969
2024-12,0.08412921131801049,0.6833780252687944,0.22098771917761884,0.011505044235576321
2025-01,0.0802648308044914,0.6779167059103729,0.22893755762664542,0.012880905658490274
2025-02,0.07528003395004862,0.6778873183097591,0.23440618658998225,0.012426461150210026
2025-03,0.07601581425120221,0.6764356386684329,0.2357688932003408,0.011779653880024011
2025-04,0.0751798792466024,0.6662992344258241,0.2464916531517713,0.012029233175802248
2025-05,0.07575191519238202,0.6708087039971911,0.24434573418521816,0.009093646625208734
2025-06,0.07913592726373554,0.6790315061221164,0.23224693842032704,0.009585628193820996
2025-07,0.09155732329843318,0.6789351375615825,0.22256132273962967,0.006946216400354634
2025-08,0.09351750195590167,0.6749611065715695,0.22417302206302045,0.007348369409508367
2025-09,0.09118587699189541,0.6751537778654005,0.22686634576475317,0.006793999377950882
2025-10,0.09539747523970814,0.6669908336776595,0.23450971358444134,0.003101977498191062
2025-11,0.08287888605087565,0.7004337916469893,0.21387034422454856,0.002816978077586508
2025-12,0.08170181826936739,0.6896305085105967,0.2282562992405679,0.0004113739794679688
2026-01,0.09198156358489258,0.6735402861042568,0.22667403684626541,0.007804113464585217
2026-02,0.07113565457044653,0.6987437409838115,0.21952445958937186,0.01059614485637001
2026-03,0.05108366023306877,0.7437462269407865,0.19304243271142332,0.012127680114721399
2026-04,0.4447729313580976,0.32880049232600084,0.1834542493193874,0.04297232699651418
2026-05,0.04816622053920975,0.32182001547800393,0.5838666967588589,0.04614706722392735
2026-06,0.05123929605857584,0.3119253263860155,0.1888573446193046,0.447978032936104
2026-07,0.04459465678556112,0.3366493197311891,0.17895690514663268,0.4397991183366171
