month,policy,model_active,model_fit_cutoff,model_training_months,model_training_rows,cash_return,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,w_KODEX200,w_BOND,w_GLD,w_USO,predicted_excess_return_KODEX200,predicted_excess_return_BOND,predicted_excess_return_GLD,predicted_excess_return_USO,realized_excess_return_KODEX200,realized_excess_return_BOND,realized_excess_return_GLD,realized_excess_return_USO,covariance_cutoff,covariance_start,covariance_end,covariance_observations,lw_shrinkage,gvz_gold_variance_multiplier,ovx_oil_variance_multiplier,solver_success,used_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_monthly_excess_return,estimated_transaction_cost,expected_annual_volatility,historical_cdar,risky_weight_sum,cash_weight,budget_slack,volatility_slack,cdar_slack
2007-04,Stage36_Frozen_Warmup,False,,0,0,0.003966666666666666,-0.003393979911460189,-0.0018939787307535887,0.9966060200885398,-0.0033939799114601765,1.0,0.0015,1.180706600417266e-09,0.0,0.9999976385867992,2.361413200834532e-06,0.0,,,,,0.058304006026765894,-0.005860606060606003,-0.022518772550896286,-0.08440017978300084,2007-03-31,2006-04-13,2007-03-30,252,0.04739306077384952,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0015000045867296717,0.012113995733063364,,1.0,0.0,0.0,,
2007-05,Stage36_Frozen_Warmup,False,,0,0,0.004208333333333333,0.002277211701651505,0.0022772428347960687,0.9988755029794217,-0.0011244970205782634,8.895184161023039e-06,2.6685552483069118e-08,4.4475920805087505e-09,5.187306255812741e-20,0.9999887828140038,1.1217185996202345e-05,0.0,,,,,0.0871512982245362,-0.0019312934851360621,0.01616474226451018,-0.004450665963867192,2007-04-30,2006-05-12,2007-04-30,252,0.04991702019011051,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,3.432926252589795e-08,0.011962912961428844,,1.0,0.0,0.0,,
2007-06,Stage36_Frozen_Warmup,False,,0,0,0.004308333333333333,-0.011502853901367372,-0.010113022338644594,0.9873855840029946,-0.012614415997005413,0.3970947322065079,0.0011912841966195238,0.000198547366103254,0.0,0.6028938480843683,0.3971061519156317,5.692061405548898e-19,,,,,0.008856200403651229,-0.003929688880474488,-0.030349996752543105,0.05969385289806109,2007-05-31,2006-06-14,2007-05-31,252,0.04575129890675247,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.001389834562727185,0.1079433034155135,,1.0,0.0,0.0,,
2007-07,Stage36_Frozen_Warmup,False,,0,0,0.004383333333333334,0.015635040385717856,0.015635040614722075,1.002823397485157,0.0,6.542977648571522e-08,1.9628932945714568e-10,3.27148882428574e-11,8.65667672093895e-22,0.6092837660643063,0.3907162339356937,6.118188852188554e-19,,,,,0.09408642400096585,0.0033759399444864445,0.023533196420803055,0.11941620875678856,2007-06-30,2006-07-13,2007-06-29,252,0.04610365131849997,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,6.5074838462528085e-09,0.10424759962777941,,1.0,0.0,0.0,,
2007-08,Stage36_Frozen_Warmup,False,,0,0,0.00435,0.008732925301267744,0.0087329257600809,1.0115809793057584,0.0,1.3108947316542547e-07,3.932684194962764e-10,6.554473658271187e-11,2.450766030389303e-21,0.604558928764648,0.3954410712353521,6.7631653107271515e-19,,,,,-0.020794792482380732,-0.006509624413145544,0.02103569387966172,-0.04170934742450142,2007-07-31,2006-08-14,2007-07-31,252,0.05051096637403731,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,6.529944689678743e-09,0.10272097941670609,,1.0,0.0,0.0,,
2007-09,Stage36_Frozen_Warmup,False,,0,0,0.0045249999999999995,0.030340093710277308,0.030340095841963486,1.0422724410134292,0.0,6.090531936009394e-07,1.8271595808028184e-09,3.045265968143473e-10,2.775856437596188e-17,0.5980301413442428,0.4019698586557572,2.840093107110903e-17,,,,,0.032183012068387806,-0.001984301778488738,0.0671736139752378,0.07848331970608025,2007-08-31,2006-09-14,2007-08-31,252,0.05982169017954228,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,7.098058803810541e-09,0.09775016843670434,,1.0,0.0,0.0,,
2007-10,Stage36_Frozen_Warmup,False,,0,0,0.00455,0.02709763361866582,0.027097634256547088,1.0705155577508436,0.0,1.8225179077015522e-07,5.467553723104657e-10,9.112589538506023e-11,2.7913806011666384e-17,0.581894628869611,0.4181053711303891,2.98349783547116e-17,,,,,0.05874830234438161,0.0003307959451848679,0.05346773185992043,0.16064861455596563,2007-09-30,2006-10-12,2007-09-28,252,0.06843414848905073,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,6.557652668779907e-09,0.09303199974529129,,1.0,0.0,0.0,,
2007-11,Stage36_Frozen_Warmup,False,,0,0,0.004508333333333334,0.010910031586226153,0.012175248014544341,1.0821949162994517,0.0,0.36149040809091054,0.0010844712242727317,0.00018074520404545518,4.7340671402658346e-17,0.2078174340384077,0.7921825659615922,3.4043101183097585e-17,,,,,-0.08475618553435227,-0.007777528177346113,0.011718536899281599,-0.03130588924951849,2007-10-31,2006-11-14,2007-10-31,252,0.055769476886525095,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0012652194283230278,0.1760288195602018,,1.0,0.0,0.0,,
2007-12,Stage36_Frozen_Warmup,False,,0,0,0.004808333333333333,0.06526698835007223,0.06542435564305762,1.1528265192940754,0.0,0.04496208371011156,0.00013488625113033468,2.2481041855055802e-05,1.8571958160625e-18,0.2496085011767209,0.750391498823279,0.0,,,,,-0.010925299648687522,-0.0022781112360601725,0.08153698214441049,0.12090555178959736,2007-11-30,2006-12-14,2007-11-30,252,0.05518464458246113,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.00015737029302431208,0.17438228774139256,,1.0,0.0,0.0,,
2008-01,Stage36_Frozen_Warmup,False,,0,0,0.004783333333333333,0.08629670779574589,0.08640995874336438,1.2523116525687832,0.0,0.03235741360528342,9.707224081585027e-05,1.6178706802641714e-05,4.675525514123435e-19,0.2672310250415718,0.7327689749584281,6.0182749693602115e-18,,,,,-0.13016279854728938,0.019800701065619625,0.10417371146486445,-0.0628177089044629,2007-12-31,2007-01-12,2007-12-31,252,0.054692486130835834,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.00011325394767257542,0.16853508478685217,,0.9999999999999999,1.1102230246251565e-16,1.1102230246251565e-16,,
2008-02,Stage36_Frozen_Warmup,False,,0,0,0.0042,0.04151143988912076,0.04189655129090232,1.3042969124568378,0.0,0.11003182908044609,0.0003300954872413383,5.501591454022293e-05,0.0144851361278994,0.3475700102556785,0.6379448536164221,1.0235027988685261e-16,,,,,0.004976492963103966,0.0025512088313108623,0.05758764605587439,0.1236319857998167,2008-01-31,2007-02-14,2008-01-31,252,0.05409277484740294,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.0003851129018502762,0.15017310994965943,,1.0,0.0,0.0,,
2008-03,Stage36_Frozen_Warmup,False,,0,0,0.004141666666666666,-0.036837890810647846,-0.03674967399390036,1.2562493652110878,-0.03683789081064781,0.025204804784995535,7.56144143549866e-05,1.260240239249777e-05,1.6762451894371656e-17,0.3246711847308605,0.6753288152691396,0.0,,,,,0.019321230859835215,-0.004051045914514395,-0.05860268640888695,0.02629395117430904,2008-02-29,2007-03-15,2008-02-29,252,0.06636838800812198,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,8.821831690773186e-05,0.13734953534701885,,1.0,0.0,0.0,,
2008-04,Stage36_Frozen_Warmup,False,,0,0,0.0042499999999999994,-0.012074984786476568,-0.01170273987800639,1.241080173238143,-0.048468058626019994,0.10635568813433638,0.00031906706440300916,5.317784406716819e-05,0.0,0.4434441872622016,0.5565558127377985,0.0,,,,,0.09476947244855691,0.00490186661834011,-0.032568960240441445,0.14207299232551826,2008-03-31,2007-04-13,2008-03-31,252,0.05082417662396046,1.0,1.0,True,False,0,Stage36 frozen warm-up allocation,0,,,0.00037224790848663155,0.12148610799379692,,1.0,0.0,0.0,,
