month,asset,predicted_excess_return,realized_excess_return
2011-01,KODEX200,0.10533382075659062,0.006414223684160914
2011-01,BOND,0.00983509594585475,-0.008119295255409864
2011-01,GLD,0.07282819872152181,-0.06477591165501981
2011-01,USO,0.03778979103502826,-0.023175713284914055
2011-02,KODEX200,0.058219015788245385,-0.07073200563779239
2011-02,BOND,-0.0022246892970492187,0.002335519000837697
2011-02,GLD,0.033549536180582124,0.06084406020713548
2011-02,USO,0.05076318362800536,0.02105632669203591
2011-03,KODEX200,0.2221493164215597,0.0887229050393513
2011-03,BOND,-0.008925750515884972,0.005811737978038559
2011-03,GLD,0.01989885589365371,-0.022255932281579204
2011-03,USO,0.001187056940498045,0.05656103080324346
2011-04,KODEX200,0.008984390712590593,0.041929993073400444
2011-04,BOND,-0.010563702647038686,-0.0009318097668367755
2011-04,GLD,0.026788328648876262,0.05986605561500651
2011-04,USO,-0.06070309629347126,0.021668825409749615
2011-05,KODEX200,0.01794684168647754,-0.02603178501719179
2011-05,BOND,-0.005058481334528252,0.005470630195461833
2011-05,GLD,-0.029511470699195703,-0.011515458873234087
2011-05,USO,-0.016902301760682602,-0.09885118147379464
2011-06,KODEX200,-0.00913996864386227,-0.022572301488238352
2011-06,BOND,-0.0029787396654777647,-0.001952165627165655
2011-06,GLD,0.020376823990970596,-0.04068875012456369
2011-06,USO,-0.005390072425612663,-0.0957255194680216
2011-07,KODEX200,0.1610087072187033,0.004338559327316959
2011-07,BOND,-0.001906739481105397,0.0008720071206052998
2011-07,GLD,0.10634798988296179,0.0718324351944689
2011-07,USO,0.10198156447667975,0.02302411568170847
2011-08,KODEX200,0.10583113665388873,-0.14008776000117948
2011-08,BOND,-0.00244545245476512,0.011123817966903017
2011-08,GLD,0.009286292495755102,0.13482106579983336
2011-08,USO,-0.0016079956379380705,-0.0961213732589838
2011-09,KODEX200,0.024511754068477408,-0.09370519384993663
2011-09,BOND,-0.00985202393191082,-0.004510663996115593
2011-09,GLD,-0.07571494400316144,0.00869786350206776
2011-09,USO,-0.012785834599202676,-0.03308374323190692
2011-10,KODEX200,-0.01873392531488796,0.12266274789441052
2011-10,BOND,-0.0008592682401567775,0.002804724734947924
2011-10,GLD,-0.106143058684335,-0.04532593524515576
2011-10,USO,0.032965236152174546,0.08229374606702551
2011-11,KODEX200,-0.0033449529358758317,0.01270612529879834
2011-11,BOND,-0.007196839577510904,0.003795484877058061
2011-11,GLD,0.053653533582658244,0.054132791222445416
2011-11,USO,0.09376937714482401,0.13671198145419905
2011-12,KODEX200,0.03492396762075025,-0.04392319898716699
2011-12,BOND,0.0020369969148000544,0.0009297310278577838
2011-12,GLD,0.09280729876004003,-0.08175071833812639
2011-12,USO,-0.042002489425981344,0.023224432574082046
2012-01,KODEX200,0.00581970682415713,0.07017620882878631
2012-01,BOND,-0.0007399028155350492,0.0017386304909559323
2012-01,GLD,-0.10870060735038503,0.06590785256782652
2012-01,USO,0.023310758745155508,-0.056025405662288835
2012-02,KODEX200,-0.008000276902458092,0.04078697598262295
2012-02,BOND,-0.0096097282285211,-0.0008874062165058253
2012-02,GLD,-0.08835476227535774,-0.028152690533850475
2012-02,USO,0.10769720869523743,0.07189635927647434
2012-03,KODEX200,0.004598055809919479,-0.005083742465183212
2012-03,BOND,0.004036910375914819,-0.002233151476251511
2012-03,GLD,-0.1228541369302387,-0.018211121535654334
2012-03,USO,0.18108288952116283,-0.04728852339581273
2012-04,KODEX200,0.1908791640811079,-0.006275837410396216
2012-04,BOND,-0.005257103331027204,0.004382554700306525
2012-04,GLD,0.01903390976221454,-0.0026872962725218922
2012-04,USO,0.05795666822267689,0.014481987343270282
2012-05,KODEX200,0.21989588753977207,-0.08602118619268943
2012-05,BOND,-0.009923260308282942,0.005615165558228346
2012-05,GLD,0.018532154329744848,-0.0016247871863362246
2012-05,USO,0.0842133424478815,-0.167550822389288
2012-06,KODEX200,0.22463371655508108,0.009079658894875525
2012-06,BOND,-0.009052195727818665,-0.0008023057855105205
2012-06,GLD,-0.1387087804110685,-0.061806396568992866
2012-06,USO,0.057665248211590116,-0.0653572981351764
2012-07,KODEX200,0.1534225571175083,0.0021127760276500617
2012-07,BOND,-0.013024802093661324,0.017485261167903752
2012-07,GLD,-0.1203234829198283,0.01377826136328156
2012-07,USO,-0.009008055370975522,0.062015529884642345
