Period,Metric,Mean,P05,P50,P95,ProbabilityPositive,Replications,BlockMonths
mlp_active,delta_CAGR,-0.04919134014586567,-0.07626296907944169,-0.04867564511559519,-0.024695486850608368,0.0005,2000,12
mlp_active,delta_Sharpe,-0.5718084714321199,-0.8994100770536173,-0.5622662253750835,-0.28026184769309276,0.0,2000,12
mlp_active,delta_MDD,-0.08472692542548396,-0.21551230655058248,-0.07352564684510449,0.01114483386180604,0.091,2000,12
locked_2018_2026,delta_CAGR,-0.07082654426577395,-0.10769117517706281,-0.07036815298315313,-0.0361852077842843,0.0,2000,12
locked_2018_2026,delta_Sharpe,-0.7314278555014336,-1.189688754663409,-0.710487348170411,-0.32617271631934747,0.0,2000,12
locked_2018_2026,delta_MDD,-0.07921804966571201,-0.21418057938031831,-0.06480195765894925,0.006133321346953102,0.0885,2000,12
