month,macro_signal_month,covariance_cutoff,covariance_start,covariance_end,covariance_observations,ledoit_wolf_shrinkage,return,gross_return,nav,drawdown,turnover,trade_cost,fx_cost,covariance_min_eigenvalue,p_Goldilocks,p_Overheating,p_Slowdown,p_Stagflation,w_KODEX200,w_BOND,w_GLD,w_GSG,expected_monthly_return,expected_monthly_variance,expected_annual_log_growth,estimated_transaction_cost,monthly_certainty_equivalent,solver_success,used_fallback,used_equal_weight_fallback,solver_status,solver_message,solver_iterations,objective_value,expected_annual_volatility,historical_cdar,sum_error,volatility_slack,cdar_slack,z_score_KODEX200,z_score_BOND,z_score_GLD,z_score_GSG,betting_size_KODEX200,betting_size_BOND,betting_size_GLD,betting_size_GSG,betting_size_sum,expected_return_KODEX200,predictive_std_KODEX200,training_observations_KODEX200,last_training_month_KODEX200,used_mean_fallback_KODEX200,regime_intercept_KODEX200,standardized_regime_intercept_KODEX200,regime_beta_KODEX200_Overheating,standardized_regime_beta_KODEX200_Overheating,regime_feature_mean_KODEX200_Overheating,regime_feature_std_KODEX200_Overheating,regime_beta_KODEX200_Slowdown,standardized_regime_beta_KODEX200_Slowdown,regime_feature_mean_KODEX200_Slowdown,regime_feature_std_KODEX200_Slowdown,regime_beta_KODEX200_Stagflation,standardized_regime_beta_KODEX200_Stagflation,regime_feature_mean_KODEX200_Stagflation,regime_feature_std_KODEX200_Stagflation,expected_return_BOND,predictive_std_BOND,training_observations_BOND,last_training_month_BOND,used_mean_fallback_BOND,regime_intercept_BOND,standardized_regime_intercept_BOND,regime_beta_BOND_Overheating,standardized_regime_beta_BOND_Overheating,regime_feature_mean_BOND_Overheating,regime_feature_std_BOND_Overheating,regime_beta_BOND_Slowdown,standardized_regime_beta_BOND_Slowdown,regime_feature_mean_BOND_Slowdown,regime_feature_std_BOND_Slowdown,regime_beta_BOND_Stagflation,standardized_regime_beta_BOND_Stagflation,regime_feature_mean_BOND_Stagflation,regime_feature_std_BOND_Stagflation,expected_return_GLD,predictive_std_GLD,training_observations_GLD,last_training_month_GLD,used_mean_fallback_GLD,regime_intercept_GLD,standardized_regime_intercept_GLD,regime_beta_GLD_Overheating,standardized_regime_beta_GLD_Overheating,regime_feature_mean_GLD_Overheating,regime_feature_std_GLD_Overheating,regime_beta_GLD_Slowdown,standardized_regime_beta_GLD_Slowdown,regime_feature_mean_GLD_Slowdown,regime_feature_std_GLD_Slowdown,regime_beta_GLD_Stagflation,standardized_regime_beta_GLD_Stagflation,regime_feature_mean_GLD_Stagflation,regime_feature_std_GLD_Stagflation,expected_return_GSG,predictive_std_GSG,training_observations_GSG,last_training_month_GSG,used_mean_fallback_GSG,regime_intercept_GSG,standardized_regime_intercept_GSG,regime_beta_GSG_Overheating,standardized_regime_beta_GSG_Overheating,regime_feature_mean_GSG_Overheating,regime_feature_std_GSG_Overheating,regime_beta_GSG_Slowdown,standardized_regime_beta_GSG_Slowdown,regime_feature_mean_GSG_Slowdown,regime_feature_std_GSG_Slowdown,regime_beta_GSG_Stagflation,standardized_regime_beta_GSG_Stagflation,regime_feature_mean_GSG_Stagflation,regime_feature_std_GSG_Stagflation
2007-08,2007-07,2007-07-31,2006-08-14,2007-07-31,252,0.04357950448783946,-0.006685682387643232,-0.005139893709087506,0.9933143176123568,-0.006685682387643221,1.0,0.0015,4.5788678555725324e-05,1.0957724717152894e-05,0.3282145338471756,0.10819526939321378,0.4238642036379763,0.13972599312163433,0.3852105008020084,0.523212142086541,0.09157735711145065,0.0,0.013755045808838611,0.00033119006335437343,0.1630734093259371,0.0015457901785700255,0.0120436605985914,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.0120436605985914,0.0630418968643273,-0.006888623415053696,0.0,0.0669581031356727,0.1531113765849463,0.7494343306556571,1.1314967508754181,0.16352961701899957,-0.12006605823844507,0.5464045345577342,0.7421539298034134,0.1298985440021232,0.0,1.4184570083632708,0.02969371075492489,0.03962149789554847,13,2007-07,True,0.02969371075492489,0.02969371075492489,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0036345055379593152,0.0032121219394994865,13,2007-07,True,0.0036345055379593152,0.0036345055379593152,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0045327710191258325,0.027718349139160495,13,2007-07,True,0.0045327710191258325,0.0045327710191258325,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.00669710998135858,0.05577854457467456,13,2007-07,True,-0.00669710998135858,-0.00669710998135858,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-09,2007-08,2007-08-31,2006-09-14,2007-08-31,252,0.05258076036273294,0.024367120635783376,0.024503084183789985,1.0175185274188678,0.0,0.03884672800188803,0.00011654018400566409,1.942336400094398e-05,1.0979289686153696e-05,0.36907606328132014,0.0977704766240169,0.4214964947934556,0.11165696530120746,0.3731110275008614,0.4936549921874953,0.13323398031164332,0.0,0.012241678456883228,0.0004869190898531619,0.14397862694347976,0.00013596504815356947,0.011862253863803077,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.011862253863803077,0.07643970877912828,-0.00728360447292381,0.0,0.05356029122087172,0.1527163955270762,0.6597137315362946,0.9327527957157371,0.22134300545937885,-0.15334791977292522,0.4905624469279328,0.6490523813454647,0.17517463322757698,0.0,1.3147894615009745,0.026398103380831633,0.0400144822199738,14,2007-08,True,0.026398103380831633,0.026398103380831633,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.003220639112880397,0.003452832441428467,14,2007-08,True,0.003220639112880397,0.003220639112880397,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.006022265509164111,0.027207841949491034,14,2007-08,True,0.006022265509164111,0.006022265509164111,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.008267190376975335,0.053911330451806835,14,2007-08,True,-0.008267190376975335,-0.008267190376975335,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-10,2007-09,2007-09-30,2006-10-12,2007-09-28,252,0.061103697386224176,0.035383058223339224,0.035530847374491026,1.053521444717856,0.0,0.0422254717576573,0.0001266764152729719,2.11127358788286e-05,1.09836160483451e-05,0.39272223717645033,0.06551509001248977,0.4643058002067272,0.07745687260433265,0.3594904813513394,0.45891240981277165,0.18159710883588895,0.0,0.013082878534281538,0.0005327551271486398,0.15379801164848664,0.00014779065124804163,0.012668710319459178,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.012668710319459178,0.07995662277625086,-0.005213665260091593,0.0,0.050043377223749144,0.1547863347399084,0.7007746527188291,0.953013848545333,0.3330972739420649,-0.053945211127082164,0.5165563410804574,0.6594169458902073,0.2609391429181631,0.0,1.4369124298888278,0.027085430626668697,0.03865069965299694,15,2007-09,True,0.027085430626668697,0.027085430626668697,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0031753097201224546,0.0033318610479472076,15,2007-09,True,0.0031753097201224546,0.0031753097201224546,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.01040068874023569,0.031224178502417484,15,2007-09,True,0.01040068874023569,0.01040068874023569,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,-0.0030100248970281593,0.055797814748324036,15,2007-09,True,-0.0030100248970281593,-0.0030100248970281593,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-11,2007-10,2007-10-31,2006-11-14,2007-10-31,252,0.05518102756167021,-0.026302587667562462,-0.026186573787548705,1.0258111045585077,-0.026302587667562327,0.03314682286107317,9.944046858321952e-05,1.657341143053658e-05,1.0132000805125695e-05,0.46394896786708834,0.19175007547114664,0.24361492532554746,0.10068603133621763,0.3489104996800623,0.43240212915940557,0.20116898996065327,0.017518381199878794,0.01438537604535259,0.000610762613252073,0.16895993686471866,0.00011601388020720976,0.013963980858519345,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.013963980858519345,0.08561046290626442,-0.006587174577704469,1.1102230246251565e-16,0.04438953709373558,0.15341282542229553,0.7638535218474756,1.0107494162683632,0.4124888450589721,0.034934679180597075,0.5550454624273402,0.6878636210544602,0.32001884483596177,0.027868172505502775,1.590796100823265,0.02934873510902577,0.038421941209411684,16,2007-10,True,0.02934873510902577,0.02934873510902577,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0032819026091888553,0.003246999262493247,16,2007-10,True,0.0032819026091888553,0.0032819026091888553,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.013376753935215986,0.03242937135258423,16,2007-10,True,0.013376753935215986,0.013376753935215986,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.002009572635524162,0.057523718054931804,16,2007-10,True,0.002009572635524162,0.002009572635524162,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2007-12,2007-11,2007-11-30,2006-12-14,2007-11-30,252,0.056226003411226105,0.022480564597906424,0.02262650729318611,1.048871917359785,-0.004413320090808748,0.04169791293705409,0.00012509373881116226,2.0848956468527035e-05,1.545438333919461e-05,0.3303845902520425,0.22506108407086484,0.2644253174041543,0.18012900827293832,0.2880367479339907,0.4423841902142276,0.25061048499936106,0.018968576852420652,0.011305794679852753,0.0006607547746205701,0.13170500751050962,0.00014594269992605004,0.010829474592616418,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.010829474592616418,0.0890452541994622,-0.014324567243503505,0.0,0.0409547458005378,0.1456754327564965,0.5008901312670533,0.822278483167283,0.431251520563963,0.03166234603950145,0.3835515517201651,0.5890815801462268,0.33371450375101563,0.025258676671826796,1.3316063122892343,0.022901877031964314,0.045722356266097025,17,2007-11,True,0.022901877031964314,0.022901877031964314,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.002896543935471112,0.00352258267091472,17,2007-11,True,0.002896543935471112,0.002896543935471112,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.013544407835062984,0.03140721177597352,17,2007-11,True,0.013544407835062984,0.013544407835062984,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0017637927375520775,0.055706318645863985,17,2007-11,True,0.0017637927375520775,0.0017637927375520775,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2008-01,2007-12,2007-12-31,2007-01-12,2007-12-31,252,0.05925555516802245,0.006401070137427668,0.006552131437016849,1.0555858200679833,0.0,0.04316037131119453,0.0001294811139335836,2.1580185655597287e-05,1.7243038669480345e-05,0.23527417869557943,0.24077260879188606,0.25895072709012407,0.2650024854224105,0.25352928031623545,0.4169417202492422,0.26762017504824553,0.0619088243862768,0.011702604895452485,0.0007050278696060403,0.13620109152779358,0.00015106130022396886,0.011199029660425497,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.011199029660425497,0.09198007629520907,-0.016133627993146715,0.0,0.03801992370479093,0.1438663720068533,0.4743545656105323,0.8413615987070824,0.5029854560536023,0.11186343165146215,0.3647529133387297,0.599854608365856,0.38502550236134336,0.08906830811850885,1.438701332184438,0.021289719068224387,0.04488144652054274,18,2007-12,True,0.021289719068224387,0.021289719068224387,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0028761927222378924,0.003418497738258709,18,2007-12,True,0.0028761927222378924,0.0028761927222378924,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.01758890270410081,0.03496900853178225,18,2007-12,True,0.01758890270410081,0.01758890270410081,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.006439918443724522,0.0575694697422627,18,2007-12,True,0.006439918443724522,0.006439918443724522,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2008-02,2008-01,2008-01-31,2007-02-14,2008-01-31,252,0.05801294117509655,0.03465234463359809,0.03487414885327085,1.0921643436953181,0.0,0.06337263419221537,0.0001901179025766461,3.1686317096107714e-05,2.5209784910210312e-05,0.21111358580875786,0.2406430955114571,0.25620343359159486,0.2920398850881902,0.1633351017452852,0.4180017871051425,0.35689354526139233,0.06176956588817996,0.012210626302460934,0.0008385522748224442,0.14149620198059654,0.0002218042203843738,0.011569545944665338,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.011569545944665338,0.10031264774628039,-0.018124484167132082,2.220446049250313e-16,0.029687352253719615,0.14187551583286792,0.2463403583515998,0.6712925845922968,0.5609487841601498,0.09235767027928957,0.19458122914454856,0.4979658423109554,0.4251675479959829,0.07358613014482773,1.1913007495963146,0.013570288316530685,0.05508755612493635,19,2008-01,True,0.013570288316530685,0.013570288316530685,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.004018710705222896,0.005986526288926045,19,2008-01,True,0.004018710705222896,0.004018710705222896,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.022397752288000648,0.039928337346402255,19,2008-01,True,0.022397752288000648,0.022397752288000648,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.005191559927024732,0.05621146474705844,19,2008-01,True,0.005191559927024732,0.005191559927024732,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,
2008-03,2008-02,2008-02-29,2007-03-15,2008-02-29,252,0.07494793203313273,-0.01859240983924845,-0.01783268647666651,1.071858376605521,-0.01859240983924848,0.2184219188491352,0.0006552657565474056,0.00010445760603453455,2.2787407623170996e-05,0.19252177382100585,0.2509316611680591,0.24162025470055298,0.31492631031038215,0.0,0.35700649953981417,0.35666840517488324,0.2863250952853027,0.034274251012082806,0.0011623415472236283,0.4043169628616519,0.0007597233626852809,0.03293335687578571,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.03293335687578571,0.11810206842677878,-0.07111513442563955,0.0,0.011897931573221221,0.08888486557436046,-0.9006152103188718,3.888090382974116,3.277322461208178,1.2870853106334672,0.0,0.9998989639946527,0.9989520338808799,0.8019354451823251,2.8007864430578575,-0.021233150800764884,0.023576273815370134,20,2008-02,False,0.020183975335276994,0.013350598548859347,-0.11653333097356187,-0.0075469769161577395,0.11315017525262874,0.06476238903588824,0.03666565022748827,0.0042073083908183324,0.42720551305310195,0.11474795523097282,-0.06679145841893931,-0.004125075874986524,0.13940971048187079,0.061760530053298276,0.011582256214663725,0.002978906114266848,20,2008-02,False,-0.007349020839478417,0.0041553356115272945,0.011993405360895477,0.0007767215838474205,0.11315017525262874,0.06476238903588824,0.009677401421915824,0.0011104620251141497,0.42720551305310195,0.11474795523097282,0.04313229883549724,0.0026638736384975697,0.13940971048187079,0.061760530053298276,0.060865357589442365,0.018571671939478448,20,2008-02,False,0.02328280524253016,0.024367246976394336,0.1476117629670765,0.009559690419547129,0.11315017525262874,0.06476238903588824,-0.049517554617879,-0.005682038140439632,0.42720551305310195,0.11474795523097282,0.039712565152883884,0.002452669073618251,0.13940971048187079,0.061760530053298276,0.02944401444758661,0.022876505701937576,20,2008-02,False,0.014693628339293037,0.011813749600874307,0.06950029228629553,0.004501004967153014,0.11315017525262874,0.06476238903588824,-0.029831098550803507,-0.003423057560998339,0.42720551305310195,0.11474795523097282,0.014347356175535377,0.0008861003222645273,0.13940971048187079,0.061760530053298276
2008-04,2008-03,2008-03-31,2007-04-13,2008-03-31,252,0.06390860462473988,0.022797602346698365,0.022847804021298195,1.0962941776473514,0.0,0.014343335599952045,4.3030006799856135e-05,7.171667799976023e-06,2.7947350661629828e-05,0.24022743410559233,0.3203330257697091,0.18832122621024894,0.2511183139144496,0.0,0.349178079561502,0.3514653951912632,0.29935652524723483,0.02064628170057433,0.0015093522679342122,0.23869926679928666,5.020317488225882e-05,0.019841402391724963,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.019841402391724963,0.13458167488633266,-0.07265281059047841,0.0,-0.004581674886332654,0.08734718940952159,-0.5511216806038818,2.139574874431847,2.2254545982245673,1.3707588412842147,0.0,0.9676108610550591,0.9739492642240017,0.829549854677829,2.77110997995689,-0.010976714952074319,0.019917044344992522,21,2008-03,False,0.015227074545009253,0.013832136595413746,-0.07367711458522695,-0.005151314070274933,0.11971119839145875,0.06991742414554093,0.0291218181105134,0.003464006720568727,0.4183681197982187,0.1189488481599358,-0.03220327829540531,-0.002297653910112311,0.147767643807038,0.07134844747902994,0.006270301676670972,0.002930629702003777,21,2008-03,False,-0.002472740215194584,0.003961777761080865,0.006856750111284807,0.0004794063057906848,0.11971119839145875,0.06991742414554093,0.005727209598157531,0.0006812449848713671,0.4183681197982187,0.1189488481599358,0.02177476888183317,0.0015535959539334893,0.147767643807038,0.07134844747902994,0.030566440539263506,0.013734919851273952,21,2008-03,False,0.02430661066636625,0.02061351998979364,0.030991367174256636,0.0021668365635726956,0.11971119839145875,0.06991742414554093,-0.017053573103483693,-0.002028502877670647,0.4183681197982187,0.1189488481599358,-0.0018165889279331954,-0.0001296107997156289,0.147767643807038,0.07134844747902994,0.02576788226931042,0.018798260856132374,21,2008-03,False,0.014192700425629347,0.011510550024640203,0.04336204411906647,0.0030317624304904292,0.11971119839145875,0.06991742414554093,-0.02116961306162559,-0.002518101089671896,0.4183681197982187,0.1189488481599358,0.006656521826568934,0.00047493249793597003,0.147767643807038,0.07134844747902994
2008-05,2008-04,2008-04-30,2007-05-15,2008-04-30,252,0.06199044912122145,0.03862836393100985,0.03934126612979366,1.1386422281169604,0.0,0.2147358136673369,0.0006442074410020108,6.869475778179707e-05,2.8681435019960005e-05,0.21768382175858922,0.3339607848638936,0.17692498823483618,0.271430405142681,0.214735813667337,0.2671562851606974,0.25878231849342004,0.2593255826785456,0.02316969575054075,0.0011278773364400804,0.2712690849878485,0.0007129021988208441,0.021892854883499867,True,False,False,0,closed-form Bayesian z-score betting size,0,-0.021892854883499867,0.1163379905159143,-0.04727208076901124,0.0,0.013662009484085705,0.11272791923098877,1.2845492875836872,2.928996891047145,2.112555727400723,2.136825103745654,0.8010501703306709,0.9965994217639806,0.9653611885573032,0.9673877804918167,3.7303985611437716,0.014437201342691067,0.0112391182512337,22,2008-04,False,0.01767802127374276,0.01770428822510207,-0.006659422560126146,-0.0005362869163765953,0.12883037236319742,0.0805305432317298,0.004717096922533149,0.0005944403266811933,0.40791144281694736,0.1260182558135715,-0.006820924364314276,-0.0004981473720489907,0.15246540153919305,0.07303223807248165,0.007430236302356816,0.0025367853155011146,22,2008-04,False,-0.0024867542224199456,0.004197690890956285,0.008784703558649635,0.000707436949707765,0.12883037236319742,0.0805305432317298,0.005283572384216507,0.0006658265763237177,0.40791144281694736,0.1260182558135715,0.022283605421576227,0.0016274215762617978,0.15246540153919305,0.07303223807248165,0.02039357745901055,0.009653509819645183,22,2008-04,False,0.02017630180311774,0.01838931634296477,0.005408005826728819,0.0004355096470268318,0.12883037236319742,0.0805305432317298,-0.005157548727381841,-0.000649945294898165,0.40791144281694736,0.1260182558135715,-0.002491566728797126,-0.00018196469451098603,0.15246540153919305,0.07303223807248165,0.04938571758032978,0.02311172659557455,22,2008-04,False,0.02086864645823723,0.015482637864891128,0.10777763714486523,0.008679391667508257,0.12883037236319742,0.0805305432317298,-0.048849094372631345,-0.0061558776709115534,0.40791144281694736,0.1260182558135715,0.004296468838723511,0.0003137807351006542,0.15246540153919305,0.07303223807248165
