month,asset,asset_monthly_return,portfolio_weight,portfolio_gross_contribution,expected_return,predictive_std,z_score,betting_size,portfolio_gross_return,portfolio_net_return,portfolio_nav,portfolio_drawdown,portfolio_turnover,portfolio_trade_cost,portfolio_fx_cost,asset_cumulative_nav,asset_cumulative_pnl,portfolio_gross_contribution_cumulative
2007-08,KODEX200,-0.0164447924823807,0.3852105008020084,-0.006334706747722973,0.0296937107549248,0.0396214978955484,0.7494343306556571,0.5464045345577342,-0.0051398937090875,-0.0066856823876432,0.9933143176123568,-0.0066856823876432,1.0,0.0015,4.578867855572533e-05,0.9835552075176193,-0.016444792482380732,-0.006334706747722973
2007-09,KODEX200,0.0367080120683875,0.3731110275008614,0.013696164100350081,0.0263981033808316,0.0400144822199738,0.6597137315362946,0.4905624469279328,0.0245030841837899,0.0243671206357833,1.0175185274188678,0.0,0.038846728001888,0.0001165401840056,1.942336400094398e-05,1.0196595639451016,0.0196595639451016,0.007361457352627108
2007-10,KODEX200,0.0632983023443818,0.3594904813513394,0.022755137178504428,0.0270854306266686,0.0386506996529969,0.7007746527188291,0.5165563410804574,0.035530847374491,0.0353830582233392,1.053521444717856,0.0,0.0422254717576573,0.0001266764152729,2.11127358788286e-05,1.0842022833120393,0.08420228331203927,0.030116594531131538
2007-11,KODEX200,-0.0802478522010189,0.3489104996800623,-0.027999318209709294,0.0293487351090257,0.0384219412094116,0.7638535218474756,0.5550454624273402,-0.0261865737875487,-0.0263025876675624,1.0258111045585077,-0.0263025876675623,0.0331468228610731,9.944046858321952e-05,1.657341143053658e-05,0.9971973787248075,-0.002802621275192485,0.0021172763214222443
2007-12,KODEX200,-0.0061169663153544,0.2880367479339907,-0.0017619110846964472,0.0229018770319643,0.045722356266097,0.5008901312670533,0.3835515517201651,0.0226265072931861,0.0224805645979064,1.048871917359785,-0.0044133200908087,0.041697912937054,0.0001250937388111,2.0848956468527035e-05,0.9910975559493882,-0.008902444050611802,0.000355365236725797
2008-01,KODEX200,-0.1253794652139559,0.2535292803162354,-0.03178736558212871,0.0212897190682243,0.0448814465205427,0.4743545656105323,0.3647529133387297,0.0065521314370168,0.0064010701374276,1.0555858200679833,0.0,0.0431603713111945,0.0001294811139335,2.1580185655597287e-05,0.8668342744095952,-0.13316572559040485,-0.031432000345402916
2008-02,KODEX200,0.0091764929631039,0.1633351017452852,0.0014988434117934693,0.0135702883165306,0.0550875561249363,0.2463403583515998,0.1945812291445485,0.0348741488532708,0.034652344633598,1.092164343695318,0.0,0.0633726341922153,0.0001901179025766,3.1686317096107714e-05,0.8747887730288921,-0.12521122697110787,-0.029933156933609446
2008-03,KODEX200,0.0234628975265016,0.0,0.0,-0.0212331508007648,0.0235762738153701,-0.9006152103188718,0.0,-0.0178326864766665,-0.0185924098392484,1.071858376605521,-0.0185924098392484,0.2184219188491352,0.0006552657565474,0.0001044576060345,0.8953138523678031,-0.10468614763219686,-0.029933156933609446
2008-04,KODEX200,0.0990194724485569,0.0,0.0,-0.0109767149520743,0.0199170443449925,-0.5511216806038818,0.0,0.0228478040212981,0.0227976023466983,1.0962941776473514,0.0,0.014343335599952,4.3030006799856135e-05,7.171667799976023e-06,0.9839673577051482,-0.016032642294851795,-0.029933156933609446
2008-05,KODEX200,-0.007665242523247,0.214735813667337,-0.0016460020901869158,0.014437201342691,0.0112391182512337,1.2845492875836872,0.8010501703306709,0.0393412661297936,0.0386283639310098,1.1386422281169604,0.0,0.2147358136673369,0.000644207441002,6.869475778179707e-05,0.9764250092733797,-0.023574990726620282,-0.03157915902379636
2008-06,KODEX200,-0.0982229538643367,0.2022539320880565,-0.019865978640365864,0.0120475029218495,0.0129309452379968,0.9316799893675752,0.6484980690771658,0.0484835513841427,0.0482330366454265,1.1935624004317558,0.0,0.0715756396332116,0.0002147269188996,3.578781981660584e-05,0.880517660635536,-0.11948233936446395,-0.05144513766416223
2008-07,KODEX200,-0.0540161018535854,0.0,-0.0,-0.0059452594156355,0.0212574991831379,-0.279678214469909,0.0,-0.0792863338202587,-0.0798389672479818,1.0982696110352623,-0.0798389672479817,0.180903513922412,0.0005427105417672,9.922885955788524e-06,0.8329555289947662,-0.16704447100523379,-0.05144513766416223
2008-08,KODEX200,-0.0782285997031172,0.0,-0.0,-0.0175100756928463,0.0238191776384334,-0.735125114672009,0.0,-0.0102877388153555,-0.011256392931974,1.0859070567482032,-0.0901966613933294,0.2947389061530878,0.0008842167184592,8.443739815922838e-05,0.7677945843465364,-0.23220541565346364,-0.05144513766416223
2008-09,KODEX200,0.0059047721294753,0.0,0.0,-0.0309964125684053,0.0306183423723858,-1.0123478335770555,0.0,0.0054352749343236,0.0038071555822946,1.0900412738611551,-0.0867328985339628,0.4651769577225731,0.0013955308731677,0.0002325884788612,0.7723282364093479,-0.2276717635906521,-0.05144513766416223
2008-10,KODEX200,-0.2123379049042103,0.0,-0.0,-0.0228724629532018,0.016693415285016,-1.3701488019490005,0.0,-0.0521592757341665,-0.0539760592583859,1.0312051414691388,-0.1360274577214282,0.519081006919823,0.0015572430207594,0.0002595405034599,0.6083336767918233,-0.39166632320817674,-0.05144513766416223
2008-11,KODEX200,-0.049728997289973,0.0,-0.0,-0.0402505458531156,0.0341876315133879,-1.1773423332164283,0.0,0.1117003524300897,0.111676612883438,1.146366638856399,-0.0395419305754641,0.0067827276147697,2.034818284430917e-05,3.3913638073848616e-06,0.5780818530272434,-0.42191814697275665,-0.05144513766416223
2008-12,KODEX200,0.0516897190931129,0.0,0.0,-0.0338372285016208,0.0374038914917913,-0.9046446011920108,0.0,0.0319958150586183,0.0318839442315985,1.1829173288386614,-0.0089187390531434,0.0319630934342349,9.588928030270496e-05,1.598154671711749e-05,0.6079627416230478,-0.39203725837695225,-0.05144513766416223
2009-01,KODEX200,0.0091519219035998,0.0,0.0,-0.0011018214681891,0.0262636452946173,-0.041952343470577,0.0,0.0528867614444893,0.0528666493070874,1.2454542044216517,0.0,0.0057463249719667,1.7238974915900345e-05,2.8731624859833773e-06,0.6135267691546803,-0.3864732308453197,-0.05144513766416223
