asset,months,asset_cagr,asset_volatility,asset_sharpe,asset_mdd,asset_final_multiple,asset_cumulative_pnl,average_portfolio_weight,sum_portfolio_gross_contribution
KODEX200,228,0.09532833524550832,0.23909497407513652,0.39870488961240574,-0.4852124990496465,5.640818557994621,4.640818557994621,0.2759196932484715,0.7152708477175203
BOND,228,0.03224060789048466,0.03020502774498695,1.0673920965305372,-0.1045126919460978,1.8274178403755914,0.8274178403755914,0.3777615214894978,0.2560310034109709
GLD,228,0.12065959912410662,0.18882942303415148,0.6389872784935865,-0.3899486169991421,8.709647812334925,7.709647812334925,0.2920879072156231,0.7109390807975857
GSG,228,0.003950431842133728,0.23152530833072668,0.017062635055389536,-0.8694988830416763,1.0777875101154761,0.07778751011547613,0.0542308780464075,0.2094434767183092
