month,asset,feature,feature_name,regime_beta,standardized_regime_beta,regime_intercept,standardized_regime_intercept,feature_mean,feature_std,expected_return,predictive_std,training_observations,last_training_month,used_mean_fallback
2021-12,GLD,p_Slowdown,Slowdown,-0.00913412298531055,-0.0022540646934585615,0.00912680413386171,0.008153391228114266,0.5221987009951752,0.2467740687402104,0.014970780843702717,0.007742675172302355,185,2021-11,False
2021-12,GLD,p_Stagflation,Stagflation,0.02117037529646499,0.0028951093932944203,0.00912680413386171,0.008153391228114266,0.16286494834956058,0.13675286114449955,0.014970780843702717,0.007742675172302355,185,2021-11,False
2021-12,GSG,p_Overheating,Overheating,0.030699721172269483,0.003830162746991709,0.004776351134272687,-0.002450303946433841,0.10755517852394918,0.1247621346623639,0.006903307941443357,0.010491903737458884,185,2021-11,False
2021-12,GSG,p_Slowdown,Slowdown,-0.006711475421355428,-0.001656218096977797,0.004776351134272687,-0.002450303946433841,0.5221987009951752,0.2467740687402104,0.006903307941443357,0.010491903737458884,185,2021-11,False
2021-12,GSG,p_Stagflation,Stagflation,-0.04312680780248155,-0.00589771435901828,0.004776351134272687,-0.002450303946433841,0.16286494834956058,0.13675286114449955,0.006903307941443357,0.010491903737458884,185,2021-11,False
2022-01,KODEX200,p_Overheating,Overheating,-0.01822714624098748,-0.002313367486394379,0.007235711440395207,0.007240608457569199,0.10939109452918834,0.12691879769924144,-0.0018203599029519204,0.006672476276349215,186,2021-12,False
2022-01,KODEX200,p_Slowdown,Slowdown,0.005854707519005333,0.0014518452279678649,0.007235711440395207,0.007240608457569199,0.5199681950988858,0.2479791216307457,-0.0018203599029519204,0.006672476276349215,186,2021-12,False
2022-01,KODEX200,p_Stagflation,Stagflation,-0.006400114094550106,-0.0008739037178442419,0.007235711440395207,0.007240608457569199,0.1633529014365763,0.1365450216877224,-0.0018203599029519204,0.006672476276349215,186,2021-12,False
2022-01,BOND,p_Overheating,Overheating,-0.007125806907000735,-0.0009043988452734836,0.0029167808418052183,0.0032987874164714342,0.10939109452918834,0.12691879769924144,0.0031450385324230065,0.001255203491855233,186,2021-12,False
2022-01,BOND,p_Slowdown,Slowdown,-0.0011615296875874053,-0.00028803511167595924,0.0029167808418052183,0.0032987874164714342,0.5199681950988858,0.2479791216307457,0.0031450385324230065,0.001255203491855233,186,2021-12,False
2022-01,BOND,p_Stagflation,Stagflation,0.010807673884633976,0.0014757340649711771,0.0029167808418052183,0.0032987874164714342,0.1633529014365763,0.1365450216877224,0.0031450385324230065,0.001255203491855233,186,2021-12,False
2022-01,GLD,p_Overheating,Overheating,0.0032491207708692017,0.0004123745018183516,0.00910456030597162,0.008197282898133132,0.10939109452918834,0.12691879769924144,0.016111354532475083,0.0072246828743632915,186,2021-12,False
2022-01,GLD,p_Slowdown,Slowdown,-0.009125042693741054,-0.00226282007203696,0.00910456030597162,0.008197282898133132,0.5199681950988858,0.2479791216307457,0.016111354532475083,0.0072246828743632915,186,2021-12,False
2022-01,GLD,p_Stagflation,Stagflation,0.021315995392927622,0.0029105930532226927,0.00910456030597162,0.008197282898133132,0.1633529014365763,0.1365450216877224,0.016111354532475083,0.0072246828743632915,186,2021-12,False
2022-01,GSG,p_Overheating,Overheating,0.035992319612425584,0.004568101931615883,0.005389143885966637,-0.0021105681194992162,0.10939109452918834,0.12691879769924144,0.005322074472923528,0.009906944052121199,186,2021-12,False
2022-01,GSG,p_Slowdown,Slowdown,-0.0074415441391306476,-0.0018453475791980417,0.005389143885966637,-0.0021105681194992162,0.5199681950988858,0.2479791216307457,0.005322074472923528,0.009906944052121199,186,2021-12,False
2022-01,GSG,p_Stagflation,Stagflation,-0.046326602718343574,-0.006325666972894723,0.005389143885966637,-0.0021105681194992162,0.1633529014365763,0.1365450216877224,0.005322074472923528,0.009906944052121199,186,2021-12,False
2022-02,KODEX200,p_Overheating,Overheating,-0.02340064539974092,-0.0030102918647597066,0.0071949209646682555,0.006783581868972693,0.11106957369205772,0.1286414034030461,-0.004054071970363005,0.00675399707405204,187,2022-01,False
2022-02,KODEX200,p_Slowdown,Slowdown,0.0066515734512853815,0.0016569209292692962,0.0071949209646682555,0.006783581868972693,0.5177880421332348,0.24910210214232917,-0.004054071970363005,0.00675399707405204,187,2022-01,False
2022-02,KODEX200,p_Stagflation,Stagflation,-0.007653675213889373,-0.0010455849099919189,0.0071949209646682555,0.006783581868972693,0.1641491892932508,0.1366121347943354,-0.004054071970363005,0.00675399707405204,187,2022-01,False
2022-02,BOND,p_Overheating,Overheating,-0.009420669667680896,-0.0012118881670469786,0.003430074952989472,0.00320779007658083,0.11106957369205772,0.1286414034030461,0.0023210381850991557,0.0012156017288615637,187,2022-01,False
2022-02,BOND,p_Slowdown,Slowdown,-0.0017071197420304915,-0.00042524711634846614,0.003430074952989472,0.00320779007658083,0.5177880421332348,0.24910210214232917,0.0023210381850991557,0.0012156017288615637,187,2022-01,False
