老磊,辆格内靛,辆格疙,辆啊,措厚,矫啊,绊啊,历啊,郴犁函悼己,劳老扁霖啊,芭贰樊,芭贰措陛,固搬力距沥
"2003/12/30 (林埃)","20141085","KOSPI 200 妮可记 0401  85.0","20.40","2.45","19.15","20.40","19.15","64.00","20.40","13","25790000","7518"
"2003/12/30 (林埃)","20141087","KOSPI 200 妮可记 0401  87.5","17.90","2.75","16.55","18.10","16.55","64.00","17.90","56","96020000","663"
"2003/12/30 (林埃)","20141090","KOSPI 200 妮可记 0401  90.0","15.45","2.85","14.35","15.50","14.25","48.00","15.45","132","193720000","3787"
"2003/12/30 (林埃)","20141092","KOSPI 200 妮可记 0401  92.5","12.75","2.85","11.80","13.05","11.55","3.00","12.75","88","109410000","2730"
"2003/12/30 (林埃)","20141095","KOSPI 200 妮可记 0401  95.0","10.30","2.10","9.10","10.55","9.05","16.00","10.30","842","820270000","8236"
"2003/12/30 (林埃)","20141097","KOSPI 200 妮可记 0401  97.5","7.75","1.80","7.10","8.20","6.60","3.00","7.75","5223","3783695000","14171"
"2003/12/30 (林埃)","20141100","KOSPI 200 妮可记 0401 100.0","5.65","1.80","4.80","5.80","4.30","28.00","5.65","18977","9377025000","18845"
"2003/12/30 (林埃)","20141102","KOSPI 200 妮可记 0401 102.5","3.40","1.45","2.60","3.60","2.41","23.50","3.40","124770","35090165000","77450"
"2003/12/30 (林埃)","20141105","KOSPI 200 妮可记 0401 105.0","1.59","0.72","1.20","1.82","1.08","20.30","1.59","1273234","177582642000","152096"
"2003/12/30 (林埃)","20141107","KOSPI 200 妮可记 0401 107.5","0.55","0.27","0.41","0.67","0.36","19.50","0.55","2685183","133289841000","249800"
"2003/12/30 (林埃)","20141110","KOSPI 200 妮可记 0401 110.0","0.14","0.06","0.12","0.19","0.09","19.30","0.14","1389829","18137178000","315680"
"2003/12/30 (林埃)","20141112","KOSPI 200 妮可记 0401 112.5","0.03","0.01","0.03","0.05","0.02","19.90","0.03","589456","1912773000","241529"
"2003/12/30 (林埃)","20141115","KOSPI 200 妮可记 0401 115.0","0.01","0.00","0.01","0.02","0.01","22.20","0.01","113694","121555000","245061"
"2003/12/30 (林埃)","20141117","KOSPI 200 妮可记 0401 117.5","0.01","0.00","0.01","0.01","0.01","26.80","0.01","2045","2045000","116033"
"2003/12/30 (林埃)","30141085","KOSPI 200 遣可记 0401  85.0","0.01","0.00","0.01","0.01","0.01","49.70","0.01","194","194000","130103"
"2003/12/30 (林埃)","30141087","KOSPI 200 遣可记 0401  87.5","0.01","0.00","0.01","0.01","0.01","43.40","0.01","4203","4203000","86080"
"2003/12/30 (林埃)","30141090","KOSPI 200 遣可记 0401  90.0","0.01","0.00","0.01","0.01","0.01","37.40","0.01","61588","61588000","137894"
"2003/12/30 (林埃)","30141092","KOSPI 200 遣可记 0401  92.5","0.01","-0.01","0.02","0.02","0.01","31.70","0.01","84305","101246000","177834"
"2003/12/30 (林埃)","30141095","KOSPI 200 遣可记 0401  95.0","0.03","-0.03","0.03","0.04","0.02","29.60","0.03","263928","810689000","187416"
"2003/12/30 (林埃)","30141097","KOSPI 200 遣可记 0401  97.5","0.07","-0.15","0.10","0.11","0.05","26.50","0.07","634337","5051339000","222828"
"2003/12/30 (林埃)","30141100","KOSPI 200 遣可记 0401 100.0","0.17","-0.47","0.38","0.39","0.14","23.80","0.17","1153381","27702079000","184350"
"2003/12/30 (林埃)","30141102","KOSPI 200 遣可记 0401 102.5","0.40","-1.11","1.00","1.00","0.40","20.10","0.40","1074255","67672232000","142676"
"2003/12/30 (林埃)","30141105","KOSPI 200 遣可记 0401 105.0","1.17","-1.81","2.19","2.19","1.14","19.10","1.17","318649","47448976000","52643"
"2003/12/30 (林埃)","30141107","KOSPI 200 遣可记 0401 107.5","2.70","-1.95","4.00","4.00","2.50","19.50","2.70","24548","7449617000","22045"
"2003/12/30 (林埃)","30141110","KOSPI 200 遣可记 0401 110.0","4.75","-2.30","6.00","6.00","4.50","18.00","4.75","6275","3382635000","9145"
"2003/12/30 (林埃)","30141112","KOSPI 200 遣可记 0401 112.5","7.25","-2.05","8.20","8.40","6.90","24.00","7.25","936","739505000","3379"
"2003/12/30 (林埃)","30141115","KOSPI 200 遣可记 0401 115.0","9.70","-2.20","10.80","10.85","9.35","16.00","9.70","513","534320000","15290"
"2003/12/30 (林埃)","30141117","KOSPI 200 遣可记 0401 117.5","12.10","-2.25","13.25","13.25","12.10","16.00","12.10","178","233600000","678"
"2003/12/29 (林埃)","20141085","KOSPI 200 妮可记 0401  85.0","17.95","2.15","16.65","18.05","16.55","32.00","17.95","16","28385000","7522"
"2003/12/29 (林埃)","20141087","KOSPI 200 妮可记 0401  87.5","15.15","1.65","14.85","15.60","14.85","48.00","15.15","142","213650000","685"
"2003/12/29 (林埃)","20141090","KOSPI 200 妮可记 0401  90.0","12.60","1.75","10.80","13.10","10.80","32.00","12.60","64","78900000","3810"
"2003/12/29 (林埃)","20141092","KOSPI 200 妮可记 0401  92.5","9.90","1.40","9.35","10.65","9.35","16.00","9.90","98","101480000","2730"
"2003/12/29 (林埃)","20141095","KOSPI 200 妮可记 0401  95.0","8.20","2.10","6.35","8.30","6.35","36.00","8.20","917","709385000","8526"
"2003/12/29 (林埃)","20141097","KOSPI 200 妮可记 0401  97.5","5.95","1.85","4.10","5.95","4.10","33.00","5.95","4604","2501750000","15654"
"2003/12/29 (林埃)","20141100","KOSPI 200 妮可记 0401 100.0","3.85","1.45","2.75","3.85","2.49","29.50","3.85","25012","8192079000","23997"
"2003/12/29 (林埃)","20141102","KOSPI 200 妮可记 0401 102.5","1.95","0.69","1.32","2.19","1.28","24.30","1.95","540195","101022893000","94143"
"2003/12/29 (林埃)","20141105","KOSPI 200 妮可记 0401 105.0","0.87","0.30","0.57","1.03","0.55","23.80","0.87","1605332","137966544000","196295"
"2003/12/29 (林埃)","20141107","KOSPI 200 妮可记 0401 107.5","0.28","0.07","0.20","0.39","0.20","22.60","0.28","1918502","58853197000","314298"
"2003/12/29 (林埃)","20141110","KOSPI 200 妮可记 0401 110.0","0.08","0.01","0.07","0.12","0.06","22.80","0.08","830437","7618544000","252144"
"2003/12/29 (林埃)","20141112","KOSPI 200 妮可记 0401 112.5","0.02","0.00","0.02","0.04","0.01","23.30","0.02","409386","1115115000","185204"
"2003/12/29 (林埃)","20141115","KOSPI 200 妮可记 0401 115.0","0.01","0.00","0.01","0.02","0.01","25.90","0.01","80155","80646000","216610"
"2003/12/29 (林埃)","20141117","KOSPI 200 妮可记 0401 117.5","0.01","0.00","0.01","0.01","0.01","30.20","0.01","2133","2133000","114029"
