老磊,辆格内靛,辆格疙,辆啊,措厚,矫啊,绊啊,历啊,郴犁函悼己,劳老扁霖啊,芭贰樊,芭贰措陛,固搬力距沥
"2001/12/28 (林埃)","20121052","KOSPI 200 妮可记 0201  52.5","34.30","3.45","32.95","34.40","32.95","3.00","34.30","6","20210000","3148"
"2001/12/28 (林埃)","20121055","KOSPI 200 妮可记 0201  55.0","31.85","3.50","30.35","31.85","30.35","3.00","31.85","25","77285000","1486"
"2001/12/28 (林埃)","20121057","KOSPI 200 妮可记 0201  57.5","29.35","4.15","27.90","32.00","27.90","3.00","29.35","12","34035000","108"
"2001/12/28 (林埃)","20121060","KOSPI 200 妮可记 0201  60.0","26.85","5.45","25.10","26.85","25.10","3.00","26.85","2","5195000","585"
"2001/12/28 (林埃)","20121062","KOSPI 200 妮可记 0201  62.5","24.35","4.25","22.95","24.35","22.95","3.00","24.35","11","25385000","274"
"2001/12/28 (林埃)","20121065","KOSPI 200 妮可记 0201  65.0","21.90","3.85","21.90","21.90","21.90","3.00","21.90","1","2190000","1949"
"2001/12/28 (林埃)","20121067","KOSPI 200 妮可记 0201  67.5","18.90","3.60","18.00","19.40","18.00","3.00","18.90","21","38730000","1335"
"2001/12/28 (林埃)","20121070","KOSPI 200 妮可记 0201  70.0","16.45","3.30","14.40","17.00","14.40","3.00","16.45","4042","6303080000","7761"
"2001/12/28 (林埃)","20121072","KOSPI 200 妮可记 0201  72.5","14.45","3.70","11.00","14.70","11.00","3.00","14.45","10","13005000","3373"
"2001/12/28 (林埃)","20121075","KOSPI 200 妮可记 0201  75.0","12.05","3.35","9.05","12.05","9.05","16.00","12.05","142","163805000","10794"
"2001/12/28 (林埃)","20121077","KOSPI 200 妮可记 0201  77.5","9.80","2.90","7.30","11.50","7.30","40.00","9.80","2195","2002490000","22220"
"2001/12/28 (林埃)","20121080","KOSPI 200 妮可记 0201  80.0","7.40","2.60","5.20","8.00","5.20","34.00","7.40","15494","10788055000","47809"
"2001/12/28 (林埃)","20121082","KOSPI 200 妮可记 0201  82.5","5.45","2.05","3.90","6.05","3.90","38.00","5.45","20679","10549490000","50984"
"2001/12/28 (林埃)","20121085","KOSPI 200 妮可记 0201  85.0","3.55","1.25","2.61","4.40","2.61","34.50","3.55","82802","29449169000","70075"
"2001/12/28 (林埃)","20121087","KOSPI 200 妮可记 0201  87.5","2.61","1.11","1.80","3.00","1.80","41.00","2.61","164479","40648039000","93675"
"2001/12/28 (林埃)","20121090","KOSPI 200 妮可记 0201  90.0","1.70","0.82","1.05","2.04","1.05","42.30","1.70","484830","79289417000","244772"
"2001/12/28 (林埃)","20121092","KOSPI 200 妮可记 0201  92.5","1.12","0.56","0.70","1.30","0.66","44.30","1.12","548413","57008293000","150146"
"2001/12/28 (林埃)","20121095","KOSPI 200 妮可记 0201  95.0","0.62","0.31","0.40","0.83","0.38","43.50","0.62","1357367","87414286000","241938"
"2001/12/28 (林埃)","20121097","KOSPI 200 妮可记 0201  97.5","0.40","0.23","0.21","0.48","0.21","45.60","0.40","1515426","56687873000","402058"
"2001/12/28 (林埃)","30121052","KOSPI 200 遣可记 0201  52.5","0.01","0.00","0.01","0.01","0.01","94.80","0.01","16","16000","31646"
"2001/12/28 (林埃)","30121055","KOSPI 200 遣可记 0201  55.0","0.01","0.00","0.01","0.01","0.01","85.60","0.01","5","5000","25150"
"2001/12/28 (林埃)","30121057","KOSPI 200 遣可记 0201  57.5","0.01","0.00","0.01","0.01","0.01","78.60","0.01","580","580000","25581"
"2001/12/28 (林埃)","30121060","KOSPI 200 遣可记 0201  60.0","0.01","0.00","0.01","0.02","0.01","70.90","0.01","5884","6025000","40031"
"2001/12/28 (林埃)","30121062","KOSPI 200 遣可记 0201  62.5","0.01","-0.01","0.02","0.02","0.01","63.70","0.01","17517","29480000","42315"
