일자,종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일기준가,거래량,거래대금,미결제약정
"2009/12/30 (주간)","201E1185","코스피200 C 201001 185.0","37.15","1.35","34.70","37.15","34.70","56.00","37.15","36","132225000","4051"
"2009/12/30 (주간)","201E1187","코스피200 C 201001 187.5",,"0.85","0.00","0.00","0.00","16.90","34.35","0","0","298"
"2009/12/30 (주간)","201E1190","코스피200 C 201001 190.0","31.10","0.30","30.65","31.10","30.55","48.00","31.10","3","9230000","965"
"2009/12/30 (주간)","201E1192","코스피200 C 201001 192.5","29.25","0.75","27.95","29.25","27.95","48.00","29.25","8","22730000","285"
"2009/12/30 (주간)","201E1195","코스피200 C 201001 195.0","27.35","2.35","25.00","27.35","25.00","44.00","27.35","17","44395000","2643"
"2009/12/30 (주간)","201E1197","코스피200 C 201001 197.5",,"1.35","0.00","0.00","0.00","16.90","24.10","0","0","1222"
"2009/12/30 (주간)","201E1200","코스피200 C 201001 200.0","21.65","1.35","20.65","22.35","20.00","3.00","21.65","187","389305000","2628"
"2009/12/30 (주간)","201E1202","코스피200 C 201001 202.5","19.70","1.70","18.80","19.80","18.80","16.00","19.70","275","528205000","3804"
"2009/12/30 (주간)","201E1205","코스피200 C 201001 205.0","16.80","1.15","15.70","17.25","15.00","3.00","16.80","358","551485000","9100"
"2009/12/30 (주간)","201E1207","코스피200 C 201001 207.5","14.35","0.50","13.40","15.15","12.45","3.00","14.35","265","350410000","6600"
"2009/12/30 (주간)","201E1210","코스피200 C 201001 210.0","12.35","0.70","11.30","12.85","10.40","18.00","12.35","938","1082190000","19490"
"2009/12/30 (주간)","201E1212","코스피200 C 201001 212.5","10.10","0.70","9.35","10.60","8.10","18.00","10.10","2028","1848900000","17310"
"2009/12/30 (주간)","201E1215","코스피200 C 201001 215.0","7.80","0.30","7.00","8.50","6.20","16.00","7.80","48239","33771910000","46889"
"2009/12/30 (주간)","201E1217","코스피200 C 201001 217.5","5.90","0.35","5.35","6.60","4.55","16.50","5.90","35704","19173950000","35178"
"2009/12/30 (주간)","201E1220","코스피200 C 201001 220.0","4.50","0.50","3.75","4.90","3.15","18.00","4.50","129863","51661295000","79935"
"2009/12/30 (주간)","201E1222","코스피200 C 201001 222.5","2.90","0.19","2.47","3.45","2.12","16.50","2.90","425383","109458521000","65991"
"2009/12/30 (주간)","201E1225","코스피200 C 201001 225.0","1.93","0.13","1.60","2.32","1.35","16.90","1.93","830381","148712294000","128530"
"2009/12/30 (주간)","201E1227","코스피200 C 201001 227.5","1.22","0.13","0.95","1.48","0.81","17.20","1.22","957477","104180259000","123158"
"2009/12/30 (주간)","201E1230","코스피200 C 201001 230.0","0.66","0.06","0.55","0.89","0.46","16.80","0.66","1177727","73262085000","135038"
"2009/12/30 (주간)","201E1232","코스피200 C 201001 232.5","0.38","0.02","0.33","0.52","0.25","17.10","0.38","639486","22796253000","148876"
"2009/12/30 (주간)","201E1235","코스피200 C 201001 235.0","0.20","0.03","0.15","0.30","0.14","17.20","0.20","539274","10471047000","228932"
"2009/12/30 (주간)","201E1237","코스피200 C 201001 237.5","0.10","0.00","0.08","0.16","0.07","17.30","0.10","450017","4725163000","114304"
"2009/12/30 (주간)","301E1185","코스피200 P 201001 185.0","0.02","0.00","0.02","0.04","0.02","33.70","0.02","77064","209548000","242406"
"2009/12/30 (주간)","301E1187","코스피200 P 201001 187.5","0.03","0.00","0.03","0.04","0.02","33.20","0.03","60928","192516000","85543"
"2009/12/30 (주간)","301E1190","코스피200 P 201001 190.0","0.03","-0.02","0.04","0.06","0.03","30.80","0.03","96979","415767000","87059"
"2009/12/30 (주간)","301E1192","코스피200 P 201001 192.5","0.04","-0.01","0.05","0.07","0.04","29.30","0.04","35731","188667000","44494"
"2009/12/30 (주간)","301E1195","코스피200 P 201001 195.0","0.06","-0.03","0.07","0.09","0.05","28.60","0.06","118039","794517000","97334"
"2009/12/30 (주간)","301E1197","코스피200 P 201001 197.5","0.08","0.00","0.09","0.11","0.07","27.10","0.08","76990","693759000","48013"
"2009/12/30 (주간)","301E1200","코스피200 P 201001 200.0","0.10","-0.04","0.14","0.16","0.10","25.40","0.10","196414","2455978000","201964"
"2009/12/30 (주간)","301E1202","코스피200 P 201001 202.5","0.16","0.00","0.18","0.22","0.13","24.70","0.16","183460","2942251000","121428"
"2009/12/30 (주간)","301E1205","코스피200 P 201001 205.0","0.21","-0.02","0.24","0.33","0.19","23.30","0.21","269471","6380099000","168654"
"2009/12/30 (주간)","301E1207","코스피200 P 201001 207.5","0.33","-0.06","0.38","0.49","0.28","22.40","0.33","305733","11218178000","68411"
"2009/12/30 (주간)","301E1210","코스피200 P 201001 210.0","0.43","-0.09","0.57","0.74","0.42","20.80","0.43","679445","38028966000","119143"
"2009/12/30 (주간)","301E1212","코스피200 P 201001 212.5","0.70","-0.14","0.90","1.15","0.65","20.40","0.70","576670","50025895000","113000"
"2009/12/30 (주간)","301E1215","코스피200 P 201001 215.0","1.13","-0.13","1.35","1.74","1.02","20.00","1.13","619809","82997688000","68963"
"2009/12/30 (주간)","301E1217","코스피200 P 201001 217.5","1.72","-0.26","2.13","2.59","1.58","19.40","1.72","486164","97647062000","48167"
"2009/12/30 (주간)","301E1220","코스피200 P 201001 220.0","2.65","-0.22","3.05","3.70","2.38","19.60","2.65","198106","54067709000","37598"
"2009/12/30 (주간)","301E1222","코스피200 P 201001 222.5","3.75","-0.20","4.05","5.15","3.45","19.30","3.75","41484","16767040000","24694"
"2009/12/30 (주간)","301E1225","코스피200 P 201001 225.0","5.25","-0.45","6.00","6.85","4.90","19.50","5.25","20370","11560280000","11744"
"2009/12/30 (주간)","301E1227","코스피200 P 201001 227.5","7.05","-0.25","7.35","8.65","6.50","20.00","7.05","2154","1593880000","2597"
"2009/12/30 (주간)","301E1230","코스피200 P 201001 230.0","8.70","-0.75","9.60","10.90","8.50","18.00","8.70","768","713965000","5886"
"2009/12/30 (주간)","301E1232","코스피200 P 201001 232.5","10.95","-0.40","11.85","12.55","10.60","19.00","10.95","2323","2575475000","4251"
"2009/12/30 (주간)","301E1235","코스피200 P 201001 235.0","13.15","-0.80","14.00","15.60","12.90","18.00","13.15","2703","4093285000","7022"
"2009/12/30 (주간)","301E1237","코스피200 P 201001 237.5","16.15","-0.10","16.75","17.75","15.90","3.00","16.15","38","64675000","111"
"2009/12/29 (주간)","201E1185","코스피200 C 201001 185.0","35.80","0.40","36.15","36.25","35.40","48.00","35.80","10","35880000","4049"
"2009/12/29 (주간)","201E1187","코스피200 C 201001 187.5",,"0.10","0.00","0.00","0.00","18.60","33.50","0","0","298"
"2009/12/29 (주간)","201E1190","코스피200 C 201001 190.0","30.80","-0.20","30.55","30.80","30.50","44.00","30.80","6","18400000","966"
"2009/12/29 (주간)","201E1192","코스피200 C 201001 192.5",,"0.40","0.00","0.00","0.00","18.60","28.50","0","0","285"
"2009/12/29 (주간)","201E1195","코스피200 C 201001 195.0","25.00","-0.95","26.35","26.35","25.00","16.00","25.00","4","10255000","2650"
"2009/12/29 (주간)","201E1197","코스피200 C 201001 197.5","22.75","-0.25","22.75","22.75","22.75","24.00","22.75","1","2275000","1222"
"2009/12/29 (주간)","201E1200","코스피200 C 201001 200.0","20.30","-0.50","20.50","21.70","20.25","24.00","20.30","31","64450000","2549"
"2009/12/29 (주간)","201E1202","코스피200 C 201001 202.5","18.00","-0.15","19.30","19.30","18.00","28.00","18.00","183","347325000","3872"
"2009/12/29 (주간)","201E1205","코스피200 C 201001 205.0","15.65","-0.10","15.55","16.85","14.50","28.00","15.65","922","1535725000","9244"
"2009/12/29 (주간)","201E1207","코스피200 C 201001 207.5","13.85","0.25","13.45","14.50","12.35","25.00","13.85","226","308215000","6603"
"2009/12/29 (주간)","201E1210","코스피200 C 201001 210.0","11.65","0.45","11.05","12.30","10.00","24.00","11.65","541","609485000","19646"
"2009/12/29 (주간)","201E1212","코스피200 C 201001 212.5","9.40","0.15","9.25","10.10","7.90","22.00","9.40","956","880745000","17737"
"2009/12/29 (주간)","201E1215","코스피200 C 201001 215.0","7.50","0.35","6.70","8.05","6.05","21.80","7.50","8909","6356110000","66145"
"2009/12/29 (주간)","201E1217","코스피200 C 201001 217.5","5.55","0.10","5.35","6.15","4.40","20.00","5.55","34116","18382420000","40242"
"2009/12/29 (주간)","201E1220","코스피200 C 201001 220.0","4.00","0.20","3.80","4.50","3.10","19.30","4.00","91941","35538305000","61699"
"2009/12/29 (주간)","201E1222","코스피200 C 201001 222.5","2.71","-0.04","2.75","3.20","2.07","18.60","2.71","355135","93416678000","75112"
"2009/12/29 (주간)","201E1225","코스피200 C 201001 225.0","1.80","0.04","1.76","2.11","1.32","18.50","1.80","698090","122984917000","111614"
"2009/12/29 (주간)","201E1227","코스피200 C 201001 227.5","1.09","-0.02","1.09","1.33","0.78","18.10","1.09","735835","79192509000","144643"
"2009/12/29 (주간)","201E1230","코스피200 C 201001 230.0","0.60","-0.04","0.60","0.80","0.45","17.60","0.60","921175","58910344000","155494"
"2009/12/29 (주간)","201E1232","코스피200 C 201001 232.5","0.36","0.00","0.34","0.46","0.25","18.00","0.36","545802","19467670000","137587"
