老磊,辆格内靛,辆格疙,辆啊,措厚,矫啊,绊啊,历啊,郴犁函悼己,劳老扁霖啊,芭贰樊,芭贰措陛,固搬力距沥
"2005/12/29 (林埃)","201A1137","KOSPI 200 妮可记 0601 137.5","39.60","0.75","40.05","40.05","39.60","3.00","39.60","25","99985000","2592"
"2005/12/29 (林埃)","201A1140","KOSPI 200 妮可记 0601 140.0","37.50","1.30","37.10","37.60","37.10","3.00","37.50","6","22380000","1560"
"2005/12/29 (林埃)","201A1142","KOSPI 200 妮可记 0601 142.5","35.00","1.50","35.05","35.05","35.00","3.00","35.00","51","178750000","536"
"2005/12/29 (林埃)","201A1145","KOSPI 200 妮可记 0601 145.0","32.55","1.55","32.20","32.55","32.20","32.00","32.55","2","6475000","177"
"2005/12/29 (林埃)","201A1147","KOSPI 200 妮可记 0601 147.5","30.05","1.55","30.05","30.05","30.05","3.00","30.05","1","3005000","620"
"2005/12/29 (林埃)","201A1150","KOSPI 200 妮可记 0601 150.0","27.25","0.95","27.70","27.95","27.25","3.00","27.25","10","27570000","1974"
"2005/12/29 (林埃)","201A1152","KOSPI 200 妮可记 0601 152.5","25.05","1.55","25.05","25.05","25.05","3.00","25.05","1","2505000","1250"
"2005/12/29 (林埃)","201A1155","KOSPI 200 妮可记 0601 155.0","22.60","1.65","22.85","22.85","22.60","3.00","22.60","13","29475000","3227"
"2005/12/29 (林埃)","201A1157","KOSPI 200 妮可记 0601 157.5","19.65","0.80","20.25","20.45","19.65","3.00","19.65","5","10085000","3336"
"2005/12/29 (林埃)","201A1160","KOSPI 200 妮可记 0601 160.0","17.15","1.05","17.00","18.80","17.00","3.00","17.15","570","1013495000","6487"
"2005/12/29 (林埃)","201A1162","KOSPI 200 妮可记 0601 162.5","14.70","1.05","14.45","15.65","14.30","3.00","14.70","64","96690000","9899"
"2005/12/29 (林埃)","201A1165","KOSPI 200 妮可记 0601 165.0","12.25","0.95","11.50","13.15","11.50","3.00","12.25","585","741265000","17120"
"2005/12/29 (林埃)","201A1167","KOSPI 200 妮可记 0601 167.5","9.80","0.85","9.30","10.90","9.30","3.00","9.80","580","576620000","29087"
"2005/12/29 (林埃)","201A1170","KOSPI 200 妮可记 0601 170.0","7.65","0.85","7.00","8.60","6.90","3.00","7.65","3117","2412405000","49467"
"2005/12/29 (林埃)","201A1172","KOSPI 200 妮可记 0601 172.5","5.50","0.80","4.85","6.40","4.85","13.00","5.50","11390","6523520000","67032"
"2005/12/29 (林埃)","201A1175","KOSPI 200 妮可记 0601 175.0","3.80","0.75","3.10","4.45","3.10","15.30","3.80","32088","12175970000","80925"
"2005/12/29 (林埃)","201A1177","KOSPI 200 妮可记 0601 177.5","2.29","0.52","1.84","2.86","1.81","15.10","2.29","287970","67615672000","105829"
"2005/12/29 (林埃)","201A1180","KOSPI 200 妮可记 0601 180.0","1.27","0.42","0.90","1.65","0.88","15.40","1.27","959828","123849193000","162612"
"2005/12/29 (林埃)","201A1182","KOSPI 200 妮可记 0601 182.5","0.62","0.22","0.42","0.87","0.41","15.40","0.62","1287205","84359308000","195063"
"2005/12/29 (林埃)","201A1185","KOSPI 200 妮可记 0601 185.0","0.32","0.13","0.20","0.42","0.18","16.30","0.32","915315","28188357000","200358"
"2005/12/29 (林埃)","201A1187","KOSPI 200 妮可记 0601 187.5","0.16","0.09","0.08","0.20","0.08","17.10","0.16","762837","11146371000","239210"
"2005/12/29 (林埃)","301A1137","KOSPI 200 遣可记 0601 137.5","0.01","0.00","0.01","0.01","0.01","45.40","0.01","11367","11367000","116635"
"2005/12/29 (林埃)","301A1140","KOSPI 200 遣可记 0601 140.0","0.01","0.00","0.01","0.01","0.01","42.60","0.01","19374","19374000","40878"
"2005/12/29 (林埃)","301A1142","KOSPI 200 遣可记 0601 142.5","0.01","0.00","0.01","0.02","0.01","39.80","0.01","86788","86789000","49964"
"2005/12/29 (林埃)","301A1145","KOSPI 200 遣可记 0601 145.0","0.02","0.01","0.01","0.02","0.01","39.30","0.02","29181","31699000","92384"
"2005/12/29 (林埃)","301A1147","KOSPI 200 遣可记 0601 147.5","0.02","0.00","0.02","0.02","0.01","36.30","0.02","60524","119455000","134575"
"2005/12/29 (林埃)","301A1150","KOSPI 200 遣可记 0601 150.0","0.02","-0.01","0.02","0.03","0.02","33.40","0.02","35567","86537000","126301"
"2005/12/29 (林埃)","301A1152","KOSPI 200 遣可记 0601 152.5","0.04","0.00","0.03","0.04","0.03","32.90","0.04","119254","361955000","111686"
"2005/12/29 (林埃)","301A1155","KOSPI 200 遣可记 0601 155.0","0.05","0.00","0.04","0.05","0.04","31.10","0.05","46611","210561000","134645"
"2005/12/29 (林埃)","301A1157","KOSPI 200 遣可记 0601 157.5","0.05","-0.02","0.07","0.07","0.05","27.80","0.05","107404","621630000","107852"
"2005/12/29 (林埃)","301A1160","KOSPI 200 遣可记 0601 160.0","0.08","0.00","0.08","0.09","0.07","26.30","0.08","156273","1248116000","151086"
"2005/12/29 (林埃)","301A1162","KOSPI 200 遣可记 0601 162.5","0.12","-0.03","0.12","0.14","0.10","24.60","0.12","187916","2155469000","111857"
"2005/12/29 (林埃)","301A1165","KOSPI 200 遣可记 0601 165.0","0.16","-0.05","0.20","0.21","0.15","22.40","0.16","312911","5671827000","146390"
"2005/12/29 (林埃)","301A1167","KOSPI 200 遣可记 0601 167.5","0.29","-0.11","0.41","0.41","0.26","21.40","0.29","355653","10503991000","149282"
"2005/12/29 (林埃)","301A1170","KOSPI 200 遣可记 0601 170.0","0.44","-0.27","0.68","0.68","0.44","19.40","0.44","654798","33698183000","127333"
"2005/12/29 (林埃)","301A1172","KOSPI 200 遣可记 0601 172.5","0.83","-0.37","1.15","1.15","0.79","18.90","0.83","465061","41274569000","106921"
"2005/12/29 (林埃)","301A1175","KOSPI 200 遣可记 0601 175.0","1.61","-0.44","1.83","1.93","1.35","19.40","1.61","189069","28629330000","46812"
"2005/12/29 (林埃)","301A1177","KOSPI 200 遣可记 0601 177.5","2.71","-0.49","3.00","3.05","2.23","19.50","2.71","60710","15223652000","25212"
"2005/12/29 (林埃)","301A1180","KOSPI 200 遣可记 0601 180.0","4.15","-0.65","4.70","4.70","3.50","20.00","4.15","15176","5933175000","12686"
"2005/12/29 (林埃)","301A1182","KOSPI 200 遣可记 0601 182.5","6.00","-0.80","6.60","6.60","5.25","21.00","6.00","2167","1237490000","5310"
"2005/12/29 (林埃)","301A1185","KOSPI 200 遣可记 0601 185.0","8.15","-1.00","8.60","8.60","7.30","23.00","8.15","341","267385000","2044"
