일자,종목코드,종목명,종가,대비,시가,고가,저가,내재변동성,익일기준가,거래량,거래대금,미결제약정
"2016/12/29 (주간)","201M1217","코스피200 C 201701 217.5","42.15","-0.20","41.10","42.15","41.10","3.00","42.15","6","125075000","1167"
"2016/12/29 (주간)","201M1220","코스피200 C 201701 220.0","39.60","-0.25","38.90","39.60","38.90","3.00","39.60","4","78700000","165"
"2016/12/29 (주간)","201M1222","코스피200 C 201701 222.5",,"0.00","0.00","0.00","0.00","7.00","37.60","0","0","3"
"2016/12/29 (주간)","201M1225","코스피200 C 201701 225.0",,"0.00","0.00","0.00","0.00","7.00","35.10","0","0","5"
"2016/12/29 (주간)","201M1227","코스피200 C 201701 227.5",,"0.00","0.00","0.00","0.00","7.00","32.60","0","0","4"
"2016/12/29 (주간)","201M1230","코스피200 C 201701 230.0",,"0.00","0.00","0.00","0.00","7.00","30.10","0","0","6"
"2016/12/29 (주간)","201M1232","코스피200 C 201701 232.5",,"0.00","0.00","0.00","0.00","7.00","27.60","0","0","4"
"2016/12/29 (주간)","201M1235","코스피200 C 201701 235.0",,"0.00","0.00","0.00","0.00","7.00","25.10","0","0","14"
"2016/12/29 (주간)","201M1237","코스피200 C 201701 237.5",,"0.00","0.00","0.00","0.00","7.00","22.60","0","0","20"
"2016/12/29 (주간)","201M1240","코스피200 C 201701 240.0",,"0.00","0.00","0.00","0.00","7.00","20.10","0","0","301"
"2016/12/29 (주간)","201M1242","코스피200 C 201701 242.5","17.05","-0.45","16.65","17.05","16.65","3.00","17.05","8","67200000","107"
"2016/12/29 (주간)","201M1245","코스피200 C 201701 245.0","14.75","0.10","14.65","14.75","14.60","3.00","14.75","5","36600000","241"
"2016/12/29 (주간)","201M1247","코스피200 C 201701 247.5","12.05","-0.25","12.10","12.10","12.05","3.00","12.05","3","18125000","235"
"2016/12/29 (주간)","201M1250","코스피200 C 201701 250.0","9.80","-0.05","9.70","9.95","9.01","3.00","9.80","37","173310000","1038"
"2016/12/29 (주간)","201M1252","코스피200 C 201701 252.5","7.33","-0.02","7.12","7.60","6.78","3.00","7.33","151","536590000","2385"
"2016/12/29 (주간)","201M1255","코스피200 C 201701 255.0","5.15","-0.23","4.98","5.40","4.55","4.00","5.15","472","1186095000","5706"
"2016/12/29 (주간)","201M1257","코스피200 C 201701 257.5","3.23","-0.19","3.03","3.45","2.74","7.00","3.23","15188","23076275000","12048"
"2016/12/29 (주간)","201M1260","코스피200 C 201701 260.0","1.74","-0.06","1.60","1.88","1.40","7.00","1.74","56196","45534080000","21616"
"2016/12/29 (주간)","201M1262","코스피200 C 201701 262.5","0.78","-0.07","0.69","0.86","0.62","8.00","0.78","68945","25142315000","25727"
"2016/12/29 (주간)","201M1265","코스피200 C 201701 265.0","0.29","-0.06","0.26","0.33","0.24","8.00","0.29","56670","8032235000","27852"
"2016/12/29 (주간)","201M1267","코스피200 C 201701 267.5","0.09","-0.04","0.09","0.12","0.09","8.00","0.09","28009","1424295000","34592"
"2016/12/29 (주간)","201M1270","코스피200 C 201701 270.0","0.03","-0.01","0.03","0.04","0.03","8.00","0.03","9132","164605000","40036"
"2016/12/29 (주간)","201M1272","코스피200 C 201701 272.5","0.02","-0.01","0.02","0.02","0.01","10.00","0.02","3425","34315000","34559"
"2016/12/29 (주간)","201M1275","코스피200 C 201701 275.0","0.01","0.00","0.01","0.01","0.01","10.00","0.01","4625","23125000","20654"
"2016/12/29 (주간)","201M1277","코스피200 C 201701 277.5","0.01","0.00","0.01","0.01","0.01","13.00","0.01","7","35000","20180"
"2016/12/29 (주간)","201M1280","코스피200 C 201701 280.0","0.01","0.00","0.01","0.01","0.01","13.00","0.01","79","395000","12430"
"2016/12/29 (주간)","201M1282","코스피200 C 201701 282.5",,"0.00","0.00","0.00","0.00","7.00","0.01","0","0","5514"
"2016/12/29 (주간)","201M1285","코스피200 C 201701 285.0","0.01","0.00","0.01","0.01","0.01","16.00","0.01","1","5000","7006"
"2016/12/29 (주간)","201M1287","코스피200 C 201701 287.5",,"0.00","0.00","0.00","0.00","7.00","0.01","0","0","1751"
"2016/12/29 (주간)","201M1290","코스피200 C 201701 290.0","0.01","0.00","0.01","0.01","0.01","19.00","0.01","1","5000","2472"
"2016/12/29 (주간)","201M1292","코스피200 C 201701 292.5",,"0.00","0.00","0.00","0.00","7.00","0.01","0","0","149"
"2016/12/29 (주간)","301M1217","코스피200 P 201701 217.5","0.01","0.00","0.01","0.01","0.01","31.00","0.01","148","740000","47224"
"2016/12/29 (주간)","301M1220","코스피200 P 201701 220.0","0.01","0.00","0.01","0.02","0.01","29.00","0.01","4199","21000000","53723"
"2016/12/29 (주간)","301M1222","코스피200 P 201701 222.5","0.01","-0.01","0.01","0.02","0.01","27.00","0.01","533","2820000","18190"
"2016/12/29 (주간)","301M1225","코스피200 P 201701 225.0","0.01","0.00","0.02","0.02","0.01","26.00","0.01","151","960000","17652"
"2016/12/29 (주간)","301M1227","코스피200 P 201701 227.5","0.02","0.00","0.02","0.03","0.01","25.00","0.02","3186","31315000","15195"
"2016/12/29 (주간)","301M1230","코스피200 P 201701 230.0","0.02","0.00","0.03","0.03","0.02","24.00","0.02","1494","20360000","12941"
"2016/12/29 (주간)","301M1232","코스피200 P 201701 232.5","0.02","-0.01","0.03","0.04","0.02","22.00","0.02","2775","41460000","14865"
"2016/12/29 (주간)","301M1235","코스피200 P 201701 235.0","0.03","-0.01","0.04","0.05","0.03","21.00","0.03","2755","54330000","12892"
"2016/12/29 (주간)","301M1237","코스피200 P 201701 237.5","0.04","-0.01","0.05","0.06","0.04","19.00","0.04","2530","64680000","17042"
"2016/12/29 (주간)","301M1240","코스피200 P 201701 240.0","0.05","0.00","0.06","0.07","0.05","18.00","0.05","4250","125315000","18973"
"2016/12/29 (주간)","301M1242","코스피200 P 201701 242.5","0.07","0.00","0.08","0.09","0.06","17.00","0.07","9767","356305000","21779"
"2016/12/29 (주간)","301M1245","코스피200 P 201701 245.0","0.10","0.01","0.10","0.12","0.09","16.00","0.10","13433","733905000","26394"
"2016/12/29 (주간)","301M1247","코스피200 P 201701 247.5","0.15","0.02","0.16","0.18","0.13","14.00","0.15","18623","1450315000","29258"
"2016/12/29 (주간)","301M1250","코스피200 P 201701 250.0","0.24","0.03","0.24","0.29","0.21","13.00","0.24","35217","4376710000","31443"
"2016/12/29 (주간)","301M1252","코스피200 P 201701 252.5","0.40","0.05","0.42","0.50","0.38","12.00","0.40","53554","11514345000","22631"
"2016/12/29 (주간)","301M1255","코스피200 P 201701 255.0","0.73","0.09","0.76","0.90","0.68","12.00","0.73","56651","21836400000","23693"
"2016/12/29 (주간)","301M1257","코스피200 P 201701 257.5","1.30","0.11","1.38","1.61","1.21","11.00","1.30","53319","37067465000","15784"
