老磊,辆格内靛,辆格疙,辆啊,措厚,矫啊,绊啊,历啊,郴犁函悼己,劳老扁霖啊,芭贰樊,芭贰措陛,固搬力距沥
"2004/12/30 (林埃)","20151095","KOSPI 200 妮可记 0501  95.0","20.25","1.50","19.45","20.50","19.45","3.00","20.25","212","422895000","6616"
"2004/12/30 (林埃)","20151097","KOSPI 200 妮可记 0501  97.5","17.90","1.90","16.80","17.90","16.65","32.00","17.90","37","64470000","3157"
"2004/12/30 (林埃)","20151100","KOSPI 200 妮可记 0501 100.0","15.30","1.75","14.80","15.30","14.80","3.00","15.30","104","154600000","3753"
"2004/12/30 (林埃)","20151102","KOSPI 200 妮可记 0501 102.5","12.95","1.65","12.35","13.00","11.60","32.00","12.95","209","266165000","2975"
"2004/12/30 (林埃)","20151105","KOSPI 200 妮可记 0501 105.0","10.20","1.25","8.90","10.45","8.90","3.00","10.20","538","534835000","13151"
"2004/12/30 (林埃)","20151107","KOSPI 200 妮可记 0501 107.5","7.90","1.30","6.55","8.10","6.35","16.00","7.90","1515","1145700000","31890"
"2004/12/30 (林埃)","20151110","KOSPI 200 妮可记 0501 110.0","5.60","1.30","4.50","5.80","4.35","18.00","5.60","11398","5942930000","61618"
"2004/12/30 (林埃)","20151112","KOSPI 200 妮可记 0501 112.5","3.25","0.70","2.63","3.70","2.55","14.00","3.25","41951","13239874000","91744"
"2004/12/30 (林埃)","20151115","KOSPI 200 妮可记 0501 115.0","1.88","0.56","1.33","1.99","1.27","17.80","1.88","571872","95687579000","117414"
"2004/12/30 (林埃)","20151117","KOSPI 200 妮可记 0501 117.5","0.81","0.30","0.50","0.89","0.50","17.40","0.81","1310400","95350032000","165510"
"2004/12/30 (林埃)","20151120","KOSPI 200 妮可记 0501 120.0","0.32","0.14","0.18","0.34","0.16","18.10","0.32","1279855","34129644000","256722"
"2004/12/30 (林埃)","20151122","KOSPI 200 妮可记 0501 122.5","0.11","0.05","0.06","0.12","0.05","18.80","0.11","623315","5646708000","218739"
"2004/12/30 (林埃)","20151125","KOSPI 200 妮可记 0501 125.0","0.04","0.02","0.01","0.05","0.01","19.70","0.04","464945","1440704000","235517"
"2004/12/30 (林埃)","30151095","KOSPI 200 遣可记 0501  95.0","0.01","0.00","0.01","0.02","0.01","36.60","0.01","92975","109988000","451099"
"2004/12/30 (林埃)","30151097","KOSPI 200 遣可记 0501  97.5","0.02","0.00","0.02","0.03","0.01","34.80","0.02","78190","150956000","104484"
"2004/12/30 (林埃)","30151100","KOSPI 200 遣可记 0501 100.0","0.03","-0.02","0.03","0.04","0.02","31.80","0.03","105545","309452000","144221"
"2004/12/30 (林埃)","30151102","KOSPI 200 遣可记 0501 102.5","0.05","-0.02","0.06","0.07","0.03","28.90","0.05","174516","796298000","118027"
"2004/12/30 (林埃)","30151105","KOSPI 200 遣可记 0501 105.0","0.07","-0.04","0.13","0.13","0.06","25.30","0.07","283885","2321269000","163318"
"2004/12/30 (林埃)","30151107","KOSPI 200 遣可记 0501 107.5","0.14","-0.09","0.23","0.25","0.12","22.90","0.14","542316","9602349000","142087"
"2004/12/30 (林埃)","30151110","KOSPI 200 遣可记 0501 110.0","0.30","-0.28","0.57","0.60","0.27","20.80","0.30","807306","30680657000","104468"
"2004/12/30 (林埃)","30151112","KOSPI 200 遣可记 0501 112.5","0.68","-0.60","1.37","1.37","0.65","19.10","0.68","617020","52540088000","84256"
"2004/12/30 (林埃)","30151115","KOSPI 200 遣可记 0501 115.0","1.52","-0.95","2.35","2.46","1.45","18.40","1.52","134159","23258786000","52167"
"2004/12/30 (林埃)","30151117","KOSPI 200 遣可记 0501 117.5","2.90","-1.30","4.30","4.30","2.85","17.50","2.90","11246","3550130000","19222"
"2004/12/30 (林埃)","30151120","KOSPI 200 遣可记 0501 120.0","4.85","-1.40","6.05","6.15","4.80","17.00","4.85","3407","1832965000","19081"
"2004/12/30 (林埃)","30151122","KOSPI 200 遣可记 0501 122.5","7.30","-1.30","8.55","8.55","7.05","22.00","7.30","334","257055000","2002"
"2004/12/30 (林埃)","30151125","KOSPI 200 遣可记 0501 125.0","9.75","-1.25","10.60","10.80","9.30","26.00","9.75","193","197030000","3349"
"2004/12/29 (林埃)","20151095","KOSPI 200 妮可记 0501  95.0","18.75","2.85","17.45","18.75","17.45","3.00","18.75","135","245710000","6634"
"2004/12/29 (林埃)","20151097","KOSPI 200 妮可记 0501  97.5","16.00","3.10","14.35","16.00","14.35","3.00","16.00","9","14140000","3187"
"2004/12/29 (林埃)","20151100","KOSPI 200 妮可记 0501 100.0","13.55","2.70","12.00","13.85","12.00","3.00","13.55","307","404210000","3752"
"2004/12/29 (林埃)","20151102","KOSPI 200 妮可记 0501 102.5","11.30","2.75","9.95","11.30","9.95","16.00","11.30","77","82385000","2967"
"2004/12/29 (林埃)","20151105","KOSPI 200 妮可记 0501 105.0","8.95","2.55","7.15","9.00","7.10","3.00","8.95","1048","857685000","13295"
"2004/12/29 (林埃)","20151107","KOSPI 200 妮可记 0501 107.5","6.60","2.35","4.60","6.60","4.60","18.00","6.60","2302","1371110000","32491"
