老磊,辆格内靛,辆格疙,辆啊,措厚,矫啊,绊啊,历啊,郴犁函悼己,劳老扁霖啊,芭贰樊,芭贰措陛,固搬力距沥
"2006/12/28 (林埃)","201B1162","KOSPI 200 妮可记 0701 162.5","22.90","0.85","23.50","23.55","22.50","3.00","22.90","48","111045000","4068"
"2006/12/28 (林埃)","201B1165","KOSPI 200 妮可记 0701 165.0","20.60","0.70","20.60","20.60","20.60","32.00","20.60","1","2060000","758"
"2006/12/28 (林埃)","201B1167","KOSPI 200 妮可记 0701 167.5","17.80","0.10","17.80","17.80","17.80","24.00","17.80","1","1780000","635"
"2006/12/28 (林埃)","201B1170","KOSPI 200 妮可记 0701 170.0","14.90","0.20","16.40","16.40","14.75","3.00","14.90","9","14235000","1960"
"2006/12/28 (林埃)","201B1172","KOSPI 200 妮可记 0701 172.5","13.00","0.15","13.90","13.90","12.60","3.00","13.00","110","144620000","2185"
"2006/12/28 (林埃)","201B1175","KOSPI 200 妮可记 0701 175.0","10.50","0.20","11.20","11.40","10.15","3.00","10.50","1760","1846505000","15406"
"2006/12/28 (林埃)","201B1177","KOSPI 200 妮可记 0701 177.5","8.10","0.20","8.20","9.05","7.75","3.00","8.10","1410","1156415000","17694"
"2006/12/28 (林埃)","201B1180","KOSPI 200 妮可记 0701 180.0","5.80","0.05","6.50","6.85","5.45","8.00","5.80","5395","3235190000","28747"
"2006/12/28 (林埃)","201B1182","KOSPI 200 妮可记 0701 182.5","3.80","0.10","4.45","4.60","3.45","11.50","3.80","19620","7779640000","40724"
"2006/12/28 (林埃)","201B1185","KOSPI 200 妮可记 0701 185.0","2.08","0.02","2.50","2.80","1.91","11.30","2.08","217255","49258733000","112512"
"2006/12/28 (林埃)","201B1187","KOSPI 200 妮可记 0701 187.5","0.93","-0.14","1.33","1.43","0.93","11.00","0.93","661347","74859223000","146890"
"2006/12/28 (林埃)","201B1190","KOSPI 200 妮可记 0701 190.0","0.39","-0.08","0.62","0.65","0.39","11.60","0.39","1030681","51957778000","242518"
