Strategy,Period,Start,End,Months,CAGR,Volatility,Sharpe,Sortino,MDD,Calmar,FinalMultiple,PositiveMonths,AvgTurnover,TotalCost
Stage35_Frozen,full_2007_2026,2007-04,2026-07,232.0,0.10607568839980419,0.10042663999215325,1.0573641671459202,2.0670233104097804,-0.1374348683505222,0.7718251537831166,7.022747188783821,0.6163793103448276,0.03661691629800715,0.026142517584325658
Stage35_Frozen,common_2010_2026,2010-01,2026-07,199.0,0.09652847005663867,0.09370772729382884,1.033058739425552,2.0136371128247883,-0.1374348683505222,0.7023579329988269,4.609603198807829,0.6180904522613065,0.02632477570195537,0.016987018445654856
Stage35_Frozen,locked_2018_2026,2018-01,2026-07,103.0,0.13821448799079628,0.10861113932256483,1.2511579372978519,2.6336216220813435,-0.11983593572167073,1.1533642822451131,3.0380175026302774,0.6407766990291263,0.026160113777361025,0.008727532733687178
Stage36_NoOverlayReproduction,full_2007_2026,2007-04,2026-07,232.0,0.10352649788129509,0.1303309230587694,0.8226368662628143,1.5320070553761402,-0.15334304255332942,0.6751300623586544,6.7163523858640986,0.5732758620689655,0.11755390594212839,0.08901022264329789
Stage36_NoOverlayReproduction,common_2010_2026,2010-01,2026-07,199.0,0.07774204370902615,0.12040337983194804,0.6825107994215567,1.2366662902433831,-0.1533430425533293,0.5069812259789301,3.4610206311542338,0.5628140703517588,0.11176601327406979,0.07421839845054394
Stage36_NoOverlayReproduction,locked_2018_2026,2018-01,2026-07,103.0,0.13357374955544632,0.14892697494244045,0.9183324623748813,1.7860481009178766,-0.1533430425533293,0.8710779917451574,2.933327907955056,0.5728155339805825,0.0747437388961844,0.025084399095637422
Stage36_GVZGoldRisk,full_2007_2026,2007-04,2026-07,232.0,0.10352649788129509,0.1303309230587694,0.8226368662628143,1.5320070553761402,-0.15334304255332942,0.6751300623586544,6.7163523858640986,0.5732758620689655,0.11755390594212839,0.08901022264329789
Stage36_GVZGoldRisk,common_2010_2026,2010-01,2026-07,199.0,0.07774204370902615,0.12040337983194804,0.6825107994215567,1.2366662902433831,-0.1533430425533293,0.5069812259789301,3.4610206311542338,0.5628140703517588,0.11176601327406979,0.07421839845054394
Stage36_GVZGoldRisk,locked_2018_2026,2018-01,2026-07,103.0,0.13357374955544632,0.14892697494244045,0.9183324623748813,1.7860481009178766,-0.1533430425533293,0.8710779917451574,2.933327907955056,0.5728155339805825,0.0747437388961844,0.025084399095637422
Stage36_OVXOilRisk,full_2007_2026,2007-04,2026-07,232.0,0.10352649788129509,0.1303309230587694,0.8226368662628143,1.5320070553761402,-0.15334304255332942,0.6751300623586544,6.7163523858640986,0.5732758620689655,0.11755390594212839,0.08901022264329789
Stage36_OVXOilRisk,common_2010_2026,2010-01,2026-07,199.0,0.07774204370902615,0.12040337983194804,0.6825107994215567,1.2366662902433831,-0.1533430425533293,0.5069812259789301,3.4610206311542338,0.5628140703517588,0.11176601327406979,0.07421839845054394
Stage36_OVXOilRisk,locked_2018_2026,2018-01,2026-07,103.0,0.13357374955544632,0.14892697494244045,0.9183324623748813,1.7860481009178766,-0.1533430425533293,0.8710779917451574,2.933327907955056,0.5728155339805825,0.0747437388961844,0.025084399095637422
Stage36_GVZ_OVXAssetRisk,full_2007_2026,2007-04,2026-07,232.0,0.10352649788129509,0.1303309230587694,0.8226368662628143,1.5320070553761402,-0.15334304255332942,0.6751300623586544,6.7163523858640986,0.5732758620689655,0.11755390594212839,0.08901022264329789
Stage36_GVZ_OVXAssetRisk,common_2010_2026,2010-01,2026-07,199.0,0.07774204370902615,0.12040337983194804,0.6825107994215567,1.2366662902433831,-0.1533430425533293,0.5069812259789301,3.4610206311542338,0.5628140703517588,0.11176601327406979,0.07421839845054394
Stage36_GVZ_OVXAssetRisk,locked_2018_2026,2018-01,2026-07,103.0,0.13357374955544632,0.14892697494244045,0.9183324623748813,1.7860481009178766,-0.1533430425533293,0.8710779917451574,2.933327907955056,0.5728155339805825,0.0747437388961844,0.025084399095637422
