Sensor,Asset,Period,Target,Model,Observations,SensorStandardizedBeta,SensorHACPValue,SensorSpearmanIC,SensorICPValue,AdjustedR2,HACLags
GVZ,GLD,available_full,future_realized_vol_1m,SensorOnly,205,0.03353262766530009,3.206531899443357e-08,0.4818152693234527,2.5930736934972864e-13,0.20583050334101094,1
GVZ,GLD,available_full,future_realized_vol_1m,FullControls,205,0.01952226129772507,0.0018989023842472784,0.4818152693234527,2.5930736934972864e-13,0.32719755126270855,1
GVZ,GLD,available_full,future_max_drawdown_1m,SensorOnly,205,0.0106445024077239,3.0514566284095883e-09,0.403135490521096,2.0601382230355086e-09,0.1691929127729771,1
GVZ,GLD,available_full,future_max_drawdown_1m,FullControls,205,0.007880176945836252,0.0006911847308006616,0.403135490521096,2.0601382230355086e-09,0.24520382225614223,1
GVZ,GLD,available_full,future_max_drawdown_3m,SensorOnly,204,0.013557046245393035,0.0006911014260333812,0.3792726793434007,2.2159534846840954e-08,0.14701851632831364,3
GVZ,GLD,available_full,future_max_drawdown_3m,FullControls,204,0.008544311817784197,0.09247085528202842,0.3792726793434007,2.2159534846840954e-08,0.22541796966632466,3
GVZ,GLD,available_full,future_left_tail_1m,SensorOnly,200,0.025494879858771018,0.04344057809295744,0.17568163508757859,0.012834664587435051,0.028279682257168592,1
GVZ,GLD,available_full,future_left_tail_1m,FullControls,200,0.03237970617517204,0.06161285517677519,0.17568163508757859,0.012834664587435051,0.02054802120956356,1
GVZ,GLD,common_2010_2026,future_realized_vol_1m,SensorOnly,199,0.03418074774961891,3.051758899696642e-08,0.4920085274859144,1.5809881829051922e-13,0.21057130258837664,1
GVZ,GLD,common_2010_2026,future_realized_vol_1m,FullControls,199,0.019549871984494753,0.002924822479156041,0.4920085274859144,1.5809881829051922e-13,0.3343538267225763,1
GVZ,GLD,common_2010_2026,future_max_drawdown_1m,SensorOnly,199,0.010713554581816203,4.8381080424470524e-09,0.41128978224455615,1.5935878263876077e-09,0.17412072443066184,1
GVZ,GLD,common_2010_2026,future_max_drawdown_1m,FullControls,199,0.007330597858431512,0.0014280124039945442,0.41128978224455615,1.5935878263876077e-09,0.2546762143036858,1
GVZ,GLD,common_2010_2026,future_max_drawdown_3m,SensorOnly,198,0.014046753308720818,0.0005898053041875952,0.39769358221984596,6.564653144423758e-09,0.15622841622864825,3
GVZ,GLD,common_2010_2026,future_max_drawdown_3m,FullControls,198,0.009310106203086269,0.08714660347755003,0.39769358221984596,6.564653144423758e-09,0.23258062969607152,3
GVZ,GLD,common_2010_2026,future_left_tail_1m,SensorOnly,199,0.025590217355501613,0.043415832163503996,0.17577003412158992,0.013017670338509592,0.02834016574275755,1
GVZ,GLD,common_2010_2026,future_left_tail_1m,FullControls,199,0.032948573823755774,0.06185083551562308,0.17577003412158992,0.013017670338509592,0.021004510168922796,1
GVZ,GLD,locked_2018_2026,future_realized_vol_1m,SensorOnly,103,0.04631089844344219,2.40575160763031e-09,0.6205025699600228,2.734146033606046e-12,0.3955795518042363,1
GVZ,GLD,locked_2018_2026,future_realized_vol_1m,FullControls,103,0.028649670443033706,0.0006038868352752925,0.6205025699600228,2.734146033606046e-12,0.48054460538771715,1
GVZ,GLD,locked_2018_2026,future_max_drawdown_1m,SensorOnly,103,0.015474238036694905,6.244053342979889e-13,0.5615692131968546,6.783010590577363e-10,0.3745016796983379,1
GVZ,GLD,locked_2018_2026,future_max_drawdown_1m,FullControls,103,0.01212754515649208,0.0008489097438739923,0.5615692131968546,6.783010590577363e-10,0.3912939050085802,1
GVZ,GLD,locked_2018_2026,future_max_drawdown_3m,SensorOnly,102,0.022969941017658643,8.076235395934798e-07,0.628737673120412,1.4883198462079248e-12,0.4629063269400948,3
GVZ,GLD,locked_2018_2026,future_max_drawdown_3m,FullControls,102,0.023966319292713114,5.835262440569756e-06,0.628737673120412,1.4883198462079248e-12,0.44745117723514705,3
GVZ,GLD,locked_2018_2026,future_left_tail_1m,SensorOnly,103,0.015557350123691648,0.2917661579972869,0.14986019569560824,0.13081408934032093,0.015521865294255477,1
GVZ,GLD,locked_2018_2026,future_left_tail_1m,FullControls,103,0.020532576031105088,0.29352098804337057,0.14986019569560824,0.13081408934032093,-0.008260857951506884,1
OVX,USO,available_full,future_realized_vol_1m,SensorOnly,218,0.10307528528783272,1.224076766847261e-10,0.6342981775893353,6.116675776825328e-26,0.3165610210212567,1
OVX,USO,available_full,future_realized_vol_1m,FullControls,218,0.054440013086089506,9.591826515612974e-05,0.6342981775893353,6.116675776825328e-26,0.4325356473621158,1
OVX,USO,available_full,future_max_drawdown_1m,SensorOnly,218,0.026732545490895737,0.00017600368521137542,0.318865399216642,1.532151241757726e-06,0.12062486443497311,1
OVX,USO,available_full,future_max_drawdown_1m,FullControls,218,0.01345334917743724,0.0625343974135239,0.318865399216642,1.532151241757726e-06,0.20469927187868364,1
OVX,USO,available_full,future_max_drawdown_3m,SensorOnly,217,0.03126501321723443,0.01103055281445371,0.25187521359724807,0.00017714822706401662,0.06460095535582833,3
OVX,USO,available_full,future_max_drawdown_3m,FullControls,217,0.028807620516354535,0.015304210496854898,0.25187521359724807,0.00017714822706401662,0.07532980699073999,3
OVX,USO,available_full,future_left_tail_1m,SensorOnly,183,0.01383879483596838,0.46427023580740623,0.05614035593744524,0.45034238646543,-0.0021163061244020565,1
OVX,USO,available_full,future_left_tail_1m,FullControls,183,-0.001009759459483263,0.9659074031541434,0.05614035593744524,0.45034238646543,0.00551119520418708,1
OVX,USO,common_2010_2026,future_realized_vol_1m,SensorOnly,199,0.08928296145090234,4.261555625634871e-07,0.5880310644129739,6.752745210706642e-20,0.2607397242781815,1
OVX,USO,common_2010_2026,future_realized_vol_1m,FullControls,199,0.04983551694389164,0.0009648150979866113,0.5880310644129739,6.752745210706642e-20,0.36389060784177796,1
OVX,USO,common_2010_2026,future_max_drawdown_1m,SensorOnly,199,0.021596051212125753,0.0049520712710650625,0.26050403532815597,0.00020233807061320635,0.08447495738415023,1
OVX,USO,common_2010_2026,future_max_drawdown_1m,FullControls,199,0.012808007078615843,0.0976653143121182,0.26050403532815597,0.00020233807061320635,0.1589052519965538,1
OVX,USO,common_2010_2026,future_max_drawdown_3m,SensorOnly,198,0.019603464374740982,0.08180135633258025,0.170050011985347,0.01661418652260559,0.025019510435665304,3
OVX,USO,common_2010_2026,future_max_drawdown_3m,FullControls,198,0.023223862747386366,0.036854291112249436,0.170050011985347,0.01661418652260559,0.03281771862423577,3
OVX,USO,common_2010_2026,future_left_tail_1m,SensorOnly,183,0.01383879483596838,0.46427023580740623,0.05614035593744524,0.45034238646543,-0.0021163061244020565,1
OVX,USO,common_2010_2026,future_left_tail_1m,FullControls,183,-0.001009759459483263,0.9659074031541434,0.05614035593744524,0.45034238646543,0.00551119520418708,1
OVX,USO,locked_2018_2026,future_realized_vol_1m,SensorOnly,103,0.09324097989908414,0.0012171888181314846,0.5054913675701798,5.1521922408405285e-08,0.18655740850864033,1
OVX,USO,locked_2018_2026,future_realized_vol_1m,FullControls,103,0.028273896405898235,0.18109896969121964,0.5054913675701798,5.1521922408405285e-08,0.30608876125377715,1
OVX,USO,locked_2018_2026,future_max_drawdown_1m,SensorOnly,103,0.023286552828921673,0.06312449820084928,0.2096055001537583,0.033589338844232805,0.060168373969706646,1
OVX,USO,locked_2018_2026,future_max_drawdown_1m,FullControls,103,0.00263589806937568,0.7968258292774413,0.2096055001537583,0.033589338844232805,0.1436474059435423,1
OVX,USO,locked_2018_2026,future_max_drawdown_3m,SensorOnly,102,0.01061906784844184,0.5206333865920467,0.05901212929970592,0.5557527816704161,-0.003407348422695966,3
OVX,USO,locked_2018_2026,future_max_drawdown_3m,FullControls,102,0.003206790935324631,0.8541414808898435,0.05901212929970592,0.5557527816704161,-0.012561464964623514,3
OVX,USO,locked_2018_2026,future_left_tail_1m,SensorOnly,103,0.01495022122289916,0.6122262759786813,0.0622773993251947,0.532010442568794,-0.00633747000106899,1
OVX,USO,locked_2018_2026,future_left_tail_1m,FullControls,103,-0.025820074761168675,0.41789446090082316,0.0622773993251947,0.532010442568794,0.02370820545832586,1
